date,title,artist,current,previous,peak,weeks
1997-12-27,"Candle In The Wind 1997/Something About The Way You Look Tonight","Elton John",1,1,1,12
1997-12-27,"How Do I Live","LeAnn Rimes",2,2,2,28
1997-12-27,"You Make Me Wanna...","Usher",3,3,2,19
1997-12-27,"Together Again","Janet",4,9,4,2
1997-12-27,"Been Around The World","Puff Daddy & The Family (Feat. The Notorious B.I.G. & Mase)",5,8,5,4
1997-12-27,"My Body","LSG",6,4,4,9
1997-12-27,"Feel So Good","Mase",7,5,5,9
1997-12-27,"Show Me Love","Robyn",8,10,7,7
1997-12-27,"Truly Madly Deeply","Savage Garden",9,12,9,4
1997-12-27,"My Love Is The Shhh!","Somethin' For The People Featuring Trina & Tamara",10,6,4,18
1997-12-27,"Tubthumping","Chumbawamba",11,7,6,16
1997-12-27,"A Song For Mama","Boyz II Men",12,13,12,3
1997-12-27,"I Will Come To You","Hanson",13,11,9,5
1997-12-27,"I Don't Want To Wait","Paula Cole",14,14,12,9
1997-12-27,"The One I Gave My Heart To","Aaliyah",15,17,9,13
1997-12-27,"We're Not Making Love No More","Dru Hill",16,22,16,3
1997-12-27,"All Cried Out","Allure Featuring 112",17,15,4,18
1997-12-27,"Spice Up Your Life","Spice Girls",18,20,18,8
1997-12-27,"Butta Love","Next",19,16,16,17
1997-12-27,"I Don't Ever Want To See You Again","Uncle Sam",20,24,20,8
1997-12-27,"Sock It 2 Me","Missy "Misdemeanor" Elliott Featuring Da Brat",21,21,12,11
1997-12-27,"Foolish Games/You Were Meant For Me","Jewel",22,18,2,57
1997-12-27,"I Do","Lisa Loeb",23,23,23,9
1997-12-27,"4 Seasons Of Loneliness","Boyz II Men",24,19,1,14
1997-12-27,"Semi-Charmed Life","Third Eye Blind",25,25,4,26
1997-12-27,"Quit Playing Games (With My Heart)","Backstreet Boys",26,26,2,27
1997-12-27,"How's It Going To Be","Third Eye Blind",27,31,27,4
1997-12-27,"What About Us","Total",28,27,16,18
1997-12-27,"Lollipop (Candyman)","Aqua",29,35,29,3
1997-12-27,"Mo Money Mo Problems","The Notorious B.I.G. Featuring Puff Daddy & Mase",30,30,1,22
1997-12-27,"Criminal","Fiona Apple",31,28,21,13
1997-12-27,"Breaking All The Rules","She Moves",32,32,32,8
1997-12-27,"Heaven","Nu Flavor",33,36,33,12
1997-12-27,"All For You","Sister Hazel",34,29,11,25
1997-12-27,"No, No, No","Destiny's Child",35,40,35,5
1997-12-27,"Building A Mystery","Sarah McLachlan",36,33,13,17
1997-12-27,"Going Back To Cali","The Notorious B.I.G.",37,44,37,4
1997-12-27,"They Like It Slow","H-Town",38,38,35,12
1997-12-27,"If I Could Teach The World","Bone Thugs-N-Harmony",39,34,27,11
1997-12-27,"I'll Be Missing You","Puff Daddy & Faith Evans Featuring 112",40,37,1,29
1997-12-27,"Honey","Mariah Carey",41,39,1,16
1997-12-27,"No Tengo Dinero","Los Umbrellos",42,43,42,18
1997-12-27,"The Memory Remains","Metallica",43,49,28,5
1997-12-27,"Invisible Man","98 Degrees",44,42,12,25
1997-12-27,"2 Become 1","Spice Girls",45,45,4,20
1997-12-27,"Sunny Came Home","Shawn Colvin",46,47,7,25
1997-12-27,"Everything","Mary J. Blige",47,46,24,14
1997-12-27,"Don't Be Stupid (You Know I Love You)","Shania Twain",48,54,48,4
