date,title,artist,current,previous,peak,weeks
2000-12-30,"Independent Women Part I","Destiny's Child",1,1,1,15
2000-12-30,"He Loves U Not","Dream",2,5,2,14
2000-12-30,"It Wasn't Me","Shaggy Feat. Ricardo "RikRok" Ducent",3,2,2,9
2000-12-30,"Case Of The Ex (Whatcha Gonna Do)","Mya",4,3,2,20
2000-12-30,"With Arms Wide Open","Creed",5,4,1,34
2000-12-30,"Ms. Jackson","OutKast",6,6,6,8
2000-12-30,"The Way You Love Me","Faith Hill",7,8,7,35
2000-12-30,"If You're Gone","matchbox twenty",8,11,8,11
2000-12-30,"Kryptonite","3 Doors Down",9,9,3,39
2000-12-30,"Dance With Me","Debelah Morgan",10,12,10,23
2000-12-30,"I Just Wanna Love U (Give It 2 Me)","JAY-Z",11,13,11,10
2000-12-30,"This I Promise You","'N Sync",12,10,5,14
2000-12-30,"Gotta Tell You","Samantha Mumba",13,7,4,17
2000-12-30,"Most Girls","P!nk",14,14,4,21
2000-12-30,"I Wish","R. Kelly",15,15,15,14
2000-12-30,"Again","Lenny Kravitz",16,19,16,7
2000-12-30,"Liquid Dreams","O-Town",17,21,17,2
2000-12-30,"E.I.","Nelly",18,16,16,13
2000-12-30,"Shape Of My Heart","Backstreet Boys",19,17,9,12
2000-12-30,"Love Don't Cost A Thing","Jennifer Lopez",20,22,20,4
2000-12-30,"Between Me And You","Ja Rule Featuring Christina Milian",21,18,11,16
2000-12-30,"Pinch Me","Barenaked Ladies",22,20,15,17
2000-12-30,"Crazy For This Girl","Evan And Jaron",23,23,23,9
2000-12-30,"What's Your Fantasy","Ludacris Featuring Shawnna",24,24,21,14
2000-12-30,"Beautiful Day","U2",25,28,25,13
2000-12-30,"My First Love","Avant Featuring KeKe Wyatt",26,26,26,9
2000-12-30,"Music","Madonna",27,25,1,21
2000-12-30,"My Next Thirty Years","Tim McGraw",28,27,27,11
2000-12-30,"Stronger","Britney Spears",29,53,29,5
2000-12-30,"Don't Tell Me","Madonna",30,35,30,4
2000-12-30,"Just Friends (Sunny)","Musiq",31,32,31,12
2000-12-30,"Danger (Been So Long)","Mystikal Featuring Nivea",32,55,32,3
2000-12-30,"Without You","Dixie Chicks",33,31,31,13
2000-12-30,"Born To Fly","Sara Evans",34,39,34,11
2000-12-30,"Hemorrhage (In My Hands)","Fuel",35,40,35,10
2000-12-30,"I Lost It","Kenny Chesney",36,34,34,11
2000-12-30,"Bent","matchbox twenty",37,33,1,36
2000-12-30,"Crazy","K-Ci & JoJo",38,42,38,4
2000-12-30,"So In Love With Two","Mikaila",39,47,39,6
2000-12-30,"Don't Think I'm Not","Kandi",40,30,24,22
2000-12-30,"Bow Wow (That's My Name)","Lil Bow Wow",41,43,41,6
2000-12-30,"We Danced","Brad Paisley",42,36,29,12
2000-12-30,"She Bangs","Ricky Martin",43,29,12,13
2000-12-30,"My Everything","98 Degrees",44,50,44,4
2000-12-30,"Best Of Intentions","Travis Tritt",45,37,27,20
2000-12-30,"You're A God","Vertical Horizon",46,41,23,19
2000-12-30,"Emotional","Carl Thomas",47,54,47,6
2000-12-30,"No More (Baby I'ma Do Right)","3LW",48,48,48,9
2000-12-30,"www.memory","Alan Jackson",49,45,45,9
2000-12-30,"Tell Her","Lonestar",50,51,50,7
2000-12-30,"Just Another Day In Paradise","Phil Vassar",51,46,35,14
2000-12-30,"Mamacita","Public Announcement",52,59,52,2
2000-12-30,"911","Wyclef Jean Featuring Mary J. Blige",53,49,38,13
2000-12-30,"One Woman Man","Dave Hollister",54,64,54,4
2000-12-30,"Stan","Eminem Featuring Dido",55,57,51,9
2000-12-30,"Ashes By Now","Lee Ann Womack",56,62,56,4
2000-12-30,"The Itch","Vitamin C",57,52,45,5
2000-12-30,"Burn","Jo Dee Messina",58,60,58,5
2000-12-30,"South Side","Moby Featuring Gwen Stefani",59,78,59,5
2000-12-30,"Project Chick","Cash Money Millionaires",60,65,60,3
2000-12-30,"Loser","3 Doors Down",61,61,55,11
2000-12-30,"The Little Girl","John Michael Montgomery",62,63,35,17
2000-12-30,"Babylon","David Gray",63,66,63,5
2000-12-30,"Promise","Jagged Edge",64,73,64,2
2000-12-30,"It's Over Now","112",65,68,65,4
2000-12-30,"Bag Lady","Erykah Badu",66,56,6,20
2000-12-30,"There Is No Arizona","Jamie O'Neal",67,72,67,2
2000-12-30,"The Christmas Shoes","NewSong",68,0,68,1
2000-12-30,"Still On Your Side","BBMak",69,0,69,1
2000-12-30,"Wild Horses","Garth Brooks",70,79,70,2
2000-12-30,"Is That Your Chick","Memphis Bleek Featuring Jay-Z & Missy Elliott",71,74,71,3
2000-12-30,"But For The Grace Of God","Keith Urban",72,81,72,2
2000-12-30,"Rollin'","Limp Bizkit",73,67,65,8
2000-12-30,"You Should've Told Me","Kelly Price",74,70,64,15
2000-12-30,"Liar","Profyle",75,69,14,16
2000-12-30,"This Everyday Love","Rascal Flatts",76,76,76,2
2000-12-30,"You Shouldn't Kiss Me Like This","Toby Keith",77,0,77,1
2000-12-30,"Original Prankster","The Offspring",78,77,70,6
2000-12-30,"Open My Heart","Yolanda Adams",79,71,57,19
2000-12-30,"X","Xzibit",80,0,80,1
2000-12-30,"Angel","Shaggy Featuring Rayvon",81,0,81,1
2000-12-30,"Meanwhile Back At The Ranch","The Clark Family Experience",82,80,80,7
2000-12-30,"Oklahoma","Billy Gilman",83,84,83,8
2000-12-30,"Girls Dem Sugar","Beenie Man Featuring Mya",84,75,54,11
2000-12-30,"Put It On Me","Ja Rule Featuring Lil' Mo & Vita",85,95,85,2
2000-12-30,"Can't Fight The Moonlight","LeAnn Rimes",86,85,71,17
2000-12-30,"Could It Be","Jaheim",87,90,87,3
2000-12-30,"A Little Gasoline","Terri Clark",88,82,75,3
2000-12-30,"How Many Licks?","Lil' Kim Featuring Sisqo",89,86,75,6
2000-12-30,"Thank You In Advance","Boyz II Men",90,0,90,1
2000-12-30,"My Love Goes On And On","Chris Cagle",91,83,76,11
2000-12-30,"Oh No","Mos Def & Pharoahe Monch Featuring Nate Dogg",92,97,92,2
2000-12-30,"My Baby You","Marc Anthony",93,89,70,16
2000-12-30,"Give Me Just One Night (Una Noche)","98 Degrees",94,93,2,20
2000-12-30,"Go On","George Strait",95,88,40,19
2000-12-30,"All Good?","De La Soul Featuring Chaka Khan",96,96,96,2
2000-12-30,"Kiss This","Aaron Tippin",97,92,42,19
2000-12-30,"I Know","Sunday",98,0,98,1
2000-12-30,"Feels Like Love","Vince Gill",99,91,52,18
2000-12-30,"If I Am","Nine Days",100,94,68,5
2000-12-23,"Independent Women Part I","Destiny's Child",1,1,1,14
2000-12-23,"It Wasn't Me","Shaggy Feat. Ricardo "RikRok" Ducent",2,4,2,8
2000-12-23,"Case Of The Ex (Whatcha Gonna Do)","Mya",3,2,2,19
2000-12-23,"With Arms Wide Open","Creed",4,3,1,33
2000-12-23,"He Loves U Not","Dream",5,8,5,13
2000-12-23,"Ms. Jackson","OutKast",6,9,6,7
2000-12-23,"Gotta Tell You","Samantha Mumba",7,6,4,16
2000-12-23,"The Way You Love Me","Faith Hill",8,10,8,34
2000-12-23,"Kryptonite","3 Doors Down",9,5,3,38
2000-12-23,"This I Promise You","'N Sync",10,7,5,13
2000-12-23,"If You're Gone","matchbox twenty",11,13,11,10
2000-12-23,"Dance With Me","Debelah Morgan",12,15,12,22
2000-12-23,"I Just Wanna Love U (Give It 2 Me)","JAY-Z",13,14,13,9
2000-12-23,"Most Girls","P!nk",14,11,4,20
2000-12-23,"I Wish","R. Kelly",15,17,15,13
2000-12-23,"E.I.","Nelly",16,16,16,12
2000-12-23,"Shape Of My Heart","Backstreet Boys",17,12,9,11
2000-12-23,"Between Me And You","Ja Rule Featuring Christina Milian",18,18,11,15
2000-12-23,"Again","Lenny Kravitz",19,24,19,6
2000-12-23,"Pinch Me","Barenaked Ladies",20,19,15,16
2000-12-23,"Liquid Dreams","O-Town",21,0,21,1
2000-12-23,"Love Don't Cost A Thing","Jennifer Lopez",22,28,22,3
2000-12-23,"Crazy For This Girl","Evan And Jaron",23,23,23,8
2000-12-23,"What's Your Fantasy","Ludacris Featuring Shawnna",24,21,21,13
2000-12-23,"Music","Madonna",25,20,1,20
2000-12-23,"My First Love","Avant Featuring KeKe Wyatt",26,26,26,8
2000-12-23,"My Next Thirty Years","Tim McGraw",27,27,27,10
2000-12-23,"Beautiful Day","U2",28,32,28,12
2000-12-23,"She Bangs","Ricky Martin",29,22,12,12
2000-12-23,"Don't Think I'm Not","Kandi",30,25,24,21
2000-12-23,"Without You","Dixie Chicks",31,35,31,12
2000-12-23,"Just Friends (Sunny)","Musiq",32,34,32,11
2000-12-23,"Bent","matchbox twenty",33,30,1,35
2000-12-23,"I Lost It","Kenny Chesney",34,40,34,10
2000-12-23,"Don't Tell Me","Madonna",35,54,35,3
2000-12-23,"We Danced","Brad Paisley",36,29,29,11
