chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-05-17,1,Debi Tirar Mas Fotos,Bad Bunny,7,1,18
2025-05-17,2,111XPANTIA,Fuerza Regida,-,2,1
2025-05-17,3,SOS,SZA,2,1,126
2025-05-17,4,One Thing At A Time,Morgan Wallen,4,1,114
2025-05-17,5,GNX,Kendrick Lamar,3,1,24
2025-05-17,6,Short n' Sweet,Sabrina Carpenter,5,1,37
2025-05-17,7,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,6,1,12
2025-05-17,8,Glockaveli,Key Glock,-,8,1
2025-05-17,9,Dangerous: The Double Album,Morgan Wallen,10,1,226
2025-05-17,10,"Where I've Been, Isn't Where I'm Going",Shaboozey,8,5,49
2025-05-17,11,Hit Me Hard And Soft,Billie Eilish,12,2,51
2025-05-17,12,MUSIC,Playboi Carti,9,1,8
2025-05-17,13,MAYHEM,Lady Gaga,11,1,9
2025-05-17,14,The Diamond Collection,Post Malone,28,11,76
2025-05-17,15,The Rise And Fall Of A Midwest Princess,Chappell Roan,14,2,59
2025-05-17,16,So Close To What,Tate McRae,16,1,11
2025-05-17,17,The Tortured Poets Department,Taylor Swift,17,1,55
2025-05-17,18,Stick Season,Noah Kahan,18,2,128
2025-05-17,19,"You'll Be Alright, Kid (Chapter 1)",Alex Warren,19,17,24
2025-05-17,20,Eternal Sunshine,Ariana Grande,20,1,61
2025-05-17,21,F-1 Trillion,Post Malone,21,1,38
2025-05-17,22,Fireworks & Rollerblades,Benson Boone,29,6,57
2025-05-17,23,Take Care,BigXthaPlug,22,8,30
2025-05-17,24,Brat,Charli xcx,26,3,48
2025-05-17,25,Mi Vida Mi Muerte,Neton Vega,24,19,11
2025-05-17,26,The Secret Of Us,Gracie Abrams,23,2,46
2025-05-17,27,Hurry Up Tomorrow,The Weeknd,27,1,14
2025-05-17,28,Pink Floyd At Pompeii: MCMLXXII,Pink Floyd,-,28,1
2025-05-17,29,Rumours,Fleetwood Mac,30,1,632
2025-05-17,30,Evangeline Vs. The Machine,Eric Church,-,30,1
2025-05-17,31,+-=÷x (Tour Collection),Ed Sheeran,32,17,30
2025-05-17,32,Child Of God,Forrest Frank,31,28,35
2025-05-17,33,Alligator Bites Never Heal,Doechii,25,10,23
2025-05-17,34,Un Verano Sin Ti,Bad Bunny,33,1,157
2025-05-17,35,"good kid, m.A.A.d city",Kendrick Lamar,36,2,654
2025-05-17,36,Hamilton: An American Musical,Original Broadway Cast,43,2,502
2025-05-17,37,American Heartbreak,Zach Bryan,37,5,155
2025-05-17,38,I've Tried Everything But Therapy (Part I),Teddy Swims,41,17,83
2025-05-17,39,Cold Beer & Country Music,Zach Top,39,31,38
2025-05-17,40,Ctrl,SZA,42,3,413
2025-05-17,41,Take Care,Drake,40,1,636
2025-05-17,42,DAMN.,Kendrick Lamar,38,1,421
2025-05-17,43,Beautifully Broken,Jelly Roll,34,1,30
2025-05-17,44,Diamonds,Elton John,45,7,391
2025-05-17,45,What Not To,Tucker Wetmore,15,15,2
2025-05-17,46,Blonde,Frank Ocean,46,1,433
2025-05-17,47,Zach Bryan,Zach Bryan,49,1,89
2025-05-17,48,CHROMAKOPIA,"Tyler, The Creator",48,1,28
2025-05-17,49,Submarine,The Marias,44,17,34
2025-05-17,50,Hozier,Hozier,51,2,369
2025-05-17,51,The Best Of Nickelback: Volume 1,Nickelback,55,21,239
2025-05-17,52,The Great American Bar Scene,Zach Bryan,52,2,45
2025-05-17,53,Lover,Taylor Swift,53,1,298
2025-05-17,54,Cowboy Carter,Beyonce,64,1,45
2025-05-17,55,Curtain Call: The Hits,Eminem,56,1,735
2025-05-17,56,Incomodo,Tito Double P,47,11,37
2025-05-17,57,This One's For You,Luke Combs,50,4,414
2025-05-17,58,Skeleta,Ghost,1,1,2
2025-05-17,59,The Fame,Lady Gaga,66,2,415
2025-05-17,60,I Said I Love You First,Selena Gomez & benny blanco,88,2,7
2025-05-17,61,If I Know Me,Morgan Wallen,58,10,344
2025-05-17,62,Greatest Hits,Queen,57,8,646
2025-05-17,63,Cosa Nuestra,Rauw Alejandro,54,6,25
2025-05-17,64,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,62,18,745
2025-05-17,65,Sour,Olivia Rodrigo,60,1,207
2025-05-17,66,Views,Drake,68,1,469
2025-05-17,67,Restless Mind,Sam Barber,61,48,27
2025-05-17,68,Folklore,Taylor Swift,65,1,250
2025-05-17,69,Midnights,Taylor Swift,63,1,133
2025-05-17,70,Journey's Greatest Hits,Journey,71,10,856
2025-05-17,71,Channel Orange,Frank Ocean,79,2,229
2025-05-17,72,Greatest Hits,Creed,75,15,144
2025-05-17,73,Traveller,Chris Stapleton,76,1,504
2025-05-17,74,Am I Okay?,Megan Moroney,69,9,43
2025-05-17,75,Guts,Olivia Rodrigo,67,1,87
2025-05-17,76,Nevermind,Nirvana,77,1,721
2025-05-17,77,Don't Mind If I Do,Riley Green,78,25,28
2025-05-17,78,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,84,5,886
2025-05-17,79,The Select,Ty Myers,72,66,15
2025-05-17,80,Hungover,Ella Langley,74,49,32
2025-05-17,81,1989 (Taylor's Version),Taylor Swift,80,1,80
2025-05-17,82,Greatest Hits,Pitbull,89,77,206
