chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-11-22,1,The Life Of A Showgirl,Taylor Swift,1,1,6
2025-11-22,2,I'm The Problem,Morgan Wallen,3,1,26
2025-11-22,3,KPop Demon Hunters,Soundtrack,2,1,21
2025-11-22,4,Lux,Rosalia,-,4,1
2025-11-22,5,The Art Of Loving,Olivia Dean,7,5,7
2025-11-22,6,Man's Best Friend,Sabrina Carpenter,6,1,11
2025-11-22,7,SOS,SZA,8,1,153
2025-11-22,8,Am I The Drama?,Cardi B,10,1,8
2025-11-22,9,One Thing At A Time,Morgan Wallen,9,1,141
2025-11-22,10,No Labels: Part 01 (EP),YEONJUN,-,10,1
2025-11-22,11,I Barely Know Her,sombr,27,10,12
2025-11-22,12,Ego Death At A Bachelorette Party,Hayley Williams,173,12,2
2025-11-22,13,"You'll Be Alright, Kid",Alex Warren,11,5,51
2025-11-22,14,Stick Season,Noah Kahan,13,2,155
2025-11-22,15,Lil Herb,G Herbo,-,15,1
2025-11-22,16,Dangerous: The Double Album,Morgan Wallen,15,1,253
2025-11-22,17,Debi Tirar Mas Fotos,Bad Bunny,12,1,45
2025-11-22,18,Short n' Sweet,Sabrina Carpenter,14,1,64
2025-11-22,19,Hit Me Hard And Soft,Billie Eilish,17,2,78
2025-11-22,20,So Close To What,Tate McRae,18,1,38
2025-11-22,21,30 Number One Hits,Jason Aldean,20,20,5
2025-11-22,22,Take Care,Drake,22,1,663
2025-11-22,23,Rumours,Fleetwood Mac,21,1,659
2025-11-22,24,CHROMAKOPIA,"Tyler, the Creator",5,1,55
2025-11-22,25,Christmas,Michael Buble,65,1,128
2025-11-22,26,MAYHEM,Lady Gaga,42,1,36
2025-11-22,27,MASA,YoungBoy Never Broke Again,24,6,16
2025-11-22,28,+-=÷x (Tour Collection),Ed Sheeran,26,17,57
2025-11-22,29,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,29,1,39
2025-11-22,30,Diamonds,Elton John,39,7,418
2025-11-22,31,$ad Boyz 4 Life II,Junior H,30,14,110
2025-11-22,32,GNX,Kendrick Lamar,32,1,51
2025-11-22,33,The Rise And Fall Of A Midwest Princess,Chappell Roan,33,2,86
2025-11-22,34,Un Verano Sin Ti,Bad Bunny,31,1,184
2025-11-22,35,Beautiful Chaos (EP),KATSEYE,43,4,20
2025-11-22,36,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,85,6,127
2025-11-22,37,111XPANTIA,Fuerza Regida,37,2,28
2025-11-22,38,Deadbeat,Tame Impala,23,4,4
2025-11-22,39,The Tortured Poets Department,Taylor Swift,35,1,82
2025-11-22,40,Thriller,Michael Jackson,16,1,704
2025-11-22,41,Curtain Call: The Hits,Eminem,40,1,762
2025-11-22,42,Karma: The 4th Album,Stray Kids,86,1,12
2025-11-22,43,Swag,Justin Bieber,41,2,18
2025-11-22,44,The Last Wun,Gunna,36,3,14
2025-11-22,45,"Where I've Been, Isn't Where I'm Going",Shaboozey,44,5,76
2025-11-22,46,Ultimate Christmas,Bing Crosby,160,3,11
2025-11-22,47,MUSIC,Playboi Carti,45,1,35
2025-11-22,48,Submarine,The Marias,47,17,61
2025-11-22,49,Merry Christmas,Mariah Carey,113,3,135
2025-11-22,50,Folklore,Taylor Swift,48,1,277
2025-11-22,51,The Secret Of Us,Gracie Abrams,53,2,73
2025-11-22,52,Papercuts,Linkin Park,-,6,33
2025-11-22,53,American Heartbreak,Zach Bryan,49,5,182
2025-11-22,54,Views,Drake,52,1,496
2025-11-22,55,Sour,Olivia Rodrigo,56,1,234
