chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-01-11,1,SOS,SZA,1,1,108
2025-01-11,2,GNX,Kendrick Lamar,5,1,6
2025-01-11,3,Short n' Sweet,Sabrina Carpenter,12,1,19
2025-01-11,4,Wicked: The Soundtrack,"Cynthia Erivo, Ariana Grande & Various Artists",8,2,6
2025-01-11,5,Hit Me Hard And Soft,Billie Eilish,14,2,33
2025-01-11,6,The Tortured Poets Department,Taylor Swift,7,1,37
2025-01-11,7,The Rise And Fall Of A Midwest Princess,Chappell Roan,16,2,41
2025-01-11,8,One Thing At A Time,Morgan Wallen,29,1,96
2025-01-11,9,The Secret Of Us,Gracie Abrams,25,2,28
2025-01-11,10,CHROMAKOPIA,"Tyler, The Creator",27,1,10
2025-01-11,11,Stick Season,Noah Kahan,31,2,110
2025-01-11,12,Rosie,ROSE,32,3,4
2025-01-11,13,Hop,Stray Kids,13,1,3
2025-01-11,14,F-1 Trillion,Post Malone,46,1,20
2025-01-11,15,Dangerous: The Double Album,Morgan Wallen,44,1,208
2025-01-11,16,Brat,Charli xcx,33,3,30
2025-01-11,17,+-=÷x (Tour Collection),Ed Sheeran,90,17,12
2025-01-11,18,Last Lap,Rod Wave,41,2,12
2025-01-11,19,Incomodo,Tito Double P,52,11,19
2025-01-11,20,Beautifully Broken,Jelly Roll,36,1,12
2025-01-11,21,I've Tried Everything But Therapy (Part I),Teddy Swims,62,17,65
2025-01-11,22,Rumours,Fleetwood Mac,39,1,614
2025-01-11,23,Glorious,GloRilla,56,5,12
2025-01-11,24,Midnights,Taylor Swift,38,1,115
2025-01-11,25,Cosa Nuestra,Rauw Alejandro,37,6,7
2025-01-11,26,1989 (Taylor's Version),Taylor Swift,34,1,62
2025-01-11,27,The Great American Bar Scene,Zach Bryan,50,2,27
2025-01-11,28,Zach Bryan,Zach Bryan,48,1,71
2025-01-11,29,Fireworks & Rollerblades,Benson Boone,78,6,39
2025-01-11,30,"Where I've Been, Isn't Where I'm Going",Shaboozey,79,5,31
2025-01-11,31,American Heartbreak,Zach Bryan,63,5,137
2025-01-11,32,Lover,Taylor Swift,47,1,280
2025-01-11,33,Folklore,Taylor Swift,55,1,232
2025-01-11,34,Take Care,BigXthaPlug,67,8,12
2025-01-11,35,IGOR,"Tyler, The Creator",51,1,273
2025-01-11,36,"good kid, m.A.A.d city",Kendrick Lamar,58,2,636
2025-01-11,37,Cowboy Carter,Beyonce,139,1,33
2025-01-11,38,Ctrl,SZA,53,3,395
2025-01-11,39,Diamonds,Elton John,28,7,373
2025-01-11,40,The Party Never Ends,Juice WRLD,66,4,5
2025-01-11,41,Sour,Olivia Rodrigo,72,1,189
2025-01-11,42,Guts,Olivia Rodrigo,69,1,69
2025-01-11,43,Blonde,Frank Ocean,94,1,415
2025-01-11,44,Curtain Call: The Hits,Eminem,76,1,717
2025-01-11,45,DAMN.,Kendrick Lamar,75,1,403
2025-01-11,46,Goodbye & Good Riddance,Juice WRLD,93,4,346
2025-01-11,47,A Great Chaos,Ken Carson,173,11,44
2025-01-11,48,2014 Forest Hills Drive,J. Cole,45,1,526
2025-01-11,49,Take Care,Drake,81,1,618
2025-01-11,50,Unreal Unearth,Hozier,65,3,26
2025-01-11,51,Cold Beer & Country Music,Zach Top,103,51,20
2025-01-11,52,The Diamond Collection,Post Malone,112,11,58
2025-01-11,53,We Don't Trust You,Future & Metro Boomin,99,1,41
2025-01-11,54,Utopia,Travis Scott,87,1,75
2025-01-11,55,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,89,18,727
2025-01-11,56,This One's For You,Luke Combs,120,4,396
2025-01-11,57,Dlow Curry,BossMan Dlow,77,36,3
2025-01-11,58,Arcane League Of Legends: Season Two,Soundtrack,84,24,6
2025-01-11,59,Hozier,Hozier,83,2,351
2025-01-11,60,Exodo,Peso Pluma,101,5,28
2025-01-11,61,Un Verano Sin Ti,Bad Bunny,130,1,139
2025-01-11,62,reputation,Taylor Swift,114,1,328
2025-01-11,63,Restless Mind,Sam Barber,124,58,9
2025-01-11,64,The Highlights,The Weeknd,59,2,197
2025-01-11,65,Eternal Sunshine,Ariana Grande,108,1,43
2025-01-11,66,Evermore,Taylor Swift,74,1,212
2025-01-11,67,One Of Wun,Gunna,118,2,34
