chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-05-31,1,I'm The Problem,Morgan Wallen,-,1,1
2025-05-31,2,SOS,SZA,3,1,128
2025-05-31,3,Echo,Jin,-,3,1
2025-05-31,4,One Thing At A Time,Morgan Wallen,4,1,116
2025-05-31,5,GNX,Kendrick Lamar,7,1,26
2025-05-31,6,Even In Arcadia,Sleep Token,1,1,2
2025-05-31,7,Short n' Sweet,Sabrina Carpenter,8,1,39
2025-05-31,8,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,5,1,14
2025-05-31,9,Debi Tirar Mas Fotos,Bad Bunny,10,1,20
2025-05-31,10,111XPANTIA,Fuerza Regida,6,2,3
2025-05-31,11,Hit Me Hard And Soft,Billie Eilish,14,2,53
2025-05-31,12,Dangerous: The Double Album,Morgan Wallen,11,1,228
2025-05-31,13,"Where I've Been, Isn't Where I'm Going",Shaboozey,13,5,51
2025-05-31,14,The Rise And Fall Of A Midwest Princess,Chappell Roan,18,2,61
2025-05-31,15,"You'll Be Alright, Kid (Chapter 1)",Alex Warren,20,15,26
2025-05-31,16,Hurry Up Tomorrow,The Weeknd,9,1,16
2025-05-31,17,So Close To What,Tate McRae,17,1,13
2025-05-31,18,MUSIC,Playboi Carti,16,1,10
2025-05-31,19,MAYHEM,Lady Gaga,19,1,11
2025-05-31,20,The Tortured Poets Department,Taylor Swift,22,1,57
2025-05-31,21,Stick Season,Noah Kahan,21,2,130
2025-05-31,22,"Sincerely,",Kali Uchis,2,2,2
2025-05-31,23,The Diamond Collection,Post Malone,15,11,78
2025-05-31,24,Fireworks & Rollerblades,Benson Boone,25,6,59
2025-05-31,25,F-1 Trillion,Post Malone,24,1,40
2025-05-31,26,Rumours,Fleetwood Mac,26,1,634
2025-05-31,27,The Secret Of Us,Gracie Abrams,31,2,48
2025-05-31,28,Un Verano Sin Ti,Bad Bunny,28,1,159
2025-05-31,29,Take Care,BigXthaPlug,27,8,32
2025-05-31,30,+-=÷x (Tour Collection),Ed Sheeran,32,17,32
2025-05-31,31,Child Of God II,Forrest Frank,12,12,2
2025-05-31,32,Hozier,Hozier,59,2,371
2025-05-31,33,Mi Vida Mi Muerte,Neton Vega,30,19,13
2025-05-31,34,Eternal Sunshine,Ariana Grande,29,1,63
2025-05-31,35,Hamilton: An American Musical,Original Broadway Cast,36,2,504
2025-05-31,36,"good kid, m.A.A.d city",Kendrick Lamar,38,2,656
2025-05-31,37,Brat,Charli xcx,34,3,50
2025-05-31,38,Take Care,Drake,41,1,638
2025-05-31,39,I've Tried Everything But Therapy (Part I),Teddy Swims,35,17,85
2025-05-31,40,American Heartbreak,Zach Bryan,37,5,157
2025-05-31,41,Diamonds,Elton John,40,7,393
2025-05-31,42,Ctrl,SZA,42,3,415
2025-05-31,43,Cold Beer & Country Music,Zach Top,39,31,40
2025-05-31,44,Beautifully Broken,Jelly Roll,45,1,32
2025-05-31,45,DAMN.,Kendrick Lamar,44,1,423
2025-05-31,46,Blonde,Frank Ocean,47,1,435
2025-05-31,47,Curtain Call: The Hits,Eminem,49,1,737
2025-05-31,48,The Best Of Nickelback: Volume 1,Nickelback,51,21,241
2025-05-31,49,Alligator Bites Never Heal,Doechii,43,10,25
2025-05-31,50,Lover,Taylor Swift,52,1,300
2025-05-31,51,Zach Bryan,Zach Bryan,48,1,91
2025-05-31,52,Cosa Nuestra,Rauw Alejandro,62,6,27
2025-05-31,53,Submarine,The Marias,60,17,36
2025-05-31,54,Greatest Hits,Queen,54,8,648
2025-05-31,55,This One's For You,Luke Combs,58,4,416
2025-05-31,56,Glockaveli,Key Glock,33,8,3
2025-05-31,57,CHROMAKOPIA,"Tyler, The Creator",57,1,30
2025-05-31,58,Am I Okay?,Megan Moroney,55,9,45
2025-05-31,59,What Not To,Tucker Wetmore,50,15,4
2025-05-31,60,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,61,18,747
2025-05-31,61,The Great American Bar Scene,Zach Bryan,53,2,47
2025-05-31,62,4th EP: No Genre,BOYNEXTDOOR,-,62,1
2025-05-31,63,Sour,Olivia Rodrigo,68,1,209
2025-05-31,64,Incomodo,Tito Double P,64,11,39
2025-05-31,65,Folklore,Taylor Swift,69,1,252
2025-05-31,66,Journey's Greatest Hits,Journey,70,10,858
2025-05-31,67,Cowboy Carter,Beyonce,71,1,47
2025-05-31,68,Views,Drake,65,1,471
2025-05-31,69,Nevermind,Nirvana,77,1,723
2025-05-31,70,Midnights,Taylor Swift,73,1,135
2025-05-31,71,From Zero,Linkin Park,-,2,9
2025-05-31,72,Hungover,Ella Langley,63,49,34
2025-05-31,73,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,76,5,888
2025-05-31,74,Greatest Hits,Creed,78,15,146
2025-05-31,75,If I Know Me,Morgan Wallen,56,10,346
2025-05-31,76,Traveller,Chris Stapleton,67,1,506
2025-05-31,77,Child Of God,Forrest Frank,85,28,37
2025-05-31,78,The Fame,Lady Gaga,66,2,417
2025-05-31,79,Guts,Olivia Rodrigo,82,1,89
2025-05-31,80,Greatest Hits,Pitbull,89,77,208
2025-05-31,81,My Turn,Lil Baby,86,1,273
2025-05-31,82,I've Tried Everything But Therapy (Part 2),Teddy Swims,101,4,17
2025-05-31,83,Don't Mind If I Do,Riley Green,74,25,30
2025-05-31,84,1989 (Taylor's Version),Taylor Swift,84,1,82
2025-05-31,85,Greatest Hits,Tom Petty And The Heartbreakers,81,2,619
2025-05-31,86,Channel Orange,Frank Ocean,83,2,231
2025-05-31,87,Genesis,Peso Pluma,90,3,100
2025-05-31,88,Starboy,The Weeknd,87,1,394
2025-05-31,89,Restless Mind,Sam Barber,75,48,29
2025-05-31,90,The Essential Michael Jackson,Michael Jackson,99,31,517
2025-05-31,91,We Don't Trust You,Future & Metro Boomin,92,1,61
2025-05-31,92,Exodo,Peso Pluma,96,5,48
2025-05-31,93,Graduation,Kanye West,108,1,381
2025-05-31,94,reputation,Taylor Swift,123,1,348
2025-05-31,95,Religiously. The Album.,Bailey Zimmerman,95,7,101
2025-05-31,96,Certified Lover Boy,Drake,94,1,194
2025-05-31,97,Born To Die,Lana Del Rey,103,2,589
2025-05-31,98,IGOR,"Tyler, The Creator",110,1,293
2025-05-31,99,Utopia,Travis Scott,105,1,95
2025-05-31,100,For All The Dogs,Drake,100,1,85
2025-05-31,101,Pure Heroine,Lorde,116,3,112
2025-05-31,102,WHAM,Lil Baby,102,1,20
2025-05-31,103,35 Biggest Hits,Toby Keith,91,1,200
2025-05-31,104,Gettin' Old,Luke Combs,97,4,113
2025-05-31,105,50 Number Ones,George Strait,93,1,335
2025-05-31,106,Gold: Greatest Hits,ABBA,112,25,378
2025-05-31,107,Teenage Dream,Katy Perry,111,1,423
2025-05-31,108,T R A P S O U L,Bryson Tiller,120,8,424
2025-05-31,109,After Hours,The Weeknd,113,1,190
2025-05-31,110,The Select,Ty Myers,88,66,17
2025-05-31,111,AM,Arctic Monkeys,115,6,356
2025-05-31,112,Starting Over,Chris Stapleton,107,3,234
2025-05-31,113,Greatest Hits,2Pac,104,3,575
2025-05-31,114,I Never Liked You,Future,119,1,160
2025-05-31,115,Mija No Te Asustes,Clave Especial,109,91,13
2025-05-31,116,All Time Greatest Hits,Lynyrd Skynyrd,117,56,307
2025-05-31,117,Afterglow,Sleep Theory,-,117,1
2025-05-31,118,Borondo,Beele,-,118,1
2025-05-31,119,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates,125,34,292
2025-05-31,120,About A Woman,Thomas Rhett,80,19,12
2025-05-31,121,Goodbye & Good Riddance,Juice WRLD,124,4,366
2025-05-31,122,$ad Boyz 4 Life II,Junior H,135,14,85
2025-05-31,123,That Ain't No Man That's The Devil,Jessie Murph,106,24,14
2025-05-31,124,20 Number Ones,Thomas Rhett,98,22,81
2025-05-31,125,Beauty Behind The Madness,The Weeknd,128,1,346
2025-05-31,126,[Hybrid Theory],Linkin Park,129,2,363
2025-05-31,127,Greatest Hits,Guns N' Roses,130,3,725
2025-05-31,128,Unreal Unearth,Hozier,134,3,46
2025-05-31,129,Manana Sera Bonito,Karol G,79,1,93
2025-05-31,130,Sublime,Sublime,126,13,248
2025-05-31,131,Metallica,Metallica,132,1,790
2025-05-31,132,Scorpion,Drake,131,1,360
2025-05-31,133,Happier Than Ever,Billie Eilish,158,1,198
2025-05-31,134,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,156,1,321
2025-05-31,135,2014 Forest Hills Drive,J. Cole,142,1,546
2025-05-31,136,Last Lap,Rod Wave,133,2,32
2025-05-31,137,Glorious,GloRilla,136,5,32
2025-05-31,138,Mutt,Leon Thomas,145,96,11
2025-05-31,139,Greatest Hits,Fleetwood Mac,137,14,336
2025-05-31,140,Meteora,Linkin Park,146,1,196
2025-05-31,141,ASTROWORLD,Travis Scott,139,1,355
2025-05-31,142,Avicii Forever,Avicii,-,142,1
2025-05-31,143,Greatest Hits,Bob Seger & The Silver Bullet Band,144,8,568
2025-05-31,144,Leather,Cody Johnson,121,18,71
2025-05-31,145,Amar,BigXthaPlug,148,97,88
2025-05-31,146,Freudian,Daniel Caesar,150,25,153
2025-05-31,147,Doo-Wops & Hooligans,Bruno Mars,160,3,729
