chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-10-18,1,The Life Of A Showgirl,Taylor Swift,-,1,1
2025-10-18,2,KPop Demon Hunters,Soundtrack,1,1,16
2025-10-18,3,I'm The Problem,Morgan Wallen,2,1,21
2025-10-18,4,Am I The Drama?,Cardi B,3,1,3
2025-10-18,5,Man's Best Friend,Sabrina Carpenter,5,1,6
2025-10-18,6,Debi Tirar Mas Fotos,Bad Bunny,10,1,40
2025-10-18,7,The Art Of Loving,Olivia Dean,8,7,2
2025-10-18,8,"You'll Be Alright, Kid",Alex Warren,11,5,46
2025-10-18,9,SOS,SZA,12,1,148
2025-10-18,10,One Thing At A Time,Morgan Wallen,13,1,136
2025-10-18,11,Short n' Sweet,Sabrina Carpenter,21,1,59
2025-10-18,12,Un Verano Sin Ti,Bad Bunny,23,1,179
2025-10-18,13,The Tortured Poets Department,Taylor Swift,15,1,77
2025-10-18,14,Stick Season,Noah Kahan,18,2,150
2025-10-18,15,So Close To What,Tate McRae,17,1,33
2025-10-18,16,I Barely Know Her,sombr,19,10,7
2025-10-18,17,Dangerous: The Double Album,Morgan Wallen,20,1,248
2025-10-18,18,Swag,Justin Bieber,16,2,13
2025-10-18,19,Hit Me Hard And Soft,Billie Eilish,25,2,73
2025-10-18,20,Rumours,Fleetwood Mac,32,1,654
2025-10-18,21,MASA,YoungBoy Never Broke Again,26,6,11
2025-10-18,22,Vie,Doja Cat,4,4,2
2025-10-18,23,Folklore,Taylor Swift,35,1,272
2025-10-18,24,Take Care,Drake,29,1,658
2025-10-18,25,Hamilton: An American Musical,Original Broadway Cast,27,2,524
2025-10-18,26,The Rise And Fall Of A Midwest Princess,Chappell Roan,33,2,81
2025-10-18,27,UY SCUTI,Young Thug,6,6,2
2025-10-18,28,The Last Wun,Gunna,28,3,9
2025-10-18,29,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,31,1,34
2025-10-18,30,Beautiful Chaos (EP),KATSEYE,39,4,15
2025-10-18,31,+-=÷x (Tour Collection),Ed Sheeran,37,17,52
2025-10-18,32,"Where I've Been, Isn't Where I'm Going",Shaboozey,36,5,71
2025-10-18,33,Midnights,Taylor Swift,45,1,155
2025-10-18,34,GNX,Kendrick Lamar,40,1,46
2025-10-18,35,$ad Boyz 4 Life II,Junior H,44,14,105
2025-10-18,36,Lover,Taylor Swift,46,1,320
2025-10-18,37,Brat,Charli xcx,125,3,70
2025-10-18,38,The Diamond Collection,Post Malone,-,11,94
2025-10-18,39,I Hope You're Happy,BigXthaPlug,42,7,7
2025-10-18,40,MAYHEM,Lady Gaga,49,1,31
2025-10-18,41,Submarine,The Marias,43,17,56
