chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-03-08,1,So Close To What,Tate McRae,-,1,1
2025-03-08,2,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,1,1,2
2025-03-08,3,GNX,Kendrick Lamar,3,1,14
2025-03-08,4,SOS,SZA,4,1,116
2025-03-08,5,Short n' Sweet,Sabrina Carpenter,2,1,27
2025-03-08,6,Debi Tirar Mas Fotos,Bad Bunny,5,1,8
2025-03-08,7,Hurry Up Tomorrow,The Weeknd,6,1,4
2025-03-08,8,The Rise And Fall Of A Midwest Princess,Chappell Roan,7,2,49
2025-03-08,9,One Thing At A Time,Morgan Wallen,9,1,104
2025-03-08,10,Hit Me Hard And Soft,Billie Eilish,8,2,41
2025-03-08,11,The Secret Of Us,Gracie Abrams,11,2,36
2025-03-08,12,The Tortured Poets Department,Taylor Swift,13,1,45
2025-03-08,13,Stick Season,Noah Kahan,15,2,118
2025-03-08,14,CHROMAKOPIA,"Tyler, The Creator",14,1,18
2025-03-08,15,Dangerous: The Double Album,Morgan Wallen,17,1,216
2025-03-08,16,The Diamond Collection,Post Malone,22,11,66
2025-03-08,17,DAMN.,Kendrick Lamar,10,1,411
2025-03-08,18,"good kid, m.A.A.d city",Kendrick Lamar,12,2,644
2025-03-08,19,Mi Vida Mi Muerte,Neton Vega,-,19,1
2025-03-08,20,Take Care,BigXthaPlug,20,8,20
2025-03-08,21,Alligator Bites Never Heal,Doechii,18,14,13
2025-03-08,22,F-1 Trillion,Post Malone,19,1,28
2025-03-08,23,WHAM,Lil Baby,23,1,8
2025-03-08,24,Fireworks & Rollerblades,Benson Boone,21,6,47
2025-03-08,25,Incomodo,Tito Double P,29,11,27
2025-03-08,26,Ctrl,SZA,24,3,403
2025-03-08,27,I've Tried Everything But Therapy (Part I),Teddy Swims,27,17,73
2025-03-08,28,+-=÷x (Tour Collection),Ed Sheeran,26,17,20
2025-03-08,29,Brat,Charli xcx,25,3,38
2025-03-08,30,Take Care,Drake,28,1,626
2025-03-08,31,Rumours,Fleetwood Mac,31,1,622
2025-03-08,32,Beautifully Broken,Jelly Roll,35,1,20
2025-03-08,33,Blonde,Frank Ocean,33,1,423
2025-03-08,34,American Heartbreak,Zach Bryan,36,5,145
2025-03-08,35,Rosie,ROSE,32,3,12
2025-03-08,36,Cold Beer & Country Music,Zach Top,38,36,28
2025-03-08,37,Hozier,Hozier,37,2,359
2025-03-08,38,Diamonds,Elton John,39,7,381
2025-03-08,39,Un Verano Sin Ti,Bad Bunny,48,1,147
2025-03-08,40,Curtain Call: The Hits,Eminem,44,1,725
2025-03-08,41,"Where I've Been, Isn't Where I'm Going",Shaboozey,47,5,39
2025-03-08,42,Lover,Taylor Swift,34,1,288
2025-03-08,43,Zach Bryan,Zach Bryan,41,1,79
2025-03-08,44,Hamilton: An American Musical,Original Broadway Cast,52,2,492
2025-03-08,45,We Don't Trust You,Future & Metro Boomin,46,1,49
2025-03-08,46,Sour,Olivia Rodrigo,42,1,197
2025-03-08,47,The Great American Bar Scene,Zach Bryan,45,2,35
2025-03-08,48,Folklore,Taylor Swift,51,1,240
2025-03-08,49,Glorious,GloRilla,55,5,20
2025-03-08,50,Wicked: The Soundtrack,"Cynthia Erivo, Ariana Grande & Various Artists",30,2,14
2025-03-08,51,Midnights,Taylor Swift,53,1,123
2025-03-08,52,Channel Orange,Frank Ocean,56,2,219
2025-03-08,53,Guts,Olivia Rodrigo,49,1,77
2025-03-08,54,Last Lap,Rod Wave,57,2,20
2025-03-08,55,Restless Mind,Sam Barber,58,48,17
2025-03-08,56,Cosa Nuestra,Rauw Alejandro,50,6,15
2025-03-08,57,I've Tried Everything But Therapy (Part 2),Teddy Swims,43,4,5
2025-03-08,58,IGOR,"Tyler, The Creator",54,1,281
2025-03-08,59,This One's For You,Luke Combs,66,4,404
2025-03-08,60,Submarine,The Marias,65,17,24
2025-03-08,61,Don't Mind If I Do,Riley Green,73,25,18
2025-03-08,62,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,70,18,735
2025-03-08,63,Exodo,Peso Pluma,71,5,36
2025-03-08,64,1989 (Taylor's Version),Taylor Swift,61,1,70
2025-03-08,65,The Best Of Nickelback: Volume 1,Nickelback,80,21,229
2025-03-08,66,Greatest Hits,Queen,67,8,636
2025-03-08,67,2014 Forest Hills Drive,J. Cole,75,1,534
2025-03-08,68,My Turn,Lil Baby,85,1,261
2025-03-08,69,For All The Dogs,Drake,69,1,73
2025-03-08,70,Utopia,Travis Scott,68,1,83
2025-03-08,71,I Am Music,Lil Wayne,76,25,74
2025-03-08,72,The High Road,Kane Brown,60,7,5
2025-03-08,73,Genesis,Peso Pluma,62,3,88
2025-03-08,74,Starboy,The Weeknd,63,1,382
2025-03-08,75,Views,Drake,72,1,459
2025-03-08,76,Religiously. The Album.,Bailey Zimmerman,96,7,89
2025-03-08,77,Goodbye & Good Riddance,Juice WRLD,74,4,354
2025-03-08,78,Meteora,Linkin Park,90,1,184
2025-03-08,79,"Black Panther: The Album, Music From And Inspired By",Soundtrack,40,1,73
2025-03-08,80,Nevermind,Nirvana,83,1,711
2025-03-08,81,Traveller,Chris Stapleton,77,1,494
2025-03-08,82,Doo-Wops & Hooligans,Bruno Mars,87,3,717
2025-03-08,83,Greatest Hits,Creed,102,15,134
2025-03-08,84,Leather,Cody Johnson,88,18,59
2025-03-08,85,Certified Lover Boy,Drake,97,1,182
2025-03-08,86,The Fame,Lady Gaga,84,2,405
2025-03-08,87,AM,Arctic Monkeys,81,6,344
2025-03-08,88,I Never Liked You,Future,92,1,148
2025-03-08,89,Fetty Wap,Fetty Wap,64,1,98
2025-03-08,90,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,98,5,876
2025-03-08,91,Journey's Greatest Hits,Journey,99,10,846
2025-03-08,92,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,79,1,309
2025-03-08,93,Graduation,Kanye West,93,1,369
2025-03-08,94,Greatest Hits,2Pac,104,3,563
2025-03-08,95,If I Know Me,Morgan Wallen,105,10,334
2025-03-08,96,reputation,Taylor Swift,86,1,336
2025-03-08,97,T R A P S O U L,Bryson Tiller,101,8,412
2025-03-08,98,To Pimp A Butterfly,Kendrick Lamar,59,1,165
2025-03-08,99,Freudian,Daniel Caesar,94,25,142
2025-03-08,100,Eternal Sunshine,Ariana Grande,91,1,51
2025-03-08,101,Gettin' Old,Luke Combs,107,4,101
2025-03-08,102,After Hours,The Weeknd,95,1,179
2025-03-08,103,Born To Die,Lana Del Rey,100,2,577
2025-03-08,104,Unreal Unearth,Hozier,78,3,34
2025-03-08,105,Hardstone Psycho,Don Toliver,112,3,37
2025-03-08,106,Beauty Behind The Madness,The Weeknd,106,1,336
2025-03-08,107,This Wasn't Meant For You Anyway,Lola Young,114,64,10
2025-03-08,108,ASTROWORLD,Travis Scott,111,1,343
2025-03-08,109,One Of Wun,Gunna,119,2,42
2025-03-08,110,Greatest Hits,Pitbull,128,77,196
2025-03-08,111,Starting Over,Chris Stapleton,117,3,222
2025-03-08,112,Higher,Chris Stapleton,108,3,68
2025-03-08,113,Flower Boy,"Tyler, The Creator",113,2,227
2025-03-08,114,50 Number Ones,George Strait,120,1,323
2025-03-08,115,Think Later,Tate McRae,148,4,63
2025-03-08,116,Thriller,Michael Jackson,115,1,667
2025-03-08,117,Mija No Te Asustes,Clave Especial,-,117,1
2025-03-08,118,Heroes & Villains,Metro Boomin,124,1,117
2025-03-08,119,Teenage Dream,Katy Perry,118,1,411
2025-03-08,120,Greatest Hits,Tom Petty And The Heartbreakers,123,2,607
2025-03-08,121,ANTI,Rihanna,110,1,461
2025-03-08,122,Hungover,Ella Langley,127,49,22
2025-03-08,123,Muse,Jimin,109,2,32
2025-03-08,124,Happier Than Ever,Billie Eilish,116,1,186
2025-03-08,125,Mr. Morale & The Big Steppers,Kendrick Lamar,103,1,89
2025-03-08,126,Long.Live.A$AP,A$AP Rocky,131,1,91
2025-03-08,127,Am I Okay?,Megan Moroney,121,9,33
2025-03-08,128,Cowboy Carter,Beyonce,82,1,40
2025-03-08,129,$ad Boyz 4 Life II,Junior H,130,14,73
2025-03-08,130,Scorpion,Drake,125,1,348
2025-03-08,131,Greatest Hits,Red Hot Chili Peppers,-,18,315
2025-03-08,132,Twisters: The Album,Soundtrack,129,7,32
2025-03-08,133,Dlow Curry,BossMan Dlow,141,36,11
2025-03-08,134,Greatest Hits,Guns N' Roses,147,3,713
