chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-03-01,1,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,-,1,1
2025-03-01,2,Short n' Sweet,Sabrina Carpenter,7,1,26
2025-03-01,3,GNX,Kendrick Lamar,1,1,13
2025-03-01,4,SOS,SZA,2,1,115
2025-03-01,5,Debi Tirar Mas Fotos,Bad Bunny,4,1,7
2025-03-01,6,Hurry Up Tomorrow,The Weeknd,3,1,3
2025-03-01,7,The Rise And Fall Of A Midwest Princess,Chappell Roan,5,2,48
2025-03-01,8,Hit Me Hard And Soft,Billie Eilish,6,2,40
2025-03-01,9,One Thing At A Time,Morgan Wallen,8,1,103
2025-03-01,10,DAMN.,Kendrick Lamar,9,1,410
2025-03-01,11,The Secret Of Us,Gracie Abrams,13,2,35
2025-03-01,12,"good kid, m.A.A.d city",Kendrick Lamar,10,2,643
2025-03-01,13,The Tortured Poets Department,Taylor Swift,11,1,44
2025-03-01,14,CHROMAKOPIA,"Tyler, The Creator",12,1,17
2025-03-01,15,Stick Season,Noah Kahan,15,2,117
2025-03-01,16,Automatic,The Lumineers,-,16,1
2025-03-01,17,Dangerous: The Double Album,Morgan Wallen,16,1,215
2025-03-01,18,Alligator Bites Never Heal,Doechii,14,14,12
2025-03-01,19,F-1 Trillion,Post Malone,17,1,27
2025-03-01,20,Take Care,BigXthaPlug,20,8,19
2025-03-01,21,Fireworks & Rollerblades,Benson Boone,18,6,46
2025-03-01,22,The Diamond Collection,Post Malone,24,11,65
2025-03-01,23,WHAM,Lil Baby,19,1,7
2025-03-01,24,Ctrl,SZA,23,3,402
2025-03-01,25,Brat,Charli xcx,21,3,37
2025-03-01,26,+-=÷x (Tour Collection),Ed Sheeran,33,17,19
2025-03-01,27,I've Tried Everything But Therapy (Part I),Teddy Swims,27,17,72
2025-03-01,28,Take Care,Drake,28,1,625
2025-03-01,29,Incomodo,Tito Double P,26,11,26
2025-03-01,30,Wicked: The Soundtrack,"Cynthia Erivo, Ariana Grande & Various Artists",22,2,13
2025-03-01,31,Rumours,Fleetwood Mac,35,1,621
2025-03-01,32,Rosie,ROSE,31,3,11
2025-03-01,33,Blonde,Frank Ocean,30,1,422
2025-03-01,34,Lover,Taylor Swift,36,1,287
2025-03-01,35,Beautifully Broken,Jelly Roll,29,1,19
2025-03-01,36,American Heartbreak,Zach Bryan,38,5,144
2025-03-01,37,Hozier,Hozier,39,2,358
2025-03-01,38,Cold Beer & Country Music,Zach Top,49,38,27
2025-03-01,39,Diamonds,Elton John,48,7,380
2025-03-01,40,"Black Panther: The Album, Music From And Inspired By",Soundtrack,42,1,72
2025-03-01,41,Zach Bryan,Zach Bryan,45,1,78
2025-03-01,42,Sour,Olivia Rodrigo,40,1,196
2025-03-01,43,I've Tried Everything But Therapy (Part 2),Teddy Swims,34,4,4
2025-03-01,44,Curtain Call: The Hits,Eminem,50,1,724
2025-03-01,45,The Great American Bar Scene,Zach Bryan,44,2,34
2025-03-01,46,We Don't Trust You,Future & Metro Boomin,37,1,48
2025-03-01,47,"Where I've Been, Isn't Where I'm Going",Shaboozey,46,5,38
2025-03-01,48,Un Verano Sin Ti,Bad Bunny,57,1,146
2025-03-01,49,Guts,Olivia Rodrigo,51,1,76
2025-03-01,50,Cosa Nuestra,Rauw Alejandro,43,6,14
2025-03-01,51,Folklore,Taylor Swift,56,1,239
2025-03-01,52,Hamilton: An American Musical,Original Broadway Cast,64,2,491
2025-03-01,53,Midnights,Taylor Swift,59,1,122
2025-03-01,54,IGOR,"Tyler, The Creator",55,1,280
2025-03-01,55,Glorious,GloRilla,47,5,19
2025-03-01,56,Channel Orange,Frank Ocean,63,2,218
2025-03-01,57,Last Lap,Rod Wave,53,2,19
2025-03-01,58,Restless Mind,Sam Barber,60,48,16
2025-03-01,59,To Pimp A Butterfly,Kendrick Lamar,54,1,164
2025-03-01,60,The High Road,Kane Brown,58,7,4
2025-03-01,61,1989 (Taylor's Version),Taylor Swift,65,1,69
2025-03-01,62,Genesis,Peso Pluma,68,3,87
2025-03-01,63,Starboy,The Weeknd,62,1,381
2025-03-01,64,Fetty Wap,Fetty Wap,52,1,97
2025-03-01,65,Submarine,The Marias,66,17,23
2025-03-01,66,This One's For You,Luke Combs,71,4,403
2025-03-01,67,Greatest Hits,Queen,77,8,635
2025-03-01,68,Utopia,Travis Scott,67,1,82
2025-03-01,69,For All The Dogs,Drake,61,1,72
2025-03-01,70,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,74,18,734
2025-03-01,71,Exodo,Peso Pluma,69,5,35
2025-03-01,72,Views,Drake,70,1,458
2025-03-01,73,Don't Mind If I Do,Riley Green,112,25,17
2025-03-01,74,Goodbye & Good Riddance,Juice WRLD,78,4,353
2025-03-01,75,2014 Forest Hills Drive,J. Cole,83,1,533
2025-03-01,76,I Am Music,Lil Wayne,117,25,73
2025-03-01,77,Traveller,Chris Stapleton,81,1,493
2025-03-01,78,Unreal Unearth,Hozier,80,3,33
2025-03-01,79,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,73,1,308
2025-03-01,80,The Best Of Nickelback: Volume 1,Nickelback,76,21,228
2025-03-01,81,AM,Arctic Monkeys,87,6,343
2025-03-01,82,Cowboy Carter,Beyonce,32,1,39
2025-03-01,83,Nevermind,Nirvana,96,1,710
2025-03-01,84,The Fame,Lady Gaga,79,2,404
2025-03-01,85,My Turn,Lil Baby,85,1,260
2025-03-01,86,reputation,Taylor Swift,84,1,335
2025-03-01,87,Doo-Wops & Hooligans,Bruno Mars,97,3,716
2025-03-01,88,Leather,Cody Johnson,91,18,58
2025-03-01,89,Emails I Can't Send,Sabrina Carpenter,116,23,73
2025-03-01,90,Meteora,Linkin Park,154,1,183
2025-03-01,91,Eternal Sunshine,Ariana Grande,86,1,50
2025-03-01,92,I Never Liked You,Future,90,1,147
2025-03-01,93,Graduation,Kanye West,72,1,368
2025-03-01,94,Freudian,Daniel Caesar,104,25,141
2025-03-01,95,After Hours,The Weeknd,88,1,178
2025-03-01,96,Religiously. The Album.,Bailey Zimmerman,-,7,88
2025-03-01,97,Certified Lover Boy,Drake,82,1,181
2025-03-01,98,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,95,5,875
2025-03-01,99,Journey's Greatest Hits,Journey,108,10,845
2025-03-01,100,Born To Die,Lana Del Rey,92,2,576
2025-03-01,101,T R A P S O U L,Bryson Tiller,99,8,411
2025-03-01,102,Greatest Hits,Creed,93,15,133
2025-03-01,103,Mr. Morale & The Big Steppers,Kendrick Lamar,75,1,88
2025-03-01,104,Greatest Hits,2Pac,107,3,562
2025-03-01,105,If I Know Me,Morgan Wallen,100,10,333
2025-03-01,106,Beauty Behind The Madness,The Weeknd,-,1,335
2025-03-01,107,Gettin' Old,Luke Combs,109,4,100
2025-03-01,108,Higher,Chris Stapleton,94,3,67
2025-03-01,109,Muse,Jimin,132,2,31
2025-03-01,110,ANTI,Rihanna,114,1,460
2025-03-01,111,ASTROWORLD,Travis Scott,111,1,342
2025-03-01,112,Hardstone Psycho,Don Toliver,103,3,36
2025-03-01,113,Flower Boy,"Tyler, The Creator",105,2,226
2025-03-01,114,This Wasn't Meant For You Anyway,Lola Young,102,64,9
2025-03-01,115,Thriller,Michael Jackson,120,1,666
2025-03-01,116,Happier Than Ever,Billie Eilish,110,1,185
2025-03-01,117,Starting Over,Chris Stapleton,106,3,221
2025-03-01,118,Teenage Dream,Katy Perry,122,1,410
2025-03-01,119,One Of Wun,Gunna,101,2,41
2025-03-01,120,50 Number Ones,George Strait,135,1,322
2025-03-01,121,Am I Okay?,Megan Moroney,115,9,32
2025-03-01,122,Hop,Stray Kids,129,1,10
2025-03-01,123,Greatest Hits,Tom Petty And The Heartbreakers,137,2,606
2025-03-01,124,Heroes & Villains,Metro Boomin,118,1,116
2025-03-01,125,Scorpion,Drake,113,1,347
2025-03-01,126,Perfect Storm,Hurricane Wisdom,-,126,1
2025-03-01,127,Hungover,Ella Langley,130,49,21
2025-03-01,128,Greatest Hits,Pitbull,133,77,195
2025-03-01,129,Twisters: The Album,Soundtrack,124,7,31
2025-03-01,130,$ad Boyz 4 Life II,Junior H,119,14,72
2025-03-01,131,Long.Live.A$AP,A$AP Rocky,143,1,90
2025-03-01,132,PARTYNEXTDOOR 4 (P4),PARTYNEXTDOOR,134,10,42
2025-03-01,133,Red (Taylor's Version),Taylor Swift,126,1,171
2025-03-01,134,The Select,Ty Myers,121,66,4
2025-03-01,135,The Highlights,The Weeknd,25,2,204
2025-03-01,136,11:11,Chris Brown,123,9,58
2025-03-01,137,Good Girl Gone Bad,Rihanna,141,2,171
2025-03-01,138,Over It,Summer Walker,140,2,280
2025-03-01,139,Gold: Greatest Hits,ABBA,155,25,365
