chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-08-02,1,Don't Tap The Glass,"Tyler, the Creator",LW,-,PEAK
2025-08-02,2,I'm The Problem,Morgan Wallen,LW,3,PEAK
2025-08-02,3,KPop Demon Hunters,Soundtrack,LW,5,PEAK
2025-08-02,4,JACKBOYS 2,JACKBOYS & Travis Scott,LW,1,PEAK
2025-08-02,5,"You'll Be Alright, Kid",Alex Warren,LW,19,PEAK
2025-08-02,6,Swag,Justin Bieber,LW,2,PEAK
2025-08-02,7,The Essential Ozzy Osbourne,Ozzy Osbourne,LW,134,PEAK
2025-08-02,8,Sex Hysteria,jessie murph,LW,-,PEAK
2025-08-02,9,Let God Sort Em Out,Clipse,LW,4,PEAK
2025-08-02,10,Permission To Dance On Stage - Live,BTS,LW,-,PEAK
2025-08-02,11,One Thing At A Time,Morgan Wallen,LW,9,PEAK
2025-08-02,12,SOS,SZA,LW,10,PEAK
2025-08-02,13,MagicMan 2,Jackson Wang,LW,-,PEAK
2025-08-02,14,Debi Tirar Mas Fotos,Bad Bunny,LW,11,PEAK
2025-08-02,15,Short n' Sweet,Sabrina Carpenter,LW,12,PEAK
2025-08-02,16,Dangerous: The Double Album,Morgan Wallen,LW,13,PEAK
2025-08-02,17,"Where I've Been, Isn't Where I'm Going",Shaboozey,LW,14,PEAK
2025-08-02,18,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,LW,15,PEAK
2025-08-02,19,Rumours,Fleetwood Mac,LW,21,PEAK
2025-08-02,20,GNX,Kendrick Lamar,LW,16,PEAK
2025-08-02,21,Beloved,Giveon,LW,8,PEAK
2025-08-02,22,Hit Me Hard And Soft,Billie Eilish,LW,18,PEAK
2025-08-02,23,The Cosmic Selector Vol. 1,Lord Huron,LW,-,PEAK
2025-08-02,24,The Rise And Fall Of A Midwest Princess,Chappell Roan,LW,20,PEAK
2025-08-02,25,This Is For,Twice,LW,6,PEAK
2025-08-02,26,Stick Season,Noah Kahan,LW,22,PEAK
2025-08-02,27,Tropicoqueta,Karol G,LW,17,PEAK
2025-08-02,28,The Tortured Poets Department,Taylor Swift,LW,26,PEAK
2025-08-02,29,111XPANTIA,Fuerza Regida,LW,25,PEAK
2025-08-02,30,American Heartbreak,Zach Bryan,LW,37,PEAK
2025-08-02,31,ADHD 2,Joyner Lucas,LW,-,PEAK
2025-08-02,32,F1: The Album,Soundtrack,LW,23,PEAK
2025-08-02,33,F-1 Trillion,Post Malone,LW,33,PEAK
2025-08-02,34,The Diamond Collection,Post Malone,LW,28,PEAK
2025-08-02,35,Take Care,Drake,LW,36,PEAK
2025-08-02,36,+-=÷x (Tour Collection),Ed Sheeran,LW,31,PEAK
2025-08-02,37RE-ENTRY,Paranoid,Black Sabbath,LW,-,PEAK
2025-08-02,38,Un Verano Sin Ti,Bad Bunny,LW,35,PEAK
2025-08-02,39,American Heart,Benson Boone,LW,27,PEAK
2025-08-02,40,So Close To What,Tate McRae,LW,32,PEAK
2025-08-02,41,Hamilton: An American Musical,Original Broadway Cast,LW,30,PEAK
2025-08-02,42,MAYHEM,Lady Gaga,LW,39,PEAK
2025-08-02,43,Fireworks & Rollerblades,Benson Boone,LW,38,PEAK
2025-08-02,44,Diamonds,Elton John,LW,41,PEAK
2025-08-02,45,Zach Bryan,Zach Bryan,LW,50,PEAK
2025-08-02,46,I've Tried Everything But Therapy (Part I),Teddy Swims,LW,43,PEAK
2025-08-02,47,Hurry Up Tomorrow,The Weeknd,LW,34,PEAK
2025-08-02,48,Beautiful Chaos (EP),KATSEYE,LW,24,PEAK
2025-08-02,49,MUSIC,Playboi Carti,LW,42,PEAK
2025-08-02,50,The Best Of Nickelback: Volume 1,Nickelback,LW,49,PEAK
2025-08-02,51,The Secret Of Us,Gracie Abrams,LW,47,PEAK
2025-08-02,52,Submarine,The Marias,LW,46,PEAK
2025-08-02,53,If I Know Me,Morgan Wallen,LW,53,PEAK
2025-08-02,54,Lover,Taylor Swift,LW,51,PEAK
2025-08-02,55,Curtain Call: The Hits,Eminem,LW,55,PEAK
2025-08-02,56,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,LW,48,PEAK
2025-08-02,57,"good kid, m.A.A.d city",Kendrick Lamar,LW,52,PEAK
2025-08-02,58,The Great American Bar Scene,Zach Bryan,LW,65,PEAK
2025-08-02,59,Mi Vida Mi Muerte,Neton Vega,LW,56,PEAK
2025-08-02,60,Eternal Sunshine,Ariana Grande,LW,81,PEAK
2025-08-02,61,Folklore,Taylor Swift,LW,68,PEAK
2025-08-02,62,Cold Beer & Country Music,Zach Top,LW,57,PEAK
2025-08-02,63,reputation,Taylor Swift,LW,44,PEAK
2025-08-02,64,Hozier,Hozier,LW,61,PEAK
2025-08-02,65RE-ENTRY,Don't Mind If I Do,Riley Green,LW,-,PEAK
2025-08-02,66,Take Care,BigXthaPlug,LW,54,PEAK
2025-08-02,67,Sour,Olivia Rodrigo,LW,67,PEAK
2025-08-02,68,GOLDEN HOUR : Part.3 (EP),ATEEZ,LW,7,PEAK
2025-08-02,69,Ctrl,SZA,LW,64,PEAK
2025-08-02,70,35 Biggest Hits,Toby Keith,LW,59,PEAK
2025-08-02,71,CHROMAKOPIA,"Tyler, the Creator",LW,93,PEAK
2025-08-02,72,Greatest Hits,Queen,LW,62,PEAK
2025-08-02,73,Brat,Charli xcx,LW,60,PEAK
2025-08-02,74,Views,Drake,LW,72,PEAK
2025-08-02,75,This One's For You,Luke Combs,LW,70,PEAK
2025-08-02,76,Journey's Greatest Hits,Journey,LW,71,PEAK
2025-08-02,77,Guts,Olivia Rodrigo,LW,80,PEAK
2025-08-02,78,Blonde,Frank Ocean,LW,82,PEAK
2025-08-02,79,Greatest Hits,Tom Petty And The Heartbreakers,LW,75,PEAK
2025-08-02,80,ZOMBIES 4: Dawn Of The Vampires,Soundtrack,LW,90,PEAK
2025-08-02,81,Greatest Hits,Creed,LW,73,PEAK
2025-08-02,82RE-ENTRY,Kansas Anymore,Role Model,LW,-,PEAK
2025-08-02,83,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,LW,78,PEAK
2025-08-02,84,Greatest Hits,Pitbull,LW,76,PEAK
2025-08-02,85,The Fame,Lady Gaga,LW,98,PEAK
2025-08-02,86,Midnights,Taylor Swift,LW,86,PEAK
2025-08-02,87,Traveller,Chris Stapleton,LW,83,PEAK
2025-08-02,88,Nevermind,Nirvana,LW,77,PEAK
2025-08-02,89,IGOR,"Tyler, the Creator",LW,130,PEAK
2025-08-02,90,Beautifully Broken,Jelly Roll,LW,74,PEAK
2025-08-02,91,About A Woman,Thomas Rhett,LW,172,PEAK
2025-08-02,92,Hungover,Ella Langley,LW,69,PEAK
2025-08-02,93,DAMN.,Kendrick Lamar,LW,84,PEAK
2025-08-02,94,The Essential Michael Jackson,Michael Jackson,LW,87,PEAK
2025-08-02,95,Even In Arcadia,Sleep Token,LW,85,PEAK
2025-08-02,96,Religiously. The Album.,Bailey Zimmerman,LW,91,PEAK
2025-08-02,97,BORONDO,Beele,LW,88,PEAK
2025-08-02,98,Certified Lover Boy,Drake,LW,102,PEAK
2025-08-02,99,What Not To,Tucker Wetmore,LW,97,PEAK
2025-08-02,100,All Time Greatest Hits,Lynyrd Skynyrd,LW,94,PEAK
2025-08-02,101,Starting Over,Chris Stapleton,LW,104,PEAK
2025-08-02,102,Greatest Hits,Fleetwood Mac,LW,99,PEAK
2025-08-02,103,My Turn,Lil Baby,LW,95,PEAK
2025-08-02,104,Starboy,The Weeknd,LW,89,PEAK
2025-08-02,105,50 Number Ones,George Strait,LW,108,PEAK
2025-08-02,106,For All The Dogs,Drake,LW,112,PEAK
2025-08-02,107,[Hybrid Theory],Linkin Park,LW,110,PEAK
2025-08-02,108,Greatest Hits,Guns N' Roses,LW,116,PEAK
2025-08-02,109,Cowboy Carter,Beyonce,LW,58,PEAK
2025-08-02,110,AM,Arctic Monkeys,LW,111,PEAK
2025-08-02,111,Gettin' Old,Luke Combs,LW,105,PEAK
2025-08-02,112,Born To Die,Lana Del Rey,LW,96,PEAK
2025-08-02,113,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,LW,92,PEAK
2025-08-02,114,Westward,Dylan Gossett,LW,-,PEAK
2025-08-02,115,Meteora,Linkin Park,LW,115,PEAK
2025-08-02,116,Teenage Dream,Katy Perry,LW,109,PEAK
2025-08-02,117,Am I Okay?,Megan Moroney,LW,100,PEAK
2025-08-02,118,After Hours,The Weeknd,LW,106,PEAK
2025-08-02,119,Exodo,Peso Pluma,LW,107,PEAK
2025-08-02,120,Virgin,Lorde,LW,66,PEAK
2025-08-02,121,Channel Orange,Frank Ocean,LW,122,PEAK
2025-08-02,122,20 Number Ones,Thomas Rhett,LW,114,PEAK
2025-08-02,123,Scorpion,Drake,LW,119,PEAK
2025-08-02,124,Parachutes,Coldplay,LW,177,PEAK
2025-08-02,125,Child Of God II,Forrest Frank,LW,117,PEAK
2025-08-02,126,Restless Mind,Sam Barber,LW,101,PEAK
2025-08-02,127,Legends Never Die,Juice WRLD,LW,40,PEAK
2025-08-02,128,Gold: Greatest Hits,ABBA,LW,123,PEAK
2025-08-02,129,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates,LW,118,PEAK
2025-08-02,130,King Of Hearts,Brandon Lake,LW,127,PEAK
2025-08-02,131,Beauty Behind The Madness,The Weeknd,LW,121,PEAK
2025-08-02,132,Thriller,Michael Jackson,LW,125,PEAK
2025-08-02,133,Redencion,Dareyes de La Sierra,LW,144,PEAK
2025-08-02,134,1989 (Taylor's Version),Taylor Swift,LW,128,PEAK
2025-08-02,135,T R A P S O U L,Bryson Tiller,LW,133,PEAK
2025-08-02,136,Child Of God,Forrest Frank,LW,135,PEAK
2025-08-02,137,Mutt,Leon Thomas,LW,131,PEAK
2025-08-02,138,Their Greatest Hits 1971-1975,Eagles,LW,129,PEAK
2025-08-02,139,I Never Liked You,Future,LW,132,PEAK
2025-08-02,140,Utopia,Travis Scott,LW,124,PEAK
2025-08-02,141,Unreal Unearth,Hozier,LW,136,PEAK
2025-08-02,142,Higher,Chris Stapleton,LW,137,PEAK
2025-08-02,143,Toxicity,System of a Down,LW,126,PEAK
2025-08-02,144,Greatest Hits,2Pac,LW,188,PEAK
2025-08-02,145RE-ENTRY,Greatest Hits Vol. I & II,Billy Joel,LW,-,PEAK
2025-08-02,146,Dopamine,Lil Tecca,LW,103,PEAK
2025-08-02,147,Graduation,Kanye West,LW,152,PEAK
2025-08-02,148,Greatest Hits,Aerosmith,LW,154,PEAK
2025-08-02,149,The Select,Ty Myers,LW,138,PEAK
2025-08-02,150,ASTROWORLD,Travis Scott,LW,143,PEAK
2025-08-02,151,Incomodo,Tito Double P,LW,140,PEAK
2025-08-02,152,Tha Carter III,Lil Wayne,LW,150,PEAK
