chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2025-02-22,1,Not Like Us,Kendrick Lamar,15,1,40
2025-02-22,2,Luther,Kendrick Lamar & SZA,3,2,12
2025-02-22,3,TV Off,Kendrick Lamar Featuring Lefty Gunplay,10,2,12
2025-02-22,4,Die With A Smile,Lady Gaga & Bruno Mars,1,1,26
2025-02-22,5,Squabble Up,Kendrick Lamar,20,1,12
2025-02-22,6,Birds Of A Feather,Billie Eilish,4,2,39
2025-02-22,7,APT.,ROSE & Bruno Mars,6,3,17
2025-02-22,8,A Bar Song (Tipsy),Shaboozey,5,1,44
2025-02-22,9,Pink Pony Club,Chappell Roan,18,9,35
2025-02-22,10,30 For 30,SZA With Kendrick Lamar,22,10,8
2025-02-22,11,Beautiful Things,Benson Boone,9,2,55
2025-02-22,12,Lose Control,Teddy Swims,8,1,78
2025-02-22,13,Abracadabra,Lady Gaga,29,13,2
2025-02-22,14,All The Stars,Kendrick Lamar & SZA,-,7,22
2025-02-22,15,That's So True,Gracie Abrams,13,6,17
2025-02-22,16,Timeless,The Weeknd & Playboi Carti,7,3,20
2025-02-22,17,Love Somebody,Morgan Wallen,11,1,17
2025-02-22,18,Espresso,Sabrina Carpenter,14,3,44
2025-02-22,19,I'm The Problem,Morgan Wallen,2,2,2
2025-02-22,20,I Had Some Help,Post Malone Featuring Morgan Wallen,16,1,40
2025-02-22,21,Denial Is A River,Doechii,27,21,6
2025-02-22,22,Messy,Lola Young,19,14,11
2025-02-22,23,"Good Luck, Babe!",Chappell Roan,23,4,44
2025-02-22,24,Taste,Sabrina Carpenter,21,2,25
2025-02-22,25,DTMF,Bad Bunny,17,2,6
2025-02-22,26,Too Sweet,Hozier,24,1,46
2025-02-22,27,Cry For Me,The Weeknd,12,12,2
2025-02-22,28,Peekaboo,Kendrick Lamar Featuring AzChike,81,13,12
2025-02-22,29,Wildflower,Billie Eilish,32,17,35
2025-02-22,30,Stargazing,Myles Smith,25,19,39
2025-02-22,31,Tweaker,GELO,51,29,6
2025-02-22,32,Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",28,10,16
2025-02-22,33,Humble.,Kendrick Lamar,-,1,38
2025-02-22,34,BMF,SZA,42,29,8
2025-02-22,35,High Road,Koe Wetzel & Jessie Murph,31,22,36
2025-02-22,36,Baile Inolvidable,Bad Bunny,26,3,6
2025-02-22,37,Sailor Song,Gigi Perez,35,22,26
2025-02-22,38,Smile,Morgan Wallen,30,4,7
2025-02-22,39,Bed Chem,Sabrina Carpenter,38,14,25
2025-02-22,40,Who,Jimin,36,12,29
2025-02-22,41,Sports Car,Tate McRae,33,21,3
2025-02-22,42,Liar,Jelly Roll,44,38,20
2025-02-22,43,No One Noticed,The Marias,40,22,20
2025-02-22,44,Whatchu Kno About Me,GloRilla & Sexyy Red,39,17,18
2025-02-22,45,Like That,"Future, Metro Boomin & Kendrick Lamar",-,1,32
2025-02-22,46,Fat Juicy & Wet,Sexyy Red & Bruno Mars,34,17,3
2025-02-22,47,Please Please Please,Sabrina Carpenter,47,1,34
