chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2024-09-28,1,Days Before Rodeo,Travis Scott,106,1,4
2024-09-28,2,Short n' Sweet,Sabrina Carpenter,1,1,4
2024-09-28,3,The Rise And Fall Of A Midwest Princess,Chappell Roan,3,2,26
2024-09-28,4,F-1 Trillion,Post Malone,2,1,5
2024-09-28,5,One Thing At A Time,Morgan Wallen,4,1,81
2024-09-28,6,The Tortured Poets Department,Taylor Swift,5,1,22
2024-09-28,7,The Death Of Slim Shady (Coup de Grace),Eminem,42,1,10
2024-09-28,8,Hit Me Hard And Soft,Billie Eilish,6,2,18
2024-09-28,9,Stick Season,Noah Kahan,8,2,95
2024-09-28,10,The Great American Bar Scene,Zach Bryan,7,2,12
2024-09-28,11,Dangerous: The Double Album,Morgan Wallen,9,1,193
2024-09-28,12,Brat,Charli xcx,13,3,15
2024-09-28,13,SOS,SZA,11,1,93
2024-09-28,14,Zach Bryan,Zach Bryan,12,1,56
2024-09-28,15,Exodo,Peso Pluma,15,5,13
2024-09-28,16,American Heartbreak,Zach Bryan,16,5,122
2024-09-28,17,Incomodo,Tito Double P,18,17,4
2024-09-28,18,Fireworks & Rollerblades,Benson Boone,22,6,24
2024-09-28,19,"Where I've Been, Isn't Where I'm Going",Shaboozey,17,5,16
2024-09-28,20,I've Tried Everything But Therapy (Part I),Teddy Swims,20,17,50
2024-09-28,21,Postcards From Texas,Miranda Lambert,-,21,1
2024-09-28,22,Lover,Taylor Swift,23,1,265
2024-09-28,23,The Secret Of Us,Gracie Abrams,26,2,13
2024-09-28,24,Twisters: The Album,Soundtrack,21,7,9
2024-09-28,25,We Don't Trust You,Future & Metro Boomin,25,1,26
2024-09-28,26,Folklore,Taylor Swift,27,1,217
2024-09-28,27,Requiem,keshi,-,27,1
2024-09-28,28,Midnights,Taylor Swift,29,1,100
2024-09-28,29,Guts,Olivia Rodrigo,28,1,54
2024-09-28,30,Blonde,Frank Ocean,30,1,400
2024-09-28,31,This One's For You,Luke Combs,31,4,381
2024-09-28,32,Rumours,Fleetwood Mac,34,1,599
2024-09-28,33,Utopia,Travis Scott,36,1,60
2024-09-28,34,DAMN.,Kendrick Lamar,35,1,388
2024-09-28,35,Genesis,Peso Pluma,41,3,65
2024-09-28,36,1989 (Taylor's Version),Taylor Swift,32,1,47
2024-09-28,37,Un Verano Sin Ti,Bad Bunny,37,1,124
2024-09-28,38,For All The Dogs,Drake,40,1,50
2024-09-28,39,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,33,18,712
2024-09-28,40,19.99,BOYNEXTDOOR,-,40,1
2024-09-28,41,Diamonds,Elton John,43,7,358
2024-09-28,42,Curtain Call: The Hits,Eminem,44,1,702
2024-09-28,43,Sour,Olivia Rodrigo,49,1,174
2024-09-28,44,"good kid, m.A.A.d city",Kendrick Lamar,46,2,621
2024-09-28,45,A Great Chaos,Ken Carson,45,11,29
2024-09-28,46,The First Time,The Kid LAROI,48,24,16
2024-09-28,47,Ctrl,SZA,52,3,380
2024-09-28,48,Eternal Sunshine,Ariana Grande,39,1,28
2024-09-28,49,reputation,Taylor Swift,53,1,313
2024-09-28,50,Hollywood's Bleeding,Post Malone,57,1,225
2024-09-28,51,Take Care,Drake,58,1,603
