chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-12-30,1,All I Want For Christmas Is You,Mariah Carey,1,1,64
2023-12-30,2,Rockin' Around The Christmas Tree,Brenda Lee,2,1,57
2023-12-30,3,Jingle Bell Rock,Bobby Helms,3,3,55
2023-12-30,4,Last Christmas,Wham!,4,4,37
2023-12-30,5,A Holly Jolly Christmas,Burl Ives,5,4,38
2023-12-30,6,Lovin On Me,Jack Harlow,6,1,6
2023-12-30,7,It's The Most Wonderful Time Of The Year,Andy Williams,7,5,38
2023-12-30,8,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,10,8,30
2023-12-30,9,Feliz Navidad,Jose Feliciano,12,6,31
2023-12-30,10,Sleigh Ride,The Ronettes,8,8,27
2023-12-30,11,The Christmas Song (Merry Christmas To You),"Nat ""King"" Cole",15,9,43
2023-12-30,12,Santa Tell Me,Ariana Grande,14,12,23
2023-12-30,13,Underneath The Tree,Kelly Clarkson,11,11,26
2023-12-30,14,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,24,12,22
2023-12-30,15,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,23,12,34
2023-12-30,16,Jingle Bells,Frank Sinatra With Orchestra Conducted By Gordon Jenkins,20,16,13
2023-12-30,17,Christmas (Baby Please Come Home),Darlene Love,18,15,21
2023-12-30,18,Cruel Summer,Taylor Swift,13,1,33
2023-12-30,19,Greedy,Tate McRae,9,7,14
2023-12-30,20,Snooze,SZA,16,2,54
2023-12-30,21,Paint The Town Red,Doja Cat,17,1,20
2023-12-30,22,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,25,22,19
2023-12-30,23,Deck The Halls,Nat King Cole,28,16,12
2023-12-30,24,It's Beginning To Look A Lot Like Christmas,Michael Buble,19,19,19
2023-12-30,25,Blue Christmas,Elvis Presley,27,24,12
2023-12-30,26,Water,Tyla,21,10,12
2023-12-30,27,Run Rudolph Run,Chuck Berry,38,10,21
2023-12-30,28,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,22,1,17
2023-12-30,29,Agora Hills,Doja Cat,30,14,13
2023-12-30,30,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,31,30,8
2023-12-30,31,Little Saint Nick,The Beach Boys,40,29,7
2023-12-30,32,Please Come Home For Christmas,Eagles,45,18,14
2023-12-30,33,Last Night,Morgan Wallen,29,1,47
2023-12-30,34,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,41,31,11
2023-12-30,35,Santa Claus Is Comin' To Town,Jackson 5,37,33,10
2023-12-30,36,Wonderful Christmastime,Paul McCartney,35,28,12
2023-12-30,37,Thinkin' Bout Me,Morgan Wallen,32,7,42
2023-12-30,38,Rudolph The Red-Nosed Reindeer,Gene Autry & The Pinafores,33,16,26
2023-12-30,39,Everybody,Nicki Minaj Featuring Lil Uzi Vert,26,26,2
2023-12-30,40,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,36,1,8
2023-12-30,41,Lose Control,Teddy Swims,47,39,19
2023-12-30,42,FTCU,Nicki Minaj,42,42,2
2023-12-30,43,Like It's Christmas,Jonas Brothers,46,43,6
2023-12-30,44,Happy Holiday / The Holiday Season,Andy Williams,49,18,18
2023-12-30,45,This Christmas,Donny Hathaway,-,37,4
2023-12-30,46,Fast Car,Luke Combs,39,2,39
2023-12-30,47,Lil Boo Thang,Paul Russell,43,23,14
2023-12-30,48,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,-,38,5
2023-12-30,49,What Was I Made For?,Billie Eilish,53,14,23
2023-12-30,50,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,44,11,11
2023-12-30,51,First Person Shooter,Drake Featuring J. Cole,51,1,11
2023-12-30,52,White Horse,Chris Stapleton,55,12,22
2023-12-30,53,Stick Season,Noah Kahan,54,31,12
2023-12-30,54,Used To Be Young,Miley Cyrus,52,8,17
2023-12-30,55,World On Fire,Nate Smith,62,47,8
2023-12-30,56,Good Good,"Usher, Summer Walker & 21 Savage",56,25,19
2023-12-30,57,Houdini,Dua Lipa,59,11,6
2023-12-30,58,My Love Mine All Mine,Mitski,61,26,13
2023-12-30,59,Pretty Little Poison,Warren Zeiders,71,46,15
2023-12-30,60,Exes,Tate McRae,57,34,5
2023-12-30,61,Surround Sound,JID Featuring 21 Savage & Baby Tate,72,61,6
2023-12-30,62,On My Mama,Victoria Monet,70,48,14
2023-12-30,63,IDGAF,Drake Featuring Yeat,66,2,11
2023-12-30,64,Monaco,Bad Bunny,67,5,10
2023-12-30,65,Needle,Nicki Minaj Featuring Drake,34,34,2
2023-12-30,66,Strangers,Kenya Grace,78,52,14
2023-12-30,67,Wild Ones,Jessie Murph & Jelly Roll,77,42,11
