chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-01-07,1,All I Want For Christmas Is You,Mariah Carey,1,1,58
2023-01-07,2,Rockin' Around The Christmas Tree,Brenda Lee,2,2,52
2023-01-07,3,Jingle Bell Rock,Bobby Helms,3,3,49
2023-01-07,4,Last Christmas,Wham!,5,4,31
2023-01-07,5,A Holly Jolly Christmas,Burl Ives,4,4,32
2023-01-07,6,It's The Most Wonderful Time Of The Year,Andy Williams,6,5,33
2023-01-07,7,Feliz Navidad,Jose Feliciano,8,6,26
2023-01-07,8,Anti-Hero,Taylor Swift,9,1,10
2023-01-07,9,The Christmas Song (Merry Christmas To You),Nat King Cole,11,9,38
2023-01-07,10,Unholy,Sam Smith & Kim Petras,10,1,14
2023-01-07,11,Kill Bill,SZA,7,3,3
2023-01-07,12,Santa Tell Me,Ariana Grande,12,12,18
2023-01-07,13,Sleigh Ride,The Ronettes,13,10,22
2023-01-07,14,Underneath The Tree,Kelly Clarkson,14,12,21
2023-01-07,15,Christmas (Baby Please Come Home),Darlene Love,15,15,17
2023-01-07,16,White Christmas,Bing Crosby,18,12,30
2023-01-07,17,Deck The Halls,Nat King Cole,16,16,8
2023-01-07,18,"Let It Snow, Let It Snow, Let It Snow",Dean Martin,17,8,25
2023-01-07,19,I'm Good (Blue),David Guetta & Bebe Rexha,23,7,18
2023-01-07,20,Jingle Bells,Frank Sinatra,22,20,9
2023-01-07,21,Rich Flex,Drake & 21 Savage,20,2,8
2023-01-07,22,Creepin',"Metro Boomin, The Weeknd & 21 Savage",19,5,4
2023-01-07,23,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,24,12,18
2023-01-07,24,Blue Christmas,Elvis Presley,27,24,8
2023-01-07,25,It's Beginning To Look A Lot Like Christmas,Michael Buble,21,20,15
2023-01-07,26,Die For You,The Weeknd,26,12,22
2023-01-07,27,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,25,25,15
2023-01-07,28,Rudolph The Red-Nosed Reindeer,Gene Autry,28,16,22
2023-01-07,29,Little Saint Nick,The Beach Boys,30,29,4
2023-01-07,30,Bad Habit,Steve Lacy,29,1,26
2023-01-07,31,As It Was,Harry Styles,35,1,39
2023-01-07,32,Run Rudolph Run,Chuck Berry,34,10,17
2023-01-07,33,Wonderful Christmastime,Paul McCartney,32,28,8
2023-01-07,34,Santa Claus Is Comin' To Town,Jackson 5,33,33,6
2023-01-07,35,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,31,31,7
2023-01-07,36,Santa Baby,Eartha Kitt With Henri Rene And His Orchestra,45,35,5
2023-01-07,37,This Christmas,Donny Hathaway,47,37,3
2023-01-07,38,Cuff It,Beyonce,39,13,20
2023-01-07,39,Under The Influence,Chris Brown,37,14,16
2023-01-07,40,Happy Holiday / The Holiday Season,Andy Williams,40,18,15
2023-01-07,41,(There's No Place Like) Home For The Holidays (1959),Perry Como With Mitchell Ayers And His Orchestra,-,22,13
2023-01-07,42,Something In The Orange,Zach Bryan,50,12,36
2023-01-07,43,Please Come Home For Christmas,Eagles,44,18,12
2023-01-07,44,Merry Christmas,Ed Sheeran & Elton John,42,42,6
2023-01-07,45,Made You Look,Meghan Trainor,51,24,10
2023-01-07,46,You Proof,Morgan Wallen,46,5,33
2023-01-07,47,Happy Xmas (War Is Over),John & Yoko/The Plastic Ono Band With The Harlem Community Choir,38,38,4
2023-01-07,48,Have Yourself A Merry Little Christmas,Michael Buble,-,47,3
2023-01-07,49,Golden Hour,JVKE,54,35,18
2023-01-07,50,Christmastime Is Here,Vince Guaraldi Trio,-,41,3
