chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-05-06,1,Last Night,Morgan Wallen,2,1,13
2023-05-06,2,Kill Bill,SZA,1,1,20
2023-05-06,3,Flowers,Miley Cyrus,3,1,15
2023-05-06,4,Ella Baila Sola,Eslabon Armado X Peso Pluma,5,4,6
2023-05-06,5,Un x100to,Grupo Frontera X Bad Bunny,15,5,2
2023-05-06,6,Calm Down,Rema & Selena Gomez,7,6,34
2023-05-06,7,Creepin',"Metro Boomin, The Weeknd & 21 Savage",6,3,21
2023-05-06,8,Die For You,The Weeknd & Ariana Grande,8,1,39
2023-05-06,9,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice,10,3,12
2023-05-06,10,Anti-Hero,Taylor Swift,11,1,27
2023-05-06,11,La Bebe,Yng Lvcas x Peso Pluma,12,11,6
2023-05-06,12,Search & Rescue,Drake,9,2,3
2023-05-06,13,Favorite Song,Toosii,14,13,10
2023-05-06,14,Fast Car,Luke Combs,19,14,5
2023-05-06,15,Sure Thing,Miguel,20,15,39
2023-05-06,16,Players,Coi Leray,16,9,17
2023-05-06,17,Rock And A Hard Place,Bailey Zimmerman,17,10,46
2023-05-06,18,Double Fantasy,The Weeknd Featuring Future,-,18,1
2023-05-06,19,You Proof,Morgan Wallen,18,5,50
2023-05-06,20,As It Was,Harry Styles,21,1,56
2023-05-06,21,Chemical,Post Malone,13,13,2
2023-05-06,22,One Thing At A Time,Morgan Wallen,24,10,21
2023-05-06,23,Thinkin' Bout Me,Morgan Wallen,22,9,8
2023-05-06,24,Thought You Should Know,Morgan Wallen,25,7,37
2023-05-06,25,I'm Good (Blue),David Guetta & Bebe Rexha,26,4,35
2023-05-06,26,Something In The Orange,Zach Bryan,29,10,53
2023-05-06,27,Thank God,Kane Brown With Katelyn Brown,28,13,33
2023-05-06,28,Por Las Noches,Peso Pluma,32,28,7
2023-05-06,29,Princess Diana,Ice Spice & Nicki Minaj,4,4,2
2023-05-06,30,Escapism,RAYE Featuring 070 Shake,30,22,21
2023-05-06,31,Under The Influence,Chris Brown,27,12,33
2023-05-06,32,Dancin' In The Country,Tyler Hubbard,38,32,10
2023-05-06,33,PRC,Peso Pluma X Natanael Cano,35,33,11
2023-05-06,34,Slut Me Out,NLE Choppa,31,28,6
2023-05-06,35,Lavender Haze,Taylor Swift,23,2,27
2023-05-06,36,Handle On You,Parker McCollum,37,31,17
2023-05-06,37,Unholy,Sam Smith & Kim Petras,33,1,31
2023-05-06,38,Snooze,SZA,39,29,20
2023-05-06,39,Just Wanna Rock,Lil Uzi Vert,36,10,28
2023-05-06,40,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",40,40,14
