chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-12-09,1,Rockin' Around The Christmas Tree,Brenda Lee,8,1,54
2023-12-09,2,All I Want For Christmas Is You,Mariah Carey,4,1,61
2023-12-09,3,Lovin On Me,Jack Harlow,1,1,3
2023-12-09,4,Jingle Bell Rock,Bobby Helms,12,3,52
2023-12-09,5,Last Christmas,Wham!,13,4,34
2023-12-09,6,A Holly Jolly Christmas,Burl Ives,16,4,35
2023-12-09,7,Cruel Summer,Taylor Swift,2,1,30
2023-12-09,8,Paint The Town Red,Doja Cat,3,1,17
2023-12-09,9,Snooze,SZA,5,2,51
2023-12-09,10,It's The Most Wonderful Time Of The Year,Andy Williams,28,5,35
2023-12-09,11,Greedy,Tate McRae,7,7,11
2023-12-09,12,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,6,1,14
2023-12-09,13,"Let It Snow, Let It Snow, Let It Snow!",Dean Martin,35,8,27
2023-12-09,14,Sleigh Ride,The Ronettes,46,10,24
2023-12-09,15,Water,Tyla,10,10,9
2023-12-09,16,Feliz Navidad,Jose Feliciano,39,6,28
2023-12-09,17,Underneath The Tree,Kelly Clarkson,42,12,23
2023-12-09,18,Santa Tell Me,Ariana Grande,48,12,20
2023-12-09,19,The Christmas Song (Merry Christmas To You),Nat King Cole,43,9,40
2023-12-09,20,Last Night,Morgan Wallen,14,1,44
2023-12-09,21,Is It Over Now? (Taylor's Version) [From The Vault],Taylor Swift,9,1,5
2023-12-09,22,Thinkin' Bout Me,Morgan Wallen,15,7,39
2023-12-09,23,White Christmas,Bing Crosby With Ken Darby Singers & John Scott Trotter & His Orchestra,-,12,31
2023-12-09,24,Agora Hills,Doja Cat,19,14,10
2023-12-09,25,Fast Car,Luke Combs,18,2,36
2023-12-09,26,Rudolph The Red-Nosed Reindeer,Gene Autry,-,16,23
2023-12-09,27,Christmas (Baby Please Come Home),Darlene Love,-,15,18
2023-12-09,28,Deck The Halls,Nat King Cole,-,16,9
2023-12-09,29,It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,-,12,19
2023-12-09,30,Jingle Bells,Frank Sinatra,-,20,10
2023-12-09,31,It's Beginning To Look A Lot Like Christmas,Michael Buble,-,20,16
2023-12-09,32,Blue Christmas,Elvis Presley,-,24,9
2023-12-09,33,Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,20,11,8
2023-12-09,34,First Person Shooter,Drake Featuring J. Cole,17,1,8
2023-12-09,35,Lil Boo Thang,Paul Russell,24,23,11
2023-12-09,36,Need A Favor,Jelly Roll,21,13,35
2023-12-09,37,Vampire,Olivia Rodrigo,23,1,22
2023-12-09,38,Save Me,Jelly Roll With Lainey Wilson,22,19,24
2023-12-09,39,Fukumean,Gunna,25,4,24
2023-12-09,40,Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,-,25,16
2023-12-09,41,Used To Be Young,Miley Cyrus,30,8,14
2023-12-09,42,Run Rudolph Run,Chuck Berry,-,10,18
2023-12-09,43,"You're A Mean One, Mr. Grinch",Thurl Ravenscroft,-,31,8
2023-12-09,44,Santa Claus Is Comin' To Town,Jackson 5,-,33,7
2023-12-09,45,What Was I Made For?,Billie Eilish,36,14,20
2023-12-09,46,You're Losing Me,Taylor Swift,-,46,1
2023-12-09,47,Happy Holiday / The Holiday Season,Andy Williams,-,18,16
2023-12-09,48,Good Good,"Usher, Summer Walker & 21 Savage",32,25,16
2023-12-09,49,Wonderful Christmastime,Paul McCartney,-,28,9
2023-12-09,50,White Horse,Chris Stapleton,27,12,19
2023-12-09,51,Stick Season,Noah Kahan,37,31,9
2023-12-09,52,Houdini,Dua Lipa,33,11,3
2023-12-09,53,My Love Mine All Mine,Mitski,44,26,10
2023-12-09,54,Lose Control,Teddy Swims,40,39,16
2023-12-09,55,IDGAF,Drake Featuring Yeat,29,2,8
2023-12-09,56,Monaco,Bad Bunny,38,5,7
2023-12-09,57,I Know ?,Travis Scott,54,11,18
2023-12-09,58,You Broke My Heart,Drake,11,11,2
2023-12-09,59,Can't Catch Me Now,Olivia Rodrigo,63,56,4
2023-12-09,60,World On Fire,Nate Smith,55,47,5
2023-12-09,61,On My Mama,Victoria Monet,59,48,11
2023-12-09,62,Pretty Little Poison,Warren Zeiders,53,46,12
2023-12-09,63,Exes,Tate McRae,34,34,2
2023-12-09,64,500lbs,Lil Tecca,62,51,10
2023-12-09,65,Harley Quinn,Fuerza Regida & Marshmello,57,40,4
2023-12-09,66,Strangers,Kenya Grace,64,52,11
2023-12-09,67,Can't Have Mine,Dylan Scott,61,57,9
2023-12-09,68,Get Him Back!,Olivia Rodrigo,67,11,12
2023-12-09,69,Wild Ones,Jessie Murph & Jelly Roll,60,42,8
2023-12-09,70,Everything I Love,Morgan Wallen,69,14,40
2023-12-09,71,Truck Bed,HARDY,66,55,24
2023-12-09,72,3D,Jung Kook & Jack Harlow,-,5,8
2023-12-09,73,Virginia Beach,Drake,50,3,8
2023-12-09,74,Now That We Don't Talk (Taylor's Version) [From The Vault],Taylor Swift,56,2,5
2023-12-09,75,Great Gatsby,Rod Wave,65,30,11
2023-12-09,76,The Painter,Cody Johnson,70,55,8
2023-12-09,77,Surround Sound,JID Featuring 21 Savage & Baby Tate,95,77,3
2023-12-09,78,Qlona,Karol G & Peso Pluma,72,28,16
2023-12-09,79,Try That In A Small Town,Jason Aldean,68,1,20
2023-12-09,80,Standing Next To You,Jung Kook,73,5,4
2023-12-09,81,Segun Quien,Maluma & Carin Leon,78,68,9
2023-12-09,82,Burn It Down,Parker McCollum,80,77,6
2023-12-09,83,Que Onda,Calle 24 x Chino Pacas x Fuerza Regida,83,61,9
2023-12-09,84,Where The Wild Things Are,Luke Combs,84,84,2
2023-12-09,85,Hey Driver,Zach Bryan Featuring The War And Treaty,77,14,14
2023-12-09,86,Bad Idea Right?,Olivia Rodrigo,75,7,16
2023-12-09,87,Northern Attitude,Noah Kahan With Hozier,79,37,3
2023-12-09,88,Perro Negro,Bad Bunny & Feid,82,20,7
2023-12-09,89,Save Me The Trouble,Dan + Shay,87,84,5
2023-12-09,90,Slime You Out,Drake Featuring SZA,74,1,11
2023-12-09,91,Turks & Caicos,Rod Wave Featuring 21 Savage,86,24,11
2023-12-09,92,Too Much,"The Kid LAROI, Jung Kook & Central Cee",93,44,6
2023-12-09,93,Meltdown,Travis Scott Featuring Drake,94,3,18
2023-12-09,94,El Amor de Su Vida,Grupo Frontera & Grupo Firme,92,68,14
2023-12-09,95,Different 'Round Here,Riley Green Featuring Luke Combs,96,95,3
2023-12-09,96,But I Got A Beer In My Hand,Luke Bryan,98,92,7
