chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-02-12,1,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",1,1,6
2022-02-12,2,Easy On Me,Adele,2,1,17
2022-02-12,3,Heat Waves,Glass Animals,3,3,55
2022-02-12,4,Stay,The Kid LAROI & Justin Bieber,4,1,30
2022-02-12,5,Super Gremlin,Kodak Black,5,5,13
2022-02-12,6,abcdefu,GAYLE,8,6,11
2022-02-12,7,Shivers,Ed Sheeran,6,4,21
2022-02-12,8,Surface Pressure,Jessica Darrow,9,8,6
2022-02-12,9,Pushin P,Gunna & Future Featuring Young Thug,7,7,4
2022-02-12,10,Need To Know,Doja Cat,11,8,34
2022-02-12,11,Cold Heart (PNAU Remix),Elton John & Dua Lipa,10,7,22
2022-02-12,12,Ghost,Justin Bieber,13,12,19
2022-02-12,13,Bad Habits,Ed Sheeran,12,2,32
2022-02-12,14,Industry Baby,Lil Nas X & Jack Harlow,14,1,28
2022-02-12,15,Thats What I Want,Lil Nas X,18,10,20
2022-02-12,16,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),15,5,13
2022-02-12,17,Levitating,Dua Lipa,17,2,65
2022-02-12,18,Hrs And Hrs,Muni Long,16,16,6
2022-02-12,19,Save Your Tears,The Weeknd & Ariana Grande,19,1,57
2022-02-12,20,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",20,20,5
2022-02-12,21,Oh My God,Adele,21,5,11
2022-02-12,22,One Right Now,Post Malone & The Weeknd,23,6,13
2022-02-12,23,Good 4 U,Olivia Rodrigo,25,1,38
2022-02-12,24,Buy Dirt,Jordan Davis Featuring Luke Bryan,22,22,26
2022-02-12,25,Better Days,NEIKED X Mae Muller X Polo G,24,23,16
2022-02-12,26,I Hate U,SZA,31,7,9
2022-02-12,27,Knife Talk,Drake Featuring 21 Savage & Project Pat,32,4,22
2022-02-12,28,You Should Probably Leave,Chris Stapleton,28,28,31
2022-02-12,29,Fancy Like,Walker Hayes,29,3,33
2022-02-12,30,Love Nwantiti (Ah Ah Ah),CKay,26,26,20
2022-02-12,31,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,27,27,5
2022-02-12,32,Fingers Crossed,Lauren Spencer-Smith,30,19,5
2022-02-12,33,Essence,Wizkid Featuring Justin Bieber & Tems,34,9,30
2022-02-12,34,Big Energy,Latto,39,34,15
2022-02-12,35,Kiss Me More,Doja Cat Featuring SZA,35,3,42
2022-02-12,36,You Right,Doja Cat & The Weeknd,33,11,31
2022-02-12,37,Woman,Doja Cat,46,37,27
2022-02-12,38,Dos Oruguitas,Sebastian Yatra,36,36,5
2022-02-12,39,Sand In My Boots,Morgan Wallen,43,32,29
2022-02-12,40,Sacrifice,The Weeknd,37,11,4
2022-02-12,41,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,40,21,21
2022-02-12,42,If I Didn't Love You,Jason Aldean & Carrie Underwood,41,15,25
2022-02-12,43,Enemy,Imagine Dragons X JID,45,43,11
2022-02-12,44,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,44,30,25
2022-02-12,45,'Til You Can't,Cody Johnson,50,45,17
2022-02-12,46,Freedom Was A Highway,Jimmie Allen & Brad Paisley,53,45,17
2022-02-12,47,One Mississippi,Kane Brown,49,40,19
2022-02-12,48,To Be Loved By You,Parker McCollum,51,48,10
2022-02-12,49,Light Switch,Charlie Puth,42,42,2
2022-02-12,50,Waiting On A Miracle,Stephanie Beatriz,48,48,5
2022-02-12,51,Rumors,Gucci Mane Featuring Lil Durk,-,51,1
2022-02-12,52,P Power,Gunna Featuring Drake,52,24,3
2022-02-12,53,23,Sam Hunt,79,53,6
2022-02-12,54,Broadway Girls,Lil Durk Featuring Morgan Wallen,54,14,7
2022-02-12,55,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,56,53,12
2022-02-12,56,AA,Walker Hayes,55,55,4
2022-02-12,57,High,The Chainsmokers,-,57,1
