chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-08-06,1,About Damn Time,Lizzo,1,1,15
2022-08-06,2,As It Was,Harry Styles,2,1,17
2022-08-06,3,Running Up That Hill (A Deal With God),Kate Bush,3,3,29
2022-08-06,4,First Class,Jack Harlow,4,1,16
2022-08-06,5,Wait For U,Future Featuring Drake & Tems,5,1,13
2022-08-06,6,Break My Soul,Beyonce,7,6,6
2022-08-06,7,Late Night Talking,Harry Styles,9,4,10
2022-08-06,8,Me Porto Bonito,Bad Bunny & Chencho Corleone,6,6,12
2022-08-06,9,I Like You (A Happier Song),Post Malone Featuring Doja Cat,12,9,8
2022-08-06,10,Heat Waves,Glass Animals,8,1,80
2022-08-06,11,Bad Habit,Steve Lacy,14,11,4
2022-08-06,12,Sunroof,Nicky Youre & dazy,16,12,9
2022-08-06,13,Big Energy,Latto,11,3,40
2022-08-06,14,Wasted On You,Morgan Wallen,13,9,37
2022-08-06,15,Jimmy Cooks,Drake Featuring 21 Savage,10,1,6
2022-08-06,16,Titi Me Pregunto,Bad Bunny,15,5,12
2022-08-06,17,The Kind Of Love We Make,Luke Combs,17,13,6
2022-08-06,18,Stay,The Kid LAROI & Justin Bieber,18,1,55
2022-08-06,19,Numb Little Bug,Em Beihold,20,18,26
2022-08-06,20,Ghost,Justin Bieber,21,5,44
2022-08-06,21,Glimpse Of Us,Joji,19,8,7
2022-08-06,22,You Proof,Morgan Wallen,23,6,11
2022-08-06,23,Get Into It (Yuh),Doja Cat,22,20,34
2022-08-06,24,I Ain't Worried,OneRepublic,27,24,7
2022-08-06,25,She Had Me At Heads Carolina,Cole Swindell,26,25,9
2022-08-06,26,Moscow Mule,Bad Bunny,24,4,12
2022-08-06,27,Shivers,Ed Sheeran,28,4,46
2022-08-06,28,Vegas,Doja Cat,31,28,8
2022-08-06,29,Cold Heart (PNAU Remix),Elton John & Dua Lipa,29,7,47
2022-08-06,30,Like I Love Country Music,Kane Brown,37,26,10
2022-08-06,31,In A Minute,Lil Baby,34,14,16
2022-08-06,32,Damn Strait,Scotty McCreery,39,32,17
2022-08-06,33,Rock And A Hard Place,Bailey Zimmerman,42,24,7
2022-08-06,34,Provenza,Karol G,41,25,14
2022-08-06,35,Boyfriend,Dove Cameron,30,16,24
2022-08-06,36,Sticky,Drake,32,6,6
2022-08-06,37,Fall In Love,Bailey Zimmerman,35,35,13
2022-08-06,38,Enemy,Imagine Dragons X JID,38,5,36
2022-08-06,39,Super Gremlin,Kodak Black,43,3,38
2022-08-06,40,Last Night Lonely,Jon Pardi,58,40,9
2022-08-06,41,Something In The Orange,Zach Bryan,33,30,14
2022-08-06,42,Thats What I Want,Lil Nas X,44,8,45
2022-08-06,43,Woman,Doja Cat,40,7,52
2022-08-06,44,Efecto,Bad Bunny,45,34,12
2022-08-06,45,Hot Shit,"Cardi B, Ye & Lil Durk",36,13,4
2022-08-06,46,Take My Name,Parmalee,46,22,17
2022-08-06,47,Left And Right,Charlie Puth Featuring Jung Kook,51,22,5
2022-08-06,48,5 Foot 9,Tyler Hubbard,54,48,7
2022-08-06,49,Sweetest Pie,Megan Thee Stallion & Dua Lipa,49,15,20
2022-08-06,50,Thousand Miles,The Kid LAROI,47,15,14
2022-08-06,51,What Happened To Virgil,Lil Durk Featuring Gunna,48,22,20
2022-08-06,52,TV,Billie Eilish,-,52,1
2022-08-06,53,Sleazy Flow,SleazyWorld Go Featuring Lil Baby,52,47,9
2022-08-06,54,Party,Bad Bunny & Rauw Alejandro,57,14,12
2022-08-06,55,Pressurelicious,Megan Thee Stallion Featuring Future,-,55,1
2022-08-06,56,Son Of A Sinner,Jelly Roll,61,56,4
2022-08-06,57,Cooped Up,Post Malone Featuring Roddy Ricch,55,12,11
2022-08-06,58,Despues de La Playa,Bad Bunny,56,6,12
2022-08-06,59,Betty (Get Money),Yung Gravy,63,59,3
2022-08-06,60,Numb,Marshmello & Khalid,69,60,4
2022-08-06,61,Wishful Drinking,Ingrid Andress With Sam Hunt,65,61,4
2022-08-06,62,So Good,Halsey,62,55,7
2022-08-06,63,Trouble With A Heartbreak,Jason Aldean,60,32,19
2022-08-06,64,Ojitos Lindos,Bad Bunny & Bomba Estereo,59,26,12
2022-08-06,65,Progress,John Rich,-,65,1
