chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-02-07,1,Megadeth,Megadeth,-,1,1
2026-02-07,2,I'm The Problem,Morgan Wallen,4,1,37
2026-02-07,3,The Art Of Loving,Olivia Dean,7,3,18
2026-02-07,4,With Heaven On Top,Zach Bryan,5,1,3
2026-02-07,5,Don't Be Dumb,A$AP Rocky,1,1,2
2026-02-07,6,The Life Of A Showgirl,Taylor Swift,8,1,17
2026-02-07,7,Slime Cry,YoungBoy Never Broke Again,6,6,2
2026-02-07,8,KPop Demon Hunters,Soundtrack,9,1,32
2026-02-07,9,Debi Tirar Mas Fotos,Bad Bunny,3,1,56
2026-02-07,10,SOS,SZA,11,1,164
2026-02-07,11,So Close To What,Tate McRae,12,1,49
2026-02-07,12,One Thing At A Time,Morgan Wallen,13,1,152
2026-02-07,13,Stick Season,Noah Kahan,17,2,166
2026-02-07,14,"You'll Be Alright, Kid",Alex Warren,14,5,62
2026-02-07,15,The Diamond Collection,Post Malone,16,11,106
2026-02-07,16,How Did I Get Here?,Louis Tomlinson,-,16,1
2026-02-07,17,Man's Best Friend,Sabrina Carpenter,15,1,22
2026-02-07,18,Dangerous: The Double Album,Morgan Wallen,18,1,264
2026-02-07,19,Take Care,Drake,19,1,674
2026-02-07,20,Greatest Hits,Fleetwood Mac,91,14,372
2026-02-07,21,The Sin:Vanish: 7th Mini Album (EP),ENHYPEN,2,2,2
2026-02-07,22,DINASTIA,Peso Pluma & Tito Double P,21,6,5
2026-02-07,23,Short n' Sweet,Sabrina Carpenter,20,1,75
2026-02-07,24,30 Number One Hits,Jason Aldean,24,19,16
2026-02-07,25,Un Verano Sin Ti,Bad Bunny,29,1,195
2026-02-07,26,I Barely Know Her,sombr,28,10,23
2026-02-07,27,Hit Me Hard And Soft,Billie Eilish,27,2,89
2026-02-07,28,The Tortured Poets Department,Taylor Swift,25,1,93
2026-02-07,29,Rebel,EsDeeKid,30,23,11
2026-02-07,30,Views,Drake,31,1,507
2026-02-07,31,Hungover,Ella Langley,33,28,70
2026-02-07,32,Fetty Wap,Fetty Wap,23,1,110
2026-02-07,33,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,34,1,50
2026-02-07,34,+-=÷x (Tour Collection),Ed Sheeran,35,17,68
2026-02-07,35,Doo-Wops & Hooligans,Bruno Mars,26,3,765
2026-02-07,36,Blonde,Frank Ocean,40,1,471
2026-02-07,37,Am I The Drama?,Cardi B,32,1,19
2026-02-07,38,Greatest Hits,Queen,36,8,684
2026-02-07,39,Diamonds,Elton John,38,7,429
2026-02-07,40,Harry's House,Harry Styles,60,1,122
2026-02-07,41,GNX,Kendrick Lamar,43,1,62
2026-02-07,42,The Rise And Fall Of A Midwest Princess,Chappell Roan,41,2,97
2026-02-07,43,Ctrl,SZA,50,3,451
2026-02-07,44,Sour,Olivia Rodrigo,47,1,245
2026-02-07,45,Folklore,Taylor Swift,44,1,288
2026-02-07,46,I Hope You're Happy,BigXthaPlug,48,7,23
2026-02-07,47,The Last Wun,Gunna,39,3,25
2026-02-07,48,Greatest Hits,Pitbull,54,48,244
2026-02-07,49,"good kid, m.A.A.d city",Kendrick Lamar,53,2,692
2026-02-07,50,The Secret Of Us,Gracie Abrams,45,2,84
2026-02-07,51,Curtain Call: The Hits,Eminem,51,1,773
2026-02-07,52,The Highlights,The Weeknd,180,2,220
