chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-09-12,1,Don't Look Down,Rod Wave,-,1,1
2026-09-12,2,WILDCHILD,Alex Warren,-,2,1
2026-09-12,3,Dandelion,Ella Langley,2,1,21
2026-09-12,4,you seem pretty sad for a girl so in love,Olivia Rodrigo,3,1,12
2026-09-12,5,I'm The Problem,Morgan Wallen,4,1,68
2026-09-12,6,The Great Divide,Noah Kahan,7,1,19
2026-09-12,7,Ultimate Dolly Parton,Dolly Parton,5,5,7
2026-09-12,8,ICEMAN,Drake,9,1,16
2026-09-12,9,The Art Of Loving,Olivia Dean,12,3,49
2026-09-12,10,No Me Arrepiento de Sentir Tanto,Karol G,16,8,4
2026-09-12,11,WILD (EP),KATSEYE,6,1,3
2026-09-12,12,Stick Season,Noah Kahan,14,2,197
2026-09-12,13,So Much For Goodbyes,Billy Strings,-,13,1
2026-09-12,14,One Thing At A Time,Morgan Wallen,15,1,183
2026-09-12,15,petal,Ariana Grande,10,1,5
2026-09-12,16,This & That,Stray Kids,8,1,4
2026-09-12,17,Everything's Falling,The Warning,-,17,1
2026-09-12,18,Thriller,Michael Jackson,17,1,734
2026-09-12,19,The Diamond Collection,Post Malone,20,11,137
2026-09-12,20,Long Way Home,Stella Lefty,11,11,2
2026-09-12,21,Number Ones,Michael Jackson,18,6,253
2026-09-12,22,SOS,SZA,21,1,195
2026-09-12,23,Octane,Don Toliver,22,1,31
2026-09-12,24,THE SIN : BLISS (EP),ENHYPEN,1,1,2
2026-09-12,25,Debi Tirar Mas Fotos,Bad Bunny,19,1,87
2026-09-12,26,Dangerous: The Double Album,Morgan Wallen,23,1,295
2026-09-12,27,Visitor,Sienna Spiro,25,9,9
2026-09-12,28,Take Care,Drake,29,1,705
2026-09-12,29,ARIRANG,BTS,31,1,24
2026-09-12,30,Oh yeah?,Steve Lacy,24,14,7
2026-09-12,31,Rumours,Fleetwood Mac,30,1,701
2026-09-12,32,Lost Weekend,Phoebe Bridgers,13,2,3
2026-09-12,33,Hungover,Ella Langley,27,20,101
2026-09-12,34,30 Number One Hits,Jason Aldean,28,19,47
2026-09-12,35,Good Grief,Sara Bareilles,-,35,1
2026-09-12,36,The Life Of A Showgirl,Taylor Swift,33,1,48
2026-09-12,37,"You'll Be Alright, Kid",Alex Warren,34,5,93
2026-09-12,38,KPop Demon Hunters,Soundtrack,40,1,63
2026-09-12,39,Diamonds,Elton John,36,7,460
2026-09-12,40,Marrow Deep,Mastodon,-,40,1
2026-09-12,41,Greatest Hits,Queen,39,8,715
2026-09-12,42,+-=÷x (Tour Collection),Ed Sheeran,42,17,99
2026-09-12,43,Sour,Olivia Rodrigo,47,1,276
2026-09-12,44,Sweet Boy,Malcolm Todd,38,26,35
2026-09-12,45,The Way I Am,Luke Combs,37,2,24
2026-09-12,46,Short n' Sweet,Sabrina Carpenter,45,1,106
2026-09-12,47,Teenage Dream,Katy Perry,49,1,486
2026-09-12,48,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,46,18,814
2026-09-12,49,Un Verano Sin Ti,Bad Bunny,41,1,226
2026-09-12,50,Man's Best Friend,Sabrina Carpenter,48,1,53
2026-09-12,51,All Eyes On Shiest,Pooh Shiesty,26,7,4
2026-09-12,52,xperiment,Ken Carson,133,7,5
2026-09-12,53,Deadbeat,Tame Impala,43,4,41
2026-09-12,54,So Close To What,Tate McRae,44,1,80
2026-09-12,55,Graduation,Kanye West,61,1,448
2026-09-12,56,The Best Of Nickelback: Volume 1,Nickelback,51,21,308
2026-09-12,57,Views,Drake,54,1,538
