chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-07-25,1,The Real Me,Future,-,1,1
2026-07-25,2,you seem pretty sad for a girl so in love,Olivia Rodrigo,2,1,5
2026-07-25,3,I'm The Problem,Morgan Wallen,4,1,61
2026-07-25,4,Dandelion,Ella Langley,3,1,14
2026-07-25,5,The Great Divide,Noah Kahan,6,1,12
2026-07-25,6,ICEMAN,Drake,5,1,9
2026-07-25,7,Foreign Tongues,Rolling Stones,-,7,1
2026-07-25,8,Heated Rivalry (Original Series Soundtrack),Soundtrack,-,8,1
2026-07-25,9,Thriller,Michael Jackson,8,1,727
2026-07-25,10,One Thing At A Time,Morgan Wallen,11,1,176
2026-07-25,11,Number Ones,Michael Jackson,12,6,246
2026-07-25,12,Confessions II,Madonna,1,1,2
2026-07-25,13,Stick Season,Noah Kahan,14,2,190
2026-07-25,14,The Art Of Loving,Olivia Dean,15,3,42
2026-07-25,15,Danger Days: The True Lives Of The Fabulous Killjoys,My Chemical Romance,-,8,16
2026-07-25,16,NO LABELS: PART 02 (EP),YEONJUN,-,16,1
2026-07-25,17,SOS,SZA,20,1,188
2026-07-25,18,Visitor,Sienna Spiro,9,9,2
2026-07-25,19,Debi Tirar Mas Fotos,Bad Bunny,17,1,80
2026-07-25,20,Dangerous: The Double Album,Morgan Wallen,18,1,288
2026-07-25,21,Octane,Don Toliver,16,1,24
2026-07-25,22,The Diamond Collection,Post Malone,21,11,130
2026-07-25,23,Hungover,Ella Langley,22,20,94
2026-07-25,24,"You'll Be Alright, Kid",Alex Warren,27,5,86
2026-07-25,25,Is This Heaven? (EP),Stella Lefty,30,25,9
2026-07-25,26,ARIRANG,BTS,25,1,17
2026-07-25,27,30 Number One Hits,Jason Aldean,23,19,40
2026-07-25,28,The Life Of A Showgirl,Taylor Swift,24,1,41
2026-07-25,29,S.K.A.T.E.,Rylo Rodriguez,13,13,2
2026-07-25,30,Rumours,Fleetwood Mac,28,1,694
2026-07-25,31,KPop Demon Hunters,Soundtrack,29,1,56
2026-07-25,32,Frozen Charlotte,Jack White,-,32,1
2026-07-25,33,The Way I Am,Luke Combs,32,2,17
2026-07-25,34,Take Care,Drake,37,1,698
2026-07-25,35,Sweet Boy,Malcolm Todd,36,26,28
2026-07-25,36,Greatest Hits,Queen,34,8,708
2026-07-25,37,Diamonds,Elton John,35,7,453
2026-07-25,38,Un Verano Sin Ti,Bad Bunny,39,1,219
2026-07-25,39,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,26,18,807
2026-07-25,40,35 Biggest Hits,Toby Keith,10,1,256
2026-07-25,41,Short n' Sweet,Sabrina Carpenter,40,1,99
2026-07-25,42,Man's Best Friend,Sabrina Carpenter,41,1,46
