chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-08-08,1,I'm The Problem,Morgan Wallen,3,1,63
2026-08-08,2,you seem pretty sad for a girl so in love,Olivia Rodrigo,2,1,7
2026-08-08,3,"Music, Fashion, Film",Charli xcx,-,3,1
2026-08-08,4,Dandelion,Ella Langley,4,1,16
2026-08-08,5,The Great Divide,Noah Kahan,5,1,14
2026-08-08,6,ICEMAN,Drake,6,1,11
2026-08-08,7,One Thing At A Time,Morgan Wallen,10,1,178
2026-08-08,8,Thriller,Michael Jackson,8,1,729
2026-08-08,9,The Art Of Loving,Olivia Dean,11,3,44
2026-08-08,10,Stick Season,Noah Kahan,12,2,192
2026-08-08,11,Number Ones,Michael Jackson,13,6,248
2026-08-08,12,The Real Me,Future,7,1,3
2026-08-08,13,Reality Awaits,The Strokes,-,13,1
2026-08-08,14,Daughter From Hell,Gracie Abrams,1,1,2
2026-08-08,15,ARIRANG,BTS,9,1,19
2026-08-08,16,Dangerous: The Double Album,Morgan Wallen,18,1,290
2026-08-08,17,The Diamond Collection,Post Malone,19,11,132
2026-08-08,18,SOS,SZA,16,1,190
2026-08-08,19,Debi Tirar Mas Fotos,Bad Bunny,17,1,82
2026-08-08,20,Visitor,Sienna Spiro,20,9,4
2026-08-08,21,Octane,Don Toliver,21,1,26
2026-08-08,22,Hungover,Ella Langley,22,20,96
2026-08-08,23,30 Number One Hits,Jason Aldean,23,19,42
2026-08-08,24,Rumours,Fleetwood Mac,26,1,696
2026-08-08,25,Is This Heaven? (EP),Stella Lefty,24,24,11
2026-08-08,26,"You'll Be Alright, Kid",Alex Warren,25,5,88
2026-08-08,27,Take Care,Drake,30,1,700
2026-08-08,28,The Life Of A Showgirl,Taylor Swift,27,1,43
2026-08-08,29,KPop Demon Hunters,Soundtrack,28,1,58
2026-08-08,30,The Way I Am,Luke Combs,32,2,19
2026-08-08,31,Greatest Hits,Queen,34,8,710
2026-08-08,32,Un Verano Sin Ti,Bad Bunny,37,1,221
2026-08-08,33,Diamonds,Elton John,36,7,455
2026-08-08,34,+-=÷x (Tour Collection),Ed Sheeran,38,17,94
2026-08-08,35,Sweet Boy,Malcolm Todd,35,26,30
2026-08-08,36,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,42,18,809
2026-08-08,37,Short n' Sweet,Sabrina Carpenter,41,1,101
2026-08-08,38,Teenage Dream,Katy Perry,44,1,481
2026-08-08,39,Man's Best Friend,Sabrina Carpenter,43,1,48
2026-08-08,40,Swag,Justin Bieber,40,2,55
2026-08-08,41,Sour,Olivia Rodrigo,45,1,271
2026-08-08,42,So Close To What,Tate McRae,49,1,75
2026-08-08,43,A*POP,Tyla,-,43,1
2026-08-08,44,Eternal Sunshine,Ariana Grande,48,1,125
2026-08-08,45,The Best Of Nickelback: Volume 1,Nickelback,47,21,303
2026-08-08,46,Views,Drake,52,1,533
2026-08-08,47,Don't Mind If I Do,Riley Green,51,25,91
2026-08-08,48,Greatest Hits,Tom Petty And The Heartbreakers,53,2,681
2026-08-08,49,Cloud 9,Megan Moroney,56,1,23
2026-08-08,50,35 Biggest Hits,Toby Keith,50,1,258
2026-08-08,51,The Romantic,Bruno Mars,54,1,22
2026-08-08,52,Guts,Olivia Rodrigo,55,1,151
2026-08-08,53,Greatest Hits,Pitbull,57,48,270
2026-08-08,54,Folklore,Taylor Swift,95,1,314
2026-08-08,55,The Tortured Poets Department,Taylor Swift,59,1,119
2026-08-08,56,Graduation,Kanye West,64,1,443
2026-08-08,57,Nevermind,Nirvana,58,1,785
2026-08-08,58,Tropicoqueta,Karol G,128,3,44
2026-08-08,59,Ctrl,SZA,63,3,477
2026-08-08,60,Curtain Call: The Hits,Eminem,62,1,799
2026-08-08,61,This One's For You,Luke Combs,60,4,478
2026-08-08,62,Oh yeah?,Steve Lacy,14,14,2
2026-08-08,63,Journey's Greatest Hits,Journey,61,10,920
2026-08-08,64,HABIBTI,Drake,65,2,11
2026-08-08,65,The Collection,OneRepublic,66,46,50
2026-08-08,66,Good Girl Gone Bad,Rihanna,68,2,245
2026-08-08,67,The Fame,Lady Gaga,78,2,479
2026-08-08,68,Pretty Girlz Run The World,Loe Shimmy,-,68,1
2026-08-08,69,Greatest Hits,Fleetwood Mac,67,14,398
2026-08-08,70,ANTI,Rihanna,71,1,535
2026-08-08,71,American Heartbreak,Zach Bryan,75,5,219
2026-08-08,72,If I Know Me,Morgan Wallen,69,10,406
2026-08-08,73,Meteora,Linkin Park,70,1,257
2026-08-08,74,F-1 Trillion,Post Malone,77,1,102
2026-08-08,75,Hit Me Hard And Soft,Billie Eilish,76,2,115
2026-08-08,76,I Barely Know Her,sombr,72,10,49
2026-08-08,77,50 Number Ones,George Strait,73,1,395
2026-08-08,78,S.K.A.T.E.,Rylo Rodriguez,46,13,4
2026-08-08,79,[Hybrid Theory],Linkin Park,82,2,425
2026-08-08,80,The Rise And Fall Of A Midwest Princess,Chappell Roan,74,2,123
2026-08-08,81,"Where I've Been, Isn't Where I'm Going",Shaboozey,80,5,113
2026-08-08,82,Doo-Wops & Hooligans,Bruno Mars,79,3,791
2026-08-08,83,Legend: The Best Of Bob Marley And The Wailers,Bob Marley And The Wailers,84,5,950
2026-08-08,84,Gold: Greatest Hits,ABBA,81,25,440
2026-08-08,85,Scorpion,Drake,87,1,422
2026-08-08,86,"Greatest Hits, Vol. I & II",Billy Joel,86,6,118
2026-08-08,87,Lover,Taylor Swift,83,1,362
2026-08-08,88,"good kid, m.A.A.d city",Kendrick Lamar,85,2,718
2026-08-08,89,111XPANTIA,Fuerza Regida,89,2,65
2026-08-08,90,Blonde,Frank Ocean,90,1,497
2026-08-08,91,Certified Lover Boy,Drake,93,1,256
2026-08-08,92,Traveller,Chris Stapleton,98,1,568
2026-08-08,93,Thank Me Later,Drake,94,1,185
2026-08-08,94,Greatest Hits,Guns N' Roses,102,3,784
2026-08-08,95,Best Of 50 Cent,50 Cent,-,95,11
2026-08-08,96,All Time Greatest Hits,Lynyrd Skynyrd,92,38,365
2026-08-08,97,The Best Of Sade,Sade,103,9,181
2026-08-08,98,Descendants: Wicked Wonderland,Soundtrack,88,88,2
2026-08-08,99,Zach Bryan,Zach Bryan,106,1,153
2026-08-08,100,Greatest Hits,Creed,97,15,203
2026-08-08,101,Middle Of Nowhere,Kacey Musgraves,108,3,13
2026-08-08,102,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates,99,34,350
2026-08-08,103,Currents,Tame Impala,100,4,260
2026-08-08,104,Channel Orange,Frank Ocean,101,2,293
2026-08-08,105,What Not To,Tucker Wetmore,114,15,64
2026-08-08,106,Hot Fuss,The Killers,104,7,133
2026-08-08,107,My Turn,Lil Baby,107,1,335
2026-08-08,108,Their Greatest Hits 1971-1975,Eagles,113,1,541
2026-08-08,109,Hadestown,Original Broadway Cast Recording,-,49,2
2026-08-08,110,California Sunrise,Jon Pardi,105,11,282
2026-08-08,111,Born To Die,Lana Del Rey,111,2,651
2026-08-08,112,Confessions II,Madonna,31,1,4
2026-08-08,113,Starting Over,Chris Stapleton,119,3,294
2026-08-08,114,GREENGREEN (EP),CORTIS,126,3,12
2026-08-08,115,Am I The Drama?,Cardi B,112,1,45
2026-08-08,116,Sublime,Sublime,117,13,293
2026-08-08,117,$ome $exy $ongs 4 U,PARTYNEXTDOOR & Drake,122,1,76
2026-08-08,118,Hamilton: An American Musical,Original Broadway Cast,110,2,566
2026-08-08,119,I Never Liked You,Future,123,1,221
2026-08-08,120,Starboy,The Weeknd,120,1,456
2026-08-08,121,1989,Taylor Swift,125,1,577
2026-08-08,122,Fireworks & Rollerblades,Benson Boone,109,6,121
2026-08-08,123,The Secret Of Us,Gracie Abrams,91,2,110
2026-08-08,124,Greatest Hits,2Pac,-,3,635
2026-08-08,125,"Kiss All The Time. Disco, Occasionally.",Harry Styles,116,1,21
2026-08-08,126,DAMN.,Kendrick Lamar,130,1,485
2026-08-08,127,The Greatest Hits Collection,Brooks & Dunn,118,4,185
2026-08-08,128,Greatest Hits,Bob Seger & The Silver Bullet Band,134,8,626
2026-08-08,129,20 Number Ones,Thomas Rhett,129,22,125
2026-08-08,130,Beautiful Chaos (EP),KATSEYE,148,4,57
