chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2021-01-16,1,Evermore,Taylor Swift,2,1,4
2021-01-16,2,The Voice,Lil Durk,3,2,3
2021-01-16,3,Shoot For The Stars Aim For The Moon,Pop Smoke,4,1,27
2021-01-16,4,Positions,Ariana Grande,5,1,10
2021-01-16,5,Whole Lotta Red,Playboi Carti,1,1,2
2021-01-16,6,Good News,Megan Thee Stallion,7,2,7
2021-01-16,7,What You See Is What You Get,Luke Combs,8,1,61
2021-01-16,8,El Ultimo Tour del Mundo,Bad Bunny,9,1,6
2021-01-16,9,Legends Never Die,Juice WRLD,11,1,26
2021-01-16,10,My Turn,Lil Baby,13,1,45
2021-01-16,11,Folklore,Taylor Swift,6,1,24
2021-01-16,12,F*ck Love,The Kid LAROI,15,3,24
2021-01-16,13,Fine Line,Harry Styles,16,1,56
2021-01-16,14,After Hours,The Weeknd,25,1,42
2021-01-16,15,Music To Be Murdered By,Eminem,10,1,50
2021-01-16,16,Hollywood's Bleeding,Post Malone,18,1,70
2021-01-16,17,Thats What They All Say,Jack Harlow,19,5,4
2021-01-16,18,Man On The Moon III: The Chosen,Kid Cudi,14,2,4
2021-01-16,19,Plastic Hearts,Miley Cyrus,22,2,6
2021-01-16,20,Future Nostalgia,Dua Lipa,31,4,40
2021-01-16,21,Hamilton: An American Musical,Original Broadway Cast,23,2,276
2021-01-16,22,Goodbye & Good Riddance,Juice WRLD,26,4,138
2021-01-16,23,BLAME IT ON BABY,DaBaby,34,1,38
2021-01-16,24,Tickets To My Downfall,Machine Gun Kelly,42,1,15
2021-01-16,25,Starting Over,Chris Stapleton,29,3,8
2021-01-16,26,The GOAT,Polo G,38,2,34
2021-01-16,27,Greatest Hits,Queen,40,8,420
2021-01-16,28,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,30,1,93
2021-01-16,29,This One's For You,Luke Combs,39,4,188
2021-01-16,30,Wonder,Shawn Mendes,35,1,5
2021-01-16,31,Pluto x Baby Pluto,Future & Lil Uzi Vert,44,2,8
2021-01-16,32,Death Race For Love,Juice WRLD,41,1,96
2021-01-16,33,YHLQMDLG,Bad Bunny,43,2,45
2021-01-16,34,If I Know Me,Morgan Wallen,47,13,119
2021-01-16,35,Pray 4 Love,Rod Wave,46,2,40
2021-01-16,36,Rumours,Fleetwood Mac,45,1,406
2021-01-16,37,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,60,20,86
2021-01-16,38,Eternal Atake,Lil Uzi Vert,55,1,44
2021-01-16,39,BE,BTS,21,1,7
2021-01-16,40,Savage Mode II,21 Savage & Metro Boomin,53,1,14
2021-01-16,41,"good kid, m.A.A.d city",Kendrick Lamar,50,2,428
2021-01-16,42,beerbongs & bentleys,Post Malone,62,1,141
2021-01-16,43,Over It,Summer Walker,63,2,66
2021-01-16,44,Ctrl,SZA,85,3,187
2021-01-16,45,Please Excuse Me For Being Antisocial,Roddy Ricch,59,1,57
2021-01-16,46,Top,YoungBoy Never Broke Again,64,1,17
2021-01-16,47,ASTROWORLD,Travis Scott,57,1,127
2021-01-16,48,Diamonds,Elton John,51,7,165
2021-01-16,49,Chilombo,Jhene Aiko,74,2,44
2021-01-16,50,2014 Forest Hills Drive,J. Cole,79,1,318
2021-01-16,51,Traveller,Chris Stapleton,58,1,278
2021-01-16,52,Dont Smile At Me,Billie Eilish,52,14,159
2021-01-16,53,Scorpion,Drake,77,1,132
2021-01-16,54,Lover,Taylor Swift,75,1,72
2021-01-16,55,Welcome To O'Block,King Von,65,5,10
2021-01-16,56,B4 The Storm,Internet Money,78,10,19
2021-01-16,57,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,76,18,505
2021-01-16,58,Stoney,Post Malone,82,4,213
2021-01-16,59,High Off Life,Future,81,1,34
2021-01-16,60,Journey's Greatest Hits,Journey,92,10,650
2021-01-16,61,Curtain Call: The Hits,Eminem,80,1,510
2021-01-16,62,"Thank U, Next",Ariana Grande,72,1,100
2021-01-16,63,Manic,Halsey,91,2,51
2021-01-16,64,American Teen,Khalid,71,4,201
2021-01-16,65,"Resonance, Pt. 1",NCT,36,6,7
2021-01-16,66,Thriller,Michael Jackson,84,1,452
2021-01-16,67,?,XXXTENTACION,87,1,147
2021-01-16,68,Hot Pink,Doja Cat,112,9,62
2021-01-16,69,Wunna,Gunna,96,1,33
2021-01-16,70,÷ (Divide),Ed Sheeran,94,1,201
2021-01-16,71,Legend: The Best Of...,Bob Marley And The Wailers,90,5,660
2021-01-16,72,Back In Black,AC/DC,86,4,445
2021-01-16,73,Madvillainy,Madvillain,-,73,3
2021-01-16,74,1,The Beatles,89,1,454
2021-01-16,75,Abbey Road,The Beatles,68,1,395
2021-01-16,76,Dark Lane Demo Tapes,Drake,100,2,36
2021-01-16,77,"Meet The Woo, V.2",Pop Smoke,103,7,48
2021-01-16,78,Frozen II,Soundtrack,97,1,60
2021-01-16,79,Greatest Hits,Guns N' Roses,102,3,517
2021-01-16,80,1989,Taylor Swift,107,1,317
2021-01-16,81,Goldmine,Gabby Barrett,109,27,29
2021-01-16,82,Timeless: The All-Time Greatest Hits,Bee Gees,131,41,10
2021-01-16,83,Harry Styles,Harry Styles,114,1,69
2021-01-16,84,Swimming,Mac Miller,106,3,122
2021-01-16,85,Love Goes,Sam Smith,108,5,10
2021-01-16,86,Luv Is Rage 2,Lil Uzi Vert,117,1,176
2021-01-16,87,AM,Arctic Monkeys,105,6,129
2021-01-16,88,Hey World,Lee Brice,119,45,7
2021-01-16,89,Blonde,Frank Ocean,134,1,211
2021-01-16,90,McCartney III,Paul McCartney,37,2,3
2021-01-16,91,Greatest Hits,2Pac,128,3,355
2021-01-16,92,DAMN.,Kendrick Lamar,111,1,195
2021-01-16,93,"Mixtape, Vol. 1 (EP)",Kane Brown,122,15,20
2021-01-16,94,Greatest Hits,Tom Petty And The Heartbreakers,118,2,391
2021-01-16,95,Nevermind,Nirvana,88,1,506
