chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2021-08-21,1,Happier Than Ever,Billie Eilish,1,1,2
2021-08-21,2,Sour,Olivia Rodrigo,3,1,12
2021-08-21,3,King's Disease II,Nas,-,3,1
2021-08-21,4,F*ck Love,The Kid LAROI,2,1,55
2021-08-21,5,Planet Her,Doja Cat,5,2,7
2021-08-21,6,Dangerous: The Double Album,Morgan Wallen,6,1,31
2021-08-21,7,All Things Must Pass,George Harrison,-,1,39
2021-08-21,8,The Voice Of The Heroes,Lil Baby & Lil Durk,8,1,10
2021-08-21,9,Future Nostalgia,Dua Lipa,9,3,71
2021-08-21,10,Hall Of Fame,Polo G,10,1,9
2021-08-21,11,Shoot For The Stars Aim For The Moon,Pop Smoke,11,1,58
2021-08-21,12,What You See Is What You Get,Luke Combs,13,1,92
2021-08-21,13,Famous Friends,Chris Young,-,13,1
2021-08-21,14,After Hours,The Weeknd,14,1,69
2021-08-21,15,Release Me 2,Barbra Streisand,-,15,1
2021-08-21,16,A Gangsta's Pain,Moneybagg Yo,15,1,16
2021-08-21,17,My Turn,Lil Baby,17,1,76
2021-08-21,18,The House Is Burning,Isaiah Rashad,7,7,2
2021-08-21,19,"BTS, The Best",BTS,-,19,1
2021-08-21,20,Hollywood's Bleeding,Post Malone,18,1,101
2021-08-21,21,Faith,Pop Smoke,12,1,4
2021-08-21,22,Legends Never Die,Juice WRLD,24,1,57
2021-08-21,23,Justice,Justin Bieber,19,1,21
2021-08-21,24,Rumours,Fleetwood Mac,33,1,437
2021-08-21,25,Greatest Hits,Queen,23,8,451
2021-08-21,26,Folklore,Taylor Swift,21,1,55
2021-08-21,27,The Off-Season,J. Cole,25,1,13
2021-08-21,28,Goodbye & Good Riddance,Juice WRLD,29,4,169
2021-08-21,29,Inside (The Songs),Bo Burnham,20,7,10
2021-08-21,30,This One's For You,Luke Combs,31,4,219
2021-08-21,31,Call Me If You Get Lost,"Tyler, The Creator",34,1,7
2021-08-21,32,Positions,Ariana Grande,35,1,41
2021-08-21,33,Culture III,Migos,30,2,9
2021-08-21,34,Fine Line,Harry Styles,36,1,87
2021-08-21,35,SoulFly,Rod Wave,32,1,20
2021-08-21,36,Tickets To My Downfall,Machine Gun Kelly,39,1,46
2021-08-21,37,If I Know Me,Morgan Wallen,37,10,150
2021-08-21,38,Bigger Than Life Or Death,EST Gee,28,7,4
2021-08-21,39,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,38,1,124
2021-08-21,40,ASTROWORLD,Travis Scott,41,1,158
2021-08-21,41,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,40,18,536
2021-08-21,42,Hamilton: An American Musical,Original Broadway Cast,45,2,307
2021-08-21,43,Diamonds,Elton John,47,7,196
2021-08-21,44,Khaled Khaled,DJ Khaled,43,1,15
2021-08-21,45,The GOAT,Polo G,46,2,65
2021-08-21,46,Curtain Call: The Hits,Eminem,50,1,541
2021-08-21,47,Evermore,Taylor Swift,44,1,35
2021-08-21,48,When It's All Said And Done... Take Time,Giveon,51,5,22
2021-08-21,49,YHLQMDLG,Bad Bunny,48,2,76
2021-08-21,50,Shiesty Season,Pooh Shiesty,49,3,27
2021-08-21,51,Still Sleep?,Sleepy Hallow,52,38,11
2021-08-21,52,beerbongs & bentleys,Post Malone,53,1,172
2021-08-21,53,Traveller,Chris Stapleton,57,1,309
2021-08-21,54,The Highlights,The Weeknd,65,2,27
2021-08-21,55,Ctrl,SZA,59,3,218
2021-08-21,56,Scorpion,Drake,58,1,163
2021-08-21,57,2014 Forest Hills Drive,J. Cole,67,1,349
2021-08-21,58,Starting Over,Chris Stapleton,77,3,39
2021-08-21,59,Lover,Taylor Swift,66,1,103
2021-08-21,60,Country Stuff (EP),Walker Hayes,70,60,8
2021-08-21,61,Death Race For Love,Juice WRLD,64,1,127
2021-08-21,62,El Ultimo Tour del Mundo,Bad Bunny,61,1,37
2021-08-21,63,Journey's Greatest Hits,Journey,63,10,681
2021-08-21,64,Vice Versa,Rauw Alejandro,74,17,7
2021-08-21,65,"good kid, m.A.A.d city",Kendrick Lamar,76,2,459
2021-08-21,66,Good News,Megan Thee Stallion,68,2,38
2021-08-21,67,Back In Black,AC/DC,62,4,476
2021-08-21,68,The Life Of Pablo,Kanye West,165,1,161
2021-08-21,69,Hot Pink,Doja Cat,73,9,93
2021-08-21,70,Dreamland,Glass Animals,72,7,40
