chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2021-04-10,1,SoulFly,Rod Wave,-,1,1
2021-04-10,2,Justice,Justin Bieber,1,1,2
2021-04-10,3,Clouds (The Mixtape),NF,-,3,1
2021-04-10,4,My Savior,Carrie Underwood,-,4,1
2021-04-10,5,Dangerous: The Double Album,Morgan Wallen,3,1,12
2021-04-10,6,The Highlights,The Weeknd,15,2,8
2021-04-10,7,Shoot For The Stars Aim For The Moon,Pop Smoke,4,1,39
2021-04-10,8,Dum And Dummer 2,Young Dolph & Key Glock,-,8,1
2021-04-10,9,Future Nostalgia,Dua Lipa,5,3,52
2021-04-10,10,OK Orchestra,AJR,-,10,1
2021-04-10,11,The Bitter Truth,Evanescence,-,11,1
2021-04-10,12,My Turn,Lil Baby,8,1,57
2021-04-10,13,Shiesty Season,Pooh Shiesty,6,3,8
2021-04-10,14,What You See Is What You Get,Luke Combs,10,1,73
2021-04-10,15,The Voice,Lil Durk,9,2,15
2021-04-10,16,When It's All Said And Done... Take Time,Giveon,11,5,3
2021-04-10,17,Hollywood's Bleeding,Post Malone,13,1,82
2021-04-10,18,Positions,Ariana Grande,16,1,22
2021-04-10,19,Legends Never Die,Juice WRLD,12,1,38
2021-04-10,20,KG0516,Karol G,-,20,1
2021-04-10,21,Good News,Megan Thee Stallion,17,2,19
2021-04-10,22,El Dorado,24kGoldn,-,22,1
2021-04-10,23,F*ck Love,The Kid LAROI,23,3,36
2021-04-10,24,Fine Line,Harry Styles,18,1,68
2021-04-10,25,El Ultimo Tour del Mundo,Bad Bunny,22,1,18
2021-04-10,26,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,19,1,105
2021-04-10,27,Folklore,Taylor Swift,14,1,36
2021-04-10,28,Hot Pink,Doja Cat,21,9,74
2021-04-10,29,Greatest Hits,Queen,25,8,432
2021-04-10,30,The GOAT,Polo G,26,2,46
2021-04-10,31,Evermore,Taylor Swift,20,1,16
2021-04-10,32,Goodbye & Good Riddance,Juice WRLD,27,4,150
2021-04-10,33,Tickets To My Downfall,Machine Gun Kelly,24,1,27
2021-04-10,34,This One's For You,Luke Combs,30,4,200
2021-04-10,35,Hamilton: An American Musical,Original Broadway Cast,31,2,288
2021-04-10,36,Rumours,Fleetwood Mac,34,1,418
2021-04-10,37,YHLQMDLG,Bad Bunny,32,2,57
2021-04-10,38,Thats What They All Say,Jack Harlow,35,5,16
2021-04-10,39,Pray 4 Love,Rod Wave,29,2,52
2021-04-10,40,Chemtrails Over The Country Club,Lana Del Rey,2,2,2
2021-04-10,41,If I Know Me,Morgan Wallen,39,10,131
2021-04-10,42,Death Race For Love,Juice WRLD,37,1,108
2021-04-10,43,ASTROWORLD,Travis Scott,41,1,139
2021-04-10,44,Curtain Call: The Hits,Eminem,40,1,522
2021-04-10,45,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,46,18,517
2021-04-10,46,Starting Over,Chris Stapleton,44,3,20
2021-04-10,47,beerbongs & bentleys,Post Malone,42,1,153
2021-04-10,48,BLAME IT ON BABY,DaBaby,38,1,50
2021-04-10,49,Diamonds,Elton John,47,7,177
2021-04-10,50,BE,BTS,36,1,19
2021-04-10,51,Ctrl,SZA,50,3,199
2021-04-10,52,Scorpion,Drake,45,1,144
2021-04-10,53,Legend: The Best Of...,Bob Marley And The Wailers,52,5,672
2021-04-10,54,Eternal Atake,Lil Uzi Vert,43,1,56
2021-04-10,55,Traveller,Chris Stapleton,53,1,290
2021-04-10,56,1,The Beatles,81,1,466
2021-04-10,57,Only The Family Presents: Loyal Bros Compilation,Various Artists,55,12,4
2021-04-10,58,"good kid, m.A.A.d city",Kendrick Lamar,49,2,440
2021-04-10,59,Stoney,Post Malone,54,4,225
2021-04-10,60,Dont Smile At Me,Billie Eilish,48,14,171
2021-04-10,61,Music To Be Murdered By,Eminem,51,1,62
2021-04-10,62,Please Excuse Me For Being Antisocial,Roddy Ricch,57,1,69
2021-04-10,63,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,56,20,98
2021-04-10,64,Over It,Summer Walker,58,2,78
2021-04-10,65,Lover,Taylor Swift,60,1,84
2021-04-10,66,Life Rolls On,Florida Georgia Line,67,21,7
2021-04-10,67,Journey's Greatest Hits,Journey,65,10,662
2021-04-10,68,Top,YoungBoy Never Broke Again,59,1,29
2021-04-10,69,2014 Forest Hills Drive,J. Cole,63,1,330
2021-04-10,70,Greatest Hits,Guns N' Roses,75,3,523
2021-04-10,71,Sin Miedo (Del Amor y Otros Demonios),Kali Uchis,62,52,6
2021-04-10,72,÷ (Divide),Ed Sheeran,71,1,213
2021-04-10,73,Greatest Hits,2Pac,66,3,364
2021-04-10,74,Back In Black,AC/DC,70,4,457
2021-04-10,75,Doo-Wops & Hooligans,Bruno Mars,79,3,513
2021-04-10,76,Pluto x Baby Pluto,Future & Lil Uzi Vert,64,2,20
2021-04-10,77,High Off Life,Future,72,1,46
2021-04-10,78,Greatest Hits,Tom Petty And The Heartbreakers,84,2,403
2021-04-10,79,Greatest Hits,The Notorious B.I.G.,74,1,268
2021-04-10,80,Chilombo,Jhene Aiko,69,2,56
2021-04-10,81,Just Cause Y'all Waited 2,Lil Durk,68,2,47
2021-04-10,82,American Teen,Khalid,77,4,213
2021-04-10,83,Take Care,Drake,73,1,422
2021-04-10,84,DAMN.,Kendrick Lamar,76,1,207
2021-04-10,85,Goldmine,Gabby Barrett,80,27,41
2021-04-10,86,Luv Is Rage 2,Lil Uzi Vert,88,1,188
2021-04-10,87,?,XXXTENTACION,85,1,159
2021-04-10,88,Wunna,Gunna,87,1,45
