chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-02-19,1,Encanto,Soundtrack,1,1,11
2022-02-19,2,DS4EVER,Gunna,3,1,5
2022-02-19,3,CM10: Free Game,Yo Gotti,-,3,1
2022-02-19,4,Dangerous: The Double Album,Morgan Wallen,4,1,57
2022-02-19,5,Laurel Hell,Mitski,-,5,1
2022-02-19,6,Dawn FM,The Weeknd,2,2,5
2022-02-19,7,Certified Lover Boy,Drake,7,1,23
2022-02-19,8,The Highlights,The Weeknd,8,2,52
2022-02-19,9,30,Adele,6,1,12
2022-02-19,10,Planet Her,Doja Cat,9,2,33
2022-02-19,11,Colors,YoungBoy Never Broke Again,5,2,3
2022-02-19,12,Sour,Olivia Rodrigo,10,1,38
2022-02-19,13,Red (Taylor's Version),Taylor Swift,11,1,13
2022-02-19,14,Requiem,Korn,-,14,1
2022-02-19,15,Rumours,Fleetwood Mac,30,1,463
2022-02-19,16,Hall Of Fame,Polo G,12,1,35
2022-02-19,17,Fighting Demons,Juice WRLD,15,2,9
2022-02-19,18,My Turn,Lil Baby,18,1,102
2022-02-19,19,F*ck Love,The Kid LAROI,16,1,81
2022-02-19,20,=,Ed Sheeran,17,1,15
2022-02-19,21,Happier Than Ever,Billie Eilish,24,1,28
2022-02-19,22,Shoot For The Stars Aim For The Moon,Pop Smoke,20,1,84
2022-02-19,23,Dope Don't Sell Itself,2 Chainz,-,23,1
2022-02-19,24,Goodbye & Good Riddance,Juice WRLD,22,4,195
2022-02-19,25,Montero,Lil Nas X,21,2,21
2022-02-19,26,Hollywood's Bleeding,Post Malone,23,1,127
2022-02-19,27,"good kid, m.A.A.d city",Kendrick Lamar,28,2,485
2022-02-19,28,What You See Is What You Get,Luke Combs,27,1,118
2022-02-19,29,Legends Never Die,Juice WRLD,29,1,83
2022-02-19,30,SoulFly,Rod Wave,26,1,46
2022-02-19,31,Justice,Justin Bieber,32,1,47
2022-02-19,32,Future Nostalgia,Dua Lipa,35,3,97
2022-02-19,33,Country Stuff: The Album,Walker Hayes,19,9,3
2022-02-19,34,YHLQMDLG,Bad Bunny,34,2,102
2022-02-19,35,Still Over It,Summer Walker,25,1,14
2022-02-19,36,Greatest Hits,Queen,33,8,477
2022-02-19,37,Diamonds,Elton John,45,7,222
2022-02-19,38,A Gangsta's Pain,Moneybagg Yo,38,1,42
2022-02-19,39,Death Race For Love,Juice WRLD,42,1,153
2022-02-19,40,Donda,Kanye West,37,1,24
2022-02-19,41,This One's For You,Luke Combs,41,4,245
2022-02-19,42,Folklore,Taylor Swift,40,1,81
2022-02-19,43,Who Is Nardo Wick?,Nardo Wick,44,19,10
2022-02-19,44,Hamilton: An American Musical,Original Broadway Cast,43,2,333
2022-02-19,45,Dreamland,Glass Animals,46,7,66
2022-02-19,46,An Evening With Silk Sonic,Silk Sonic (Bruno Mars & Anderson .Paak),49,2,13
2022-02-19,47,Luv Is Rage 2,Lil Uzi Vert,57,1,233
2022-02-19,48,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,62,1,150
2022-02-19,49,If I Know Me,Morgan Wallen,52,10,176
2022-02-19,50,El Ultimo Tour del Mundo,Bad Bunny,55,1,63
2022-02-19,51,Take Care,Drake,53,1,467
2022-02-19,52,The Melodic Blue,Baby Keem,54,5,22
2022-02-19,53,DAMN.,Kendrick Lamar,60,1,252
2022-02-19,54,Fine Line,Harry Styles,51,1,113
2022-02-19,55,Traveller,Chris Stapleton,50,1,335
2022-02-19,56,The Voice Of The Heroes,Lil Baby & Lil Durk,48,1,36
2022-02-19,57,Greatest Hits,2Pac,61,3,409
2022-02-19,58,Up 2 Me,Yeat,85,58,5
2022-02-19,59,Me Vs. Me,NLE Choppa,14,14,2
2022-02-19,60,Nevermind,Nirvana,73,1,562
2022-02-19,61,The Eminem Show,Eminem,66,1,399
2022-02-19,62,Starting Over,Chris Stapleton,59,3,65
2022-02-19,63,Channel Orange,Frank Ocean,56,2,66
2022-02-19,64,Lover,Taylor Swift,47,1,129
2022-02-19,65,ASTROWORLD,Travis Scott,65,1,184
2022-02-19,66,Legend: The Best Of...,Bob Marley And The Wailers,64,5,717
2022-02-19,67,Eternal Atake,Lil Uzi Vert,77,1,101
2022-02-19,68,Whole Lotta Red,Playboi Carti,63,1,53
2022-02-19,69,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,71,18,576
2022-02-19,70,2014 Forest Hills Drive,J. Cole,76,1,375
2022-02-19,71,Scorpion,Drake,78,1,189
2022-02-19,72,beerbongs & bentleys,Post Malone,68,1,198
2022-02-19,73,The GOAT,Polo G,67,2,91
