chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-02-26,1,Encanto,Soundtrack,1,1,12
2022-02-26,2,DS4EVER,Gunna,2,1,6
2022-02-26,3,Dangerous: The Double Album,Morgan Wallen,4,1,58
2022-02-26,4,Certified Lover Boy,Drake,7,1,24
2022-02-26,5,The Highlights,The Weeknd,8,2,53
2022-02-26,6,Planet Her,Doja Cat,10,2,34
2022-02-26,7,30,Adele,9,1,13
2022-02-26,8,Curtain Call: The Hits,Eminem,126,1,568
2022-02-26,9,Dr. Dre -- 2001,Dr. Dre,108,2,169
2022-02-26,10,Sour,Olivia Rodrigo,12,1,39
2022-02-26,11,Dawn FM,The Weeknd,6,2,6
2022-02-26,12,=,Ed Sheeran,20,1,16
2022-02-26,13,Colors,YoungBoy Never Broke Again,11,2,4
2022-02-26,14,Good Morning Gorgeous,Mary J. Blige,-,14,1
2022-02-26,15,Red (Taylor's Version),Taylor Swift,13,1,14
2022-02-26,16,Fighting Demons,Juice WRLD,17,2,10
2022-02-26,17,"good kid, m.A.A.d city",Kendrick Lamar,27,2,486
2022-02-26,18,My Turn,Lil Baby,18,1,103
2022-02-26,19,Hall Of Fame,Polo G,16,1,36
2022-02-26,20,Donda,Kanye West,40,1,25
2022-02-26,21,Happier Than Ever,Billie Eilish,21,1,29
2022-02-26,22,Greatest Hits,2Pac,57,3,410
2022-02-26,23,F*ck Love,The Kid LAROI,19,1,82
2022-02-26,24,Shoot For The Stars Aim For The Moon,Pop Smoke,22,1,85
2022-02-26,25,YHLQMDLG,Bad Bunny,34,2,103
2022-02-26,26,Goodbye & Good Riddance,Juice WRLD,24,4,196
2022-02-26,27,Montero,Lil Nas X,25,2,22
2022-02-26,28,Hollywood's Bleeding,Post Malone,26,1,128
2022-02-26,29,Earthling,Eddie Vedder,-,29,1
2022-02-26,30,Rumours,Fleetwood Mac,15,1,464
2022-02-26,31,Dragon New Warm Mountain I Believe In You,Big Thief,-,31,1
2022-02-26,32,What You See Is What You Get,Luke Combs,28,1,119
2022-02-26,33,DAMN.,Kendrick Lamar,53,1,253
2022-02-26,34,Justice,Justin Bieber,31,1,48
2022-02-26,35,Future Nostalgia,Dua Lipa,32,3,98
2022-02-26,36,Legends Never Die,Juice WRLD,29,1,84
2022-02-26,37,CM10: Free Game,Yo Gotti,3,3,2
2022-02-26,38,Lucifer On The Sofa,Spoon,-,38,1
2022-02-26,39,SoulFly,Rod Wave,30,1,47
2022-02-26,40,Greatest Hits,Queen,36,8,478
2022-02-26,41,Who Is Nardo Wick?,Nardo Wick,43,19,11
2022-02-26,42,Country Stuff: The Album,Walker Hayes,33,9,4
2022-02-26,43,Still Over It,Summer Walker,35,1,15
2022-02-26,44,Diamonds,Elton John,37,7,223
2022-02-26,45,A Gangsta's Pain,Moneybagg Yo,38,1,43
2022-02-26,46,Heaux Tales,Jazmine Sullivan,-,4,17
2022-02-26,47,This One's For You,Luke Combs,41,4,246
2022-02-26,48,Folklore,Taylor Swift,42,1,82
