chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2021-01-02,1,Evermore,Taylor Swift,1,1,2
2021-01-02,2,McCartney III,Paul McCartney,-,2,1
2021-01-02,3,Music To Be Murdered By,Eminem,199,1,48
2021-01-02,4,Christmas,Michael Buble,4,1,90
2021-01-02,5,Merry Christmas,Mariah Carey,10,3,99
2021-01-02,6,The Christmas Song,Nat King Cole,8,6,56
2021-01-02,7,My Gift,Carrie Underwood,6,5,13
2021-01-02,8,Folklore,Taylor Swift,3,1,22
2021-01-02,9,The Best Of Pentatonix Christmas,Pentatonix,13,7,18
2021-01-02,10,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,12,10,88
2021-01-02,11,Shoot For The Stars Aim For The Moon,Pop Smoke,7,1,25
2021-01-02,12,A Christmas Gift For You From Phil Spector,Various Artists,17,12,15
2021-01-02,13,Man On The Moon III: The Chosen,Kid Cudi,2,2,2
2021-01-02,14,Positions,Ariana Grande,11,1,8
2021-01-02,15,The Best Of Bing Crosby: 20th Century Masters: The Christmas Collection,Bing Crosby,23,14,46
2021-01-02,16,El Ultimo Tour del Mundo,Bad Bunny,9,1,4
2021-01-02,17,Good News,Megan Thee Stallion,15,2,5
2021-01-02,18,The Classic Christmas Album,Perry Como,24,18,19
2021-01-02,19,What You See Is What You Get,Luke Combs,16,1,59
2021-01-02,20,Fine Line,Harry Styles,14,1,54
2021-01-02,21,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,Brenda Lee,32,17,12
2021-01-02,22,Ultimate Christmas,Frank Sinatra,34,12,25
2021-01-02,23,My Turn,Lil Baby,22,1,43
2021-01-02,24,The Best Of Burl Ives: 20th Century Masters The Christmas Collection,Burl Ives,45,24,4
2021-01-02,25,Legends Never Die,Juice WRLD,18,1,24
2021-01-02,26,BE,BTS,19,1,5
2021-01-02,27,Starting Over,Chris Stapleton,28,3,6
2021-01-02,28,The Classic Christmas Album,Elvis Presley,30,28,42
2021-01-02,29,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,27,1,91
2021-01-02,30,Classic Christmas Album,Andy Williams,37,23,26
2021-01-02,31,Wrapped In Red,Kelly Clarkson,38,3,50
2021-01-02,32,Thats What They All Say,Jack Harlow,5,5,2
2021-01-02,33,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Gene Autry,49,21,18
2021-01-02,34,The Best Of Bobby Helms,Bobby Helms,40,27,9
2021-01-02,35,Wonder,Shawn Mendes,25,1,3
2021-01-02,36,The Dean Martin Christmas Album,Dean Martin,43,36,19
2021-01-02,37,F*ck Love,The Kid LAROI,21,3,22
2021-01-02,38,Hollywood's Bleeding,Post Malone,29,1,68
2021-01-02,39,"Resonance, Pt. 1",NCT,-,6,5
2021-01-02,40,We Need A Little Christmas,Pentatonix,31,23,6
2021-01-02,41,Plastic Hearts,Miley Cyrus,20,2,4
2021-01-02,42,Christmas Classics,Bing Crosby,48,19,34
2021-01-02,43,Hamilton: An American Musical,Original Broadway Cast,35,2,274
2021-01-02,44,Greatest Hits,Queen,36,8,418
2021-01-02,45,Power Up,AC/DC,47,1,6
2021-01-02,46,The Voice,Lil Durk,-,46,1
2021-01-02,47,After Hours,The Weeknd,39,1,40
2021-01-02,48,Dont Smile At Me,Billie Eilish,55,14,157
2021-01-02,49,A Holly Dolly Christmas,Dolly Parton,26,16,12
2021-01-02,50,Last Christmas (Soundtrack),George Michael & Wham!,67,43,13
2021-01-02,51,Greatest Hits,Fleetwood Mac,44,14,174
2021-01-02,52,Future Nostalgia,Dua Lipa,57,4,38
2021-01-02,53,A Legendary Christmas,John Legend,69,22,19
2021-01-02,54,Abbey Road,The Beatles,59,1,393
2021-01-02,55,Goodbye & Good Riddance,Juice WRLD,42,4,136
2021-01-02,56,Corta Venas,Eslabon Armado,-,56,1
2021-01-02,57,Pluto x Baby Pluto,Future & Lil Uzi Vert,41,2,6
