chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2021-08-28,1,Happier Than Ever,Billie Eilish,1,1,3
2021-08-28,2,Planet Her,Doja Cat,5,2,8
2021-08-28,3,Sour,Olivia Rodrigo,2,1,13
2021-08-28,4,F*ck Love,The Kid LAROI,4,1,56
2021-08-28,5,Dangerous: The Double Album,Morgan Wallen,6,1,32
2021-08-28,6,Good Things,Dan + Shay,-,6,1
2021-08-28,7,Long Term Effects Of Suffering,$uicideBoy$,-,7,1
2021-08-28,8,The Voice Of The Heroes,Lil Baby & Lil Durk,8,1,11
2021-08-28,9,Pressure Machine,The Killers,-,9,1
2021-08-28,10,Future Nostalgia,Dua Lipa,9,3,72
2021-08-28,11,Just A Matter Of Slime,YNW Melly,-,11,1
2021-08-28,12,Shoot For The Stars Aim For The Moon,Pop Smoke,11,1,59
2021-08-28,13,Hall Of Fame,Polo G,10,1,10
2021-08-28,14,What You See Is What You Get,Luke Combs,12,1,93
2021-08-28,15,After Hours,The Weeknd,14,1,70
2021-08-28,16,My Turn,Lil Baby,17,1,77
2021-08-28,17,A Gangsta's Pain,Moneybagg Yo,16,1,17
2021-08-28,18,Hollywood's Bleeding,Post Malone,20,1,102
2021-08-28,19,Legends Never Die,Juice WRLD,22,1,58
2021-08-28,20,Justice,Justin Bieber,23,1,22
2021-08-28,21,Greatest Hits,Queen,25,8,452
2021-08-28,22,Goodbye & Good Riddance,Juice WRLD,28,4,170
2021-08-28,23,Rumours,Fleetwood Mac,24,1,438
2021-08-28,24,The Off-Season,J. Cole,27,1,14
2021-08-28,25,Faith,Pop Smoke,21,1,5
2021-08-28,26,King's Disease II,Nas,3,3,2
2021-08-28,27,Folklore,Taylor Swift,26,1,56
2021-08-28,28,This One's For You,Luke Combs,30,4,220
2021-08-28,29,Tickets To My Downfall,Machine Gun Kelly,36,1,47
2021-08-28,30,Inside (The Songs),Bo Burnham,29,7,11
2021-08-28,31,Positions,Ariana Grande,32,1,42
2021-08-28,32,Culture III,Migos,33,2,10
2021-08-28,33,Fine Line,Harry Styles,34,1,88
2021-08-28,34,If I Know Me,Morgan Wallen,37,10,151
2021-08-28,35,ASTROWORLD,Travis Scott,40,1,159
2021-08-28,36,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,41,18,537
2021-08-28,37,Bigger Than Life Or Death,EST Gee,38,7,5
2021-08-28,38,SoulFly,Rod Wave,35,1,21
2021-08-28,39,Call Me If You Get Lost,"Tyler, The Creator",31,1,8
2021-08-28,40,Diamonds,Elton John,43,7,197
2021-08-28,41,Hamilton: An American Musical,Original Broadway Cast,42,2,308
2021-08-28,42,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,39,1,125
2021-08-28,43,Curtain Call: The Hits,Eminem,46,1,542
2021-08-28,44,The GOAT,Polo G,45,2,66
2021-08-28,45,YHLQMDLG,Bad Bunny,49,2,77
2021-08-28,46,Khaled Khaled,DJ Khaled,44,1,16
2021-08-28,47,Still Sleep?,Sleepy Hallow,51,38,12
2021-08-28,48,When It's All Said And Done... Take Time,Giveon,48,5,23
