chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2021-10-16,1,Fearless (Taylor's Version),Taylor Swift,157,1,25
2021-10-16,2,Certified Lover Boy,Drake,2,1,5
2021-10-16,3,Expensive Pain,Meek Mill,-,3,1
2021-10-16,4,"Sincerely, Kentrell",YoungBoy Never Broke Again,1,1,2
2021-10-16,5,Montero,Lil Nas X,3,2,3
2021-10-16,6,Sour,Olivia Rodrigo,5,1,20
2021-10-16,7,Planet Her,Doja Cat,6,2,15
2021-10-16,8,Love For Sale,Tony Bennett & Lady Gaga,-,8,1
2021-10-16,9,Dangerous: The Double Album,Morgan Wallen,7,1,39
2021-10-16,10,Donda,Kanye West,4,1,6
2021-10-16,11,In These Silent Days,Brandi Carlile,-,11,1
2021-10-16,12,F*ck Love,The Kid LAROI,8,1,63
2021-10-16,13,Happier Than Ever,Billie Eilish,9,1,10
2021-10-16,14,SoulFly,Rod Wave,10,1,28
2021-10-16,15,The Highlights,The Weeknd,20,2,35
2021-10-16,16,Shoot For The Stars Aim For The Moon,Pop Smoke,12,1,66
2021-10-16,17,What You See Is What You Get,Luke Combs,14,1,100
2021-10-16,18,My Turn,Lil Baby,15,1,84
2021-10-16,19,Future Nostalgia,Dua Lipa,16,3,79
2021-10-16,20,The Melodic Blue,Baby Keem,13,5,4
2021-10-16,21,The Voice Of The Heroes,Lil Baby & Lil Durk,17,1,18
2021-10-16,22,Hollywood's Bleeding,Post Malone,21,1,109
2021-10-16,23,Legends Never Die,Juice WRLD,24,1,65
2021-10-16,24,Fine Line,Harry Styles,31,1,95
2021-10-16,25,A Gangsta's Pain,Moneybagg Yo,18,1,24
2021-10-16,26,La 167,Farruko,-,26,1
2021-10-16,27,Goodbye & Good Riddance,Juice WRLD,26,4,177
2021-10-16,28,The Off-Season,J. Cole,23,1,21
2021-10-16,29,Justice,Justin Bieber,27,1,29
2021-10-16,30,Dreamland,Glass Animals,29,7,48
2021-10-16,31,Hall Of Fame,Polo G,28,1,17
2021-10-16,32,This One's For You,Luke Combs,35,4,227
2021-10-16,33,Greatest Hits,Queen,33,8,459
2021-10-16,34,Folklore,Taylor Swift,34,1,63
2021-10-16,35,Trust Fund Babies,Lil Wayne Featuring Rich The Kid,-,35,1
2021-10-16,36,Hamilton: An American Musical,Original Broadway Cast,38,2,315
2021-10-16,37,Trip At Knight,Trippie Redd,30,2,7
2021-10-16,38,Star-Crossed,Kacey Musgraves,25,3,4
2021-10-16,39,Country Stuff (EP),Walker Hayes,39,32,16
2021-10-16,40,Curtain Call: The Hits,Eminem,42,1,549
2021-10-16,41,Jose,J Balvin,48,12,4
2021-10-16,42,If I Know Me,Morgan Wallen,43,10,158
2021-10-16,43,Rumours,Fleetwood Mac,40,1,445
2021-10-16,44,Over It,Summer Walker,65,2,105
2021-10-16,45,Tickets To My Downfall,Machine Gun Kelly,41,1,54
2021-10-16,46,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,50,18,544
2021-10-16,47,Diamonds,Elton John,46,7,204
2021-10-16,48,Metallica,Metallica,37,1,628
2021-10-16,49,ASTROWORLD,Travis Scott,45,1,166
