chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-04-15,1,One Thing At A Time,Morgan Wallen,1,1,5
2023-04-15,2,Portals,Melanie Martinez,-,2,1
2023-04-15,3,Call Me If You Get Lost,"Tyler, The Creator",137,1,79
2023-04-15,4,The Record,boygenius,-,4,1
2023-04-15,5,SOS,SZA,5,1,17
2023-04-15,6,Midnights,Taylor Swift,7,1,24
2023-04-15,7,Gettin' Old,Luke Combs,4,4,2
2023-04-15,8,Dangerous: The Double Album,Morgan Wallen,9,1,117
2023-04-15,9,Heroes & Villains,Metro Boomin,8,1,18
2023-04-15,10,Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,3,3,2
2023-04-15,11,Un Verano Sin Ti,Bad Bunny,12,1,48
2023-04-15,12,Manana Sera Bonito,Karol G,10,1,6
2023-04-15,13,Her Loss,Drake & 21 Savage,13,1,22
2023-04-15,14,Endless Summer Vacation,Miley Cyrus,11,3,4
2023-04-15,15,Lover,Taylor Swift,16,1,189
2023-04-15,16,FACE (EP),Jimin,2,2,2
2023-04-15,17,The Highlights,The Weeknd,39,2,112
2023-04-15,18,American Heartbreak,Zach Bryan,17,5,46
2023-04-15,19,Folklore,Taylor Swift,18,1,141
2023-04-15,20,Starboy,The Weeknd,15,1,283
2023-04-15,21,My Turn,Lil Baby,19,1,162
2023-04-15,22,It's Only Me,Lil Baby,20,1,25
2023-04-15,23,Harry's House,Harry Styles,21,1,46
2023-04-15,24,1989,Taylor Swift,22,1,434
2023-04-15,25,I Am Music,Lil Wayne,-,25,1
2023-04-15,26,Red (Taylor's Version),Taylor Swift,25,1,73
2023-04-15,27,Diamonds,Elton John,32,7,282
2023-04-15,28,Rumours,Fleetwood Mac,23,1,523
2023-04-15,29,reputation,Taylor Swift,27,1,237
2023-04-15,30,Certified Lover Boy,Drake,26,1,83
2023-04-15,31,I Never Liked You,Future,29,1,49
2023-04-15,32,The Great Escape,Larry June And The Alchemist,-,32,1
2023-04-15,33,Curtain Call: The Hits,Eminem,33,1,626
2023-04-15,34,Evermore,Taylor Swift,34,1,121
2023-04-15,35,Greatest Hits,Queen,35,8,537
