chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-01-07,1,SOS,SZA,1,1,3
2023-01-07,2,Midnights,Taylor Swift,2,1,10
2023-01-07,3,Christmas,Michael Buble,5,1,108
2023-01-07,4,Heroes & Villains,Metro Boomin,4,1,4
2023-01-07,5,The Christmas Song,Nat King Cole,7,5,73
2023-01-07,6,Her Loss,Drake & 21 Savage,6,1,8
2023-01-07,7,Un Verano Sin Ti,Bad Bunny,10,1,34
2023-01-07,8,A Christmas Gift For You From Phil Spector,Various Artists,11,8,31
2023-01-07,9,Merry Christmas,Mariah Carey,9,3,116
2023-01-07,10,A Charlie Brown Christmas (Soundtrack),Vince Guaraldi Trio,8,6,107
2023-01-07,11,Dangerous: The Double Album,Morgan Wallen,12,1,103
2023-01-07,12,Christmas Classics,Bing Crosby,15,12,50
2023-01-07,13,Ultimate Christmas,Frank Sinatra,18,12,38
2023-01-07,14,The Andy Williams Christmas Album,Andy Williams,20,14,28
2023-01-07,15,Rudolph The Red-Nosed Reindeer,Burl Ives,19,15,56
2023-01-07,16,Rockin' Around The Christmas Tree: The Decca Christmas Recordings,Brenda Lee,22,16,26
2023-01-07,17,Diamonds,Elton John,21,7,268
2023-01-07,18,The Best Of Pentatonix Christmas,Pentatonix,16,7,34
2023-01-07,19,Harry's House,Harry Styles,14,1,32
2023-01-07,20,It's Only Me,Lil Baby,23,1,11
2023-01-07,21,Rudolph The Red Nosed Reindeer And Other Christmas Classics,Gene Autry,24,21,31
2023-01-07,22,American Heartbreak,Zach Bryan,17,5,32
2023-01-07,23,Last Christmas (Soundtrack),George Michael & Wham!,26,23,25
2023-01-07,24,The Best Of Bobby Helms,Bobby Helms,29,24,19
2023-01-07,25,The Highlights,The Weeknd,13,2,98
2023-01-07,26,The Classic Christmas Album,Elvis Presley,31,26,55
2023-01-07,27,White Christmas,Bing Crosby,34,27,54
2023-01-07,28,Wrapped In Red,Kelly Clarkson,30,3,63
2023-01-07,29,The Dean Martin Christmas Album,Dean Martin,43,29,32
2023-01-07,30,"good kid, m.A.A.d city",Kendrick Lamar,33,2,531
2023-01-07,31,Sour,Olivia Rodrigo,35,1,84
2023-01-07,32,Rumours,Fleetwood Mac,27,1,509
2023-01-07,33,=,Ed Sheeran,38,1,61
2023-01-07,34,Ctrl,SZA,36,3,290
2023-01-07,35,Thriller,Michael Jackson,28,1,554
2023-01-07,36,The Jackson 5 Christmas Album,Jackson 5,49,36,17
2023-01-07,37,Renaissance,Beyonce,44,1,22
2023-01-07,38,Feliz Navidad,Jose Feliciano,61,38,22
2023-01-07,39,Indigo,RM,3,3,3
2023-01-07,40,Special,Lizzo,48,2,24
2023-01-07,41,IGOR,"Tyler, The Creator",50,1,168
2023-01-07,42,I Never Liked You,Future,56,1,35
2023-01-07,43,Greatest Christmas Songs,Perry Como,64,43,7
2023-01-07,44,Lover,Taylor Swift,40,1,175
2023-01-07,45,Lost Files,YoungBoy Never Broke Again,-,45,1
2023-01-07,46,Curtain Call: The Hits,Eminem,52,1,612
2023-01-07,47,Leave The Light On,Bailey Zimmerman,62,9,11
2023-01-07,48,Folklore,Taylor Swift,39,1,127
2023-01-07,49,Growin' Up,Luke Combs,55,2,27
2023-01-07,50,Mr. Morale & The Big Steppers,Kendrick Lamar,51,1,33
2023-01-07,51,Greatest Hits,Queen,47,8,523
2023-01-07,52,Goodbye & Good Riddance,Juice WRLD,57,4,241
2023-01-07,53,After Hours,The Weeknd,-,1,91
2023-01-07,54,Red (Taylor's Version),Taylor Swift,46,1,59
2023-01-07,55,Evermore,Taylor Swift,42,1,107
2023-01-07,56,A Perry Como Christmas,Perry Como,110,56,8
2023-01-07,57,Happier Than Ever,Billie Eilish,58,1,74
2023-01-07,58,A Family Christmas,"Matteo, Andrea & Virginia Bocelli",32,22,5
2023-01-07,59,My Turn,Lil Baby,69,1,148
2023-01-07,60,Certified Lover Boy,Drake,67,1,69
2023-01-07,61,When Christmas Comes Around...,Kelly Clarkson,59,22,14
2023-01-07,62,Beautiful Mind,Rod Wave,68,1,20
2023-01-07,63,AM,Arctic Monkeys,66,6,231
2023-01-07,64,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,70,1,196
2023-01-07,65,Born To Die,Lana Del Rey,73,2,464
2023-01-07,66,The Beach Boys' Christmas Album,The Beach Boys,85,66,14
2023-01-07,67,30,Adele,65,1,58
2023-01-07,68,This One's For You,Luke Combs,74,4,291
2023-01-07,69,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,72,18,622
2023-01-07,70,Hollywood's Bleeding,Post Malone,78,1,173
2023-01-07,71,Me Vs. Myself,A Boogie Wit da Hoodie,45,6,3
2023-01-07,72,Gemini Rights,Steve Lacy,53,7,24
2023-01-07,73,Fine Line,Harry Styles,60,1,159
2023-01-07,74,The Best Of Stevie Wonder: 20th Century Masters The Christmas Collection,Stevie Wonder,109,74,13
2023-01-07,75,Paper Route Frank,Young Dolph,25,25,2
2023-01-07,76,Curtain Call 2,Eminem,82,6,21
2023-01-07,77,Planet Her,Doja Cat,77,2,79
2023-01-07,78,Under The Mistletoe,Justin Bieber,87,1,65
2023-01-07,79,If I Know Me,Morgan Wallen,92,10,222
