chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-06-10,157,F*ck Love,The Kid LAROI,150,1,149
2023-06-10,158,All I Want Is You,Miguel,155,37,67
2023-06-10,159,Sublime,Sublime,189,13,197
2023-06-10,160,Moana,Soundtrack,161,2,329
2023-06-10,161,Gemini Rights,Steve Lacy,164,7,46
2023-06-10,162,Beautiful Mind,Rod Wave,144,1,42
2023-06-10,163,Hot Rocks 1964-1971,The Rolling Stones,-,4,410
2023-06-10,164,This Is What ____ Feels Like (Vol.1-4),JVKE,157,40,36
2023-06-10,165,DS4EVER,Gunna,151,1,73
2023-06-10,166,Happier Than Ever,Billie Eilish,154,1,96
2023-06-10,167,I Feel (EP),(G)I-DLE,41,41,2
2023-06-10,168,Hozier,Hozier,146,2,268
2023-06-10,169,Ballads Of The Broken,Jelly Roll,-,159,11
2023-06-10,170,Elv1s: 30 #1 Hits,Elvis Presley,174,1,156
2023-06-10,171,The Album,Jonas Brothers,88,3,3
2023-06-10,172,Evolve,Imagine Dragons,166,2,296
2023-06-10,173,Who Is Nardo Wick?,Nardo Wick,160,16,78
2023-06-10,174,Confessions,Usher,191,1,169
2023-06-10,175,Human: The Double Album,Cody Johnson,183,19,56
2023-06-10,176,Man On The Moon: The End Of Day,Kid Cudi,179,4,280
2023-06-10,177,Metallica,Metallica,182,1,714
2023-06-10,178,Summertime Blues,Zach Bryan,-,34,11
2023-06-10,179,Nothing Was The Same,Drake,188,1,470
2023-06-10,180,Elisabeth,Zach Bryan,-,180,3
2023-06-10,181,?,XXXTENTACION,176,1,271
2023-06-10,182,Tha Carter III,Lil Wayne,186,1,216
2023-06-10,183,Justice,Justin Bieber,-,1,112
2023-06-10,184,Whole Lotta Red,Playboi Carti,170,1,120
2023-06-10,185,Pray 4 Love,Rod Wave,175,2,164
2023-06-10,186,Dr. Dre -- 2001,Dr. Dre,-,2,227
2023-06-10,187,Don't Stop The Magic,Grupo Marca Registrada,200,187,3
2023-06-10,188,I Am > I Was,21 Savage,199,1,103
2023-06-10,189,The GOAT,Polo G,171,2,157
2023-06-10,190,Mercury - Act 1,Imagine Dragons,198,9,77
2023-06-10,191,21,Adele,190,1,566
2023-06-10,192,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,168,20,204
2023-06-10,193,Broken By Desire To Be Heavenly Sent,Lewis Capaldi,14,14,2
2023-06-10,194,My Beautiful Dark Twisted Fantasy,Kanye West,180,1,226
2023-06-10,195,DS2,Future,172,1,227
2023-06-10,196,Saturno,Rauw Alejandro,-,25,28
2023-06-10,197,17,XXXTENTACION,-,2,274
2023-06-10,198,Love Sick,Don Toliver,194,8,14
2023-06-10,199,Danado,Ivan Cornejo,185,28,44
2023-06-10,200,1,The Beatles,-,1,538
