chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-09-23,1,Guts,Olivia Rodrigo,-,1,1
2023-09-23,2,Layover (EP),V,-,2,1
2023-09-23,3,Zach Bryan,Zach Bryan,1,1,3
2023-09-23,4,One Thing At A Time,Morgan Wallen,2,1,28
2023-09-23,5,Utopia,Travis Scott,3,1,7
2023-09-23,6,SOS,SZA,6,1,40
2023-09-23,7,Genesis,Peso Pluma,8,3,12
2023-09-23,8,Midnights,Taylor Swift,5,1,47
2023-09-23,9,Dangerous: The Double Album,Morgan Wallen,10,1,140
2023-09-23,10,Rustin' In The Rain,Tyler Childers,-,10,1
2023-09-23,11,Barbie: The Album,Soundtrack,7,2,8
2023-09-23,12,Lover,Taylor Swift,9,1,212
2023-09-23,13,Speak Now (Taylor's Version),Taylor Swift,11,1,10
2023-09-23,14,American Heartbreak,Zach Bryan,13,5,69
2023-09-23,15,Folklore,Taylor Swift,12,1,164
2023-09-23,16,Sour,Olivia Rodrigo,33,1,121
2023-09-23,17,Manana Sera Bonito (Bichota Season),Karol G,15,3,5
2023-09-23,18,1989,Taylor Swift,14,1,457
2023-09-23,19,Stick Season,Noah Kahan,16,3,42
2023-09-23,20,reputation,Taylor Swift,17,1,260
2023-09-23,21,Religiously. The Album.,Bailey Zimmerman,19,7,18
2023-09-23,22,Un Verano Sin Ti,Bad Bunny,18,1,71
2023-09-23,23,Bewitched,Laufey,-,23,1
2023-09-23,24,Her Loss,Drake & 21 Savage,24,1,45
2023-09-23,25,A Gift & A Curse,Gunna,23,3,13
2023-09-23,26,Gettin' Old,Luke Combs,20,4,25
2023-09-23,27,Manana Sera Bonito,Karol G,22,1,29
2023-09-23,28,Red (Taylor's Version),Taylor Swift,21,1,96
2023-09-23,29,Heroes & Villains,Metro Boomin,27,1,41
2023-09-23,30,Certified Lover Boy,Drake,29,1,106
2023-09-23,31,Take Care,Drake,34,1,550
2023-09-23,32,Renaissance,Beyonce,25,1,59
2023-09-23,33,Austin,Post Malone,26,2,7
2023-09-23,34,Rumours,Fleetwood Mac,32,1,546
2023-09-23,35,My Turn,Lil Baby,36,1,185
2023-09-23,36,2nd EP 'Get Up',NewJeans,28,1,8
2023-09-23,37,Evermore,Taylor Swift,31,1,144
2023-09-23,38,Starboy,The Weeknd,38,1,306
2023-09-23,39,Endless Summer Vacation,Miley Cyrus,30,3,27
2023-09-23,40,Whitsitt Chapel,Jelly Roll,39,3,15
2023-09-23,41,Diamonds,Elton John,37,7,305
2023-09-23,42,Hollywood's Bleeding,Post Malone,41,1,209
2023-09-23,43,This One's For You,Luke Combs,35,4,328
2023-09-23,44,Born To Die,Lana Del Rey,44,2,501
2023-09-23,45,Curtain Call: The Hits,Eminem,48,1,649
2023-09-23,46,Scorpion,Drake,49,1,272
2023-09-23,47,Ctrl,SZA,51,3,327
2023-09-23,48,Greatest Hits,Queen,45,8,560
2023-09-23,49,Pink Tape,Lil Uzi Vert,42,1,11
2023-09-23,50,Almost Healed,Lil Durk,43,3,16
2023-09-23,51,If I Know Me,Morgan Wallen,40,10,259
2023-09-23,52,I Am Music,Lil Wayne,126,25,15
2023-09-23,53,El Comienzo,Grupo Frontera,54,34,6
2023-09-23,54,Views,Drake,56,1,383
2023-09-23,55,"good kid, m.A.A.d city",Kendrick Lamar,55,2,568
2023-09-23,56,Been One,Rylo Rodriguez,46,10,11
2023-09-23,57,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,47,18,659
2023-09-23,58,Graduation,Kanye West,59,1,293
2023-09-23,59,DAMN.,Kendrick Lamar,58,1,335
2023-09-23,60,Harry's House,Harry Styles,57,1,69
2023-09-23,61,Fearless (Taylor's Version),Taylor Swift,50,1,114
2023-09-23,62,Queen Radio: Volume 1,Nicki Minaj,60,10,47
2023-09-23,63,The Highlights,The Weeknd,64,2,133
2023-09-23,64,I Never Liked You,Future,61,1,72
2023-09-23,65,Unreal Unearth,Hozier,52,3,4
2023-09-23,66,Goodbye & Good Riddance,Juice WRLD,67,4,278
2023-09-23,67,2014 Forest Hills Drive,J. Cole,68,1,458
2023-09-23,68,What You See Is What You Get,Luke Combs,62,1,201
2023-09-23,69,It's Only Me,Lil Baby,69,1,48
2023-09-23,70,The Mockingbird & The Crow,HARDY,65,4,34
2023-09-23,71,More Life,Drake,76,1,322
2023-09-23,72,Lauren Daigle,Lauren Daigle,-,21,2
2023-09-23,73,Blonde,Frank Ocean,80,1,347
2023-09-23,74,Hood Hottest Princess,Sexyy Red,75,74,11
2023-09-23,75,After Hours,The Weeknd,71,1,111
2023-09-23,76,ASTROWORLD,Travis Scott,70,1,267
2023-09-23,77,Wasteland,Brent Faiyaz,77,2,62
2023-09-23,78,AM,Arctic Monkeys,90,6,268
2023-09-23,79,Songs You Know By Heart: Jimmy Buffett's Greatest Hit(s),Jimmy Buffett,4,4,37
2023-09-23,80,Meteora,Linkin Park,169,1,142
2023-09-23,81,Rumours: Live,Fleetwood Mac,-,81,1
2023-09-23,82,Savage Mode II,21 Savage & Metro Boomin,89,1,119
2023-09-23,83,Traveller,Chris Stapleton,73,1,418
2023-09-23,84,Lonestar Luchador,That Mexican OT,82,59,7
2023-09-23,85,Elisabeth,Zach Bryan,83,83,18
2023-09-23,86,SoulFly,Rod Wave,103,1,129
2023-09-23,87,ANTI,Rihanna,98,1,385
2023-09-23,88,Greatest Hits,Aerosmith,72,36,4
2023-09-23,89,Hozier,Hozier,96,2,283
2023-09-23,90,Bell Bottom Country,Lainey Wilson,84,51,43
2023-09-23,91,Greatest Hits,2Pac,93,3,492
2023-09-23,92,T R A P S O U L,Bryson Tiller,101,8,336
2023-09-23,93,Planet Her,Doja Cat,92,2,116
2023-09-23,94,Welcome To Bubba Land,Real Boston Richey,-,94,1
2023-09-23,95,Greatest Hits,Tom Petty And The Heartbreakers,79,2,531
2023-09-23,96,Journey's Greatest Hits,Journey,86,10,779
2023-09-23,97,Future Nostalgia,Dua Lipa,95,3,180
2023-09-23,98,Summertime Blues,Zach Bryan,97,34,26
2023-09-23,99,The Best Of Nickelback: Volume 1,Nickelback,88,21,153
2023-09-23,100,Purgatory,Tyler Childers,87,71,166
2023-09-23,101,Hard To Love,Moneybagg Yo,99,10,15
2023-09-23,102,Bluebird Days,Jordan Davis,85,19,30
2023-09-23,103,Like..? (EP),Ice Spice,100,15,33
2023-09-23,104,Luv Is Rage 2,Lil Uzi Vert,107,1,316
2023-09-23,105,Starting Over,Chris Stapleton,91,3,148
2023-09-23,106,Legend: The Best Of...,Bob Marley And The Wailers,78,5,800
2023-09-23,107,IGOR,"Tyler, The Creator",108,1,205
2023-09-23,108,beerbongs & bentleys,Post Malone,109,1,280
2023-09-23,109,7220,Lil Durk,111,1,79
2023-09-23,110,Spider-Man: Across The Spider-Verse: Metro Boomin Presents (Soundtrack),Metro Boomin,106,5,15
2023-09-23,111,Beautiful Mind,Rod Wave,138,1,57
2023-09-23,112,Shoot For The Stars Aim For The Moon,Pop Smoke,94,1,167
2023-09-23,113,Hamilton: An American Musical,Original Broadway Cast,115,2,416
2023-09-23,114,Nevermind,Nirvana,118,1,635
2023-09-23,115,All Time Greatest Hits,Lynyrd Skynyrd,-,56,231
2023-09-23,116,I Told Them...,Burna Boy,74,31,3
2023-09-23,117,Over It,Summer Walker,128,2,206
2023-09-23,118,Nata Montana,Natanael Cano,120,35,11
2023-09-23,119,Doo-Wops & Hooligans,Bruno Mars,113,3,641
2023-09-23,120,Stoney,Post Malone,121,4,352
2023-09-23,121,Desvelado,Eslabon Armado,119,6,20
2023-09-23,122,Different Man,Kane Brown,110,5,53
2023-09-23,123,Channel Orange,Frank Ocean,123,2,143
2023-09-23,124,Appetite For Destruction,Guns N' Roses,-,1,259
2023-09-23,125,Greatest Hits,The Notorious B.I.G.,114,1,331
2023-09-23,126,Curtain Call 2,Eminem,66,6,46
2023-09-23,127,The Essential Michael Jackson,Michael Jackson,117,31,446
2023-09-23,128,Call Me If You Get Lost,"Tyler, The Creator",102,1,102
2023-09-23,129,Nothing Was The Same,Drake,129,1,485
2023-09-23,130,÷ (Divide),Ed Sheeran,125,1,339
2023-09-23,131,The Fame,Lady Gaga,130,2,332
2023-09-23,132,Thriller,Michael Jackson,116,1,591
2023-09-23,133,Greatest Hits,Pitbull,122,107,127
2023-09-23,134,The Melodic Blue,Baby Keem,141,5,105
2023-09-23,135,50 Number Ones,George Strait,124,1,254
2023-09-23,136,Pray 4 Love,Rod Wave,150,2,179
2023-09-23,137,Happier Than Ever,Billie Eilish,127,1,111
2023-09-23,138,Greatest Hits,Foo Fighters,131,11,227
2023-09-23,139,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,133,1,233
2023-09-23,140,=,Ed Sheeran,139,1,98
2023-09-23,141,"Honestly, Nevermind",Drake,143,1,65
2023-09-23,142,Moana,Soundtrack,145,2,344
2023-09-23,143,Legends Never Die,Juice WRLD,140,1,166
2023-09-23,144,Teenage Dream,Katy Perry,137,1,341
2023-09-23,145,Greatest Hits So Far...,Zac Brown Band,81,20,380
2023-09-23,146,Fine Line,Harry Styles,142,1,196
2023-09-23,147,Death Race For Love,Juice WRLD,148,1,236
2023-09-23,148,Gold: Greatest Hits,ABBA,136,25,291
2023-09-23,149,Currents,Tame Impala,149,4,125
2023-09-23,150,Flower Boy,"Tyler, The Creator",135,2,156
2023-09-23,151,Gumbo,Young Nudy,-,83,4
2023-09-23,152,Greatest Hits,Bob Seger & The Silver Bullet Band,105,8,490
2023-09-23,153,Growin' Up,Luke Combs,132,2,64
2023-09-23,154,Get Rich Or Die Tryin',50 Cent,144,1,190
2023-09-23,155,DS2,Future,153,1,232
2023-09-23,156,Cigarettes After Sex,Cigarettes After Sex,160,151,31
2023-09-23,157,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates,134,34,212
2023-09-23,158,The Devil I Know,Ashley McBryde,-,158,1
2023-09-23,159,?,XXXTENTACION,163,1,286
2023-09-23,160,Their Greatest Hits 1971-1975,Eagles,-,1,423
2023-09-23,161,The GOAT,Polo G,172,2,170
2023-09-23,162,Why.. (EP),BOYNEXTDOOR,-,162,1
2023-09-23,163,YHLQMDLG,Bad Bunny,167,2,185
2023-09-23,164,Metallica,Metallica,155,1,729
2023-09-23,165,DS4EVER,Gunna,190,1,88
2023-09-23,166,21,Adele,178,1,581
2023-09-23,167,Greatest Hits: The Ultimate Collection,Bon Jovi,152,5,316
2023-09-23,168,Indigo,Chris Brown,165,1,175
2023-09-23,169,Mr. Morale & The Big Steppers,Kendrick Lamar,171,1,70
2023-09-23,170,Dark Lane Demo Tapes,Drake,184,2,74
2023-09-23,171,Whole Lotta Red,Playboi Carti,175,1,131
2023-09-23,172,Swimming,Mac Miller,182,3,243
2023-09-23,173,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,192,20,217
2023-09-23,174,Pa Que Hablen.: I.,Fuerza Regida,183,60,36
2023-09-23,175,Amar,BigXthaPlug,194,175,8
2023-09-23,176,The Essential Billy Joel,Billy Joel,158,15,307
2023-09-23,177,California Sunrise,Jon Pardi,179,11,212
2023-09-23,178,Greatest Hits,Fleetwood Mac,146,14,261
2023-09-23,179,My Beautiful Dark Twisted Fantasy,Kanye West,180,1,236
2023-09-23,180,Unorthodox Jukebox,Bruno Mars,187,1,222
2023-09-23,181,Man On The Moon: The End Of Day,Kid Cudi,186,4,295
2023-09-23,182,Scoring The End Of The World,Motionless In White,-,12,2
