chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2023-08-19,1,Utopia,Travis Scott,1,1,2
2023-08-19,2,One Thing At A Time,Morgan Wallen,3,1,23
2023-08-19,3,Barbie: The Album,Soundtrack,4,2,3
2023-08-19,4,Speak Now (Taylor's Version),Taylor Swift,5,1,5
2023-08-19,5,Midnights,Taylor Swift,8,1,42
2023-08-19,6,Lover,Taylor Swift,10,1,207
2023-08-19,7,Austin,Post Malone,2,2,2
2023-08-19,8,Genesis,Peso Pluma,7,3,7
2023-08-19,9,Folklore,Taylor Swift,12,1,159
2023-08-19,10,Dangerous: The Double Album,Morgan Wallen,9,1,135
2023-08-19,11,SOS,SZA,11,1,35
2023-08-19,12,2nd EP 'Get Up',NewJeans,6,1,3
2023-08-19,13,1989,Taylor Swift,16,1,452
2023-08-19,14,American Heartbreak,Zach Bryan,13,5,64
2023-08-19,15,reputation,Taylor Swift,19,1,255
2023-08-19,16,The Diamond Collection,Post Malone,-,16,1
2023-08-19,17,A Gift & A Curse,Gunna,14,3,8
2023-08-19,18,Red (Taylor's Version),Taylor Swift,23,1,91
2023-08-19,19,Stick Season,Noah Kahan,17,3,37
2023-08-19,20,Religiously. The Album.,Bailey Zimmerman,22,7,13
2023-08-19,21,Gettin' Old,Luke Combs,15,4,20
2023-08-19,22,Un Verano Sin Ti,Bad Bunny,18,1,66
2023-08-19,23,Kill My Doubt (EP),iTZY,-,23,1
2023-08-19,24,Evermore,Taylor Swift,28,1,139
2023-08-19,25,Pink Tape,Lil Uzi Vert,21,1,6
2023-08-19,26,Been One,Rylo Rodriguez,20,10,6
2023-08-19,27,Manana Sera Bonito,Karol G,30,1,24
2023-08-19,28,Mammoth II,Mammoth WVH,-,28,1
2023-08-19,29,Heroes & Villains,Metro Boomin,25,1,36
2023-08-19,30,Fearless (Taylor's Version),Taylor Swift,34,1,109
2023-08-19,31,Her Loss,Drake & 21 Savage,26,1,40
2023-08-19,32,Renaissance,Beyonce,29,1,54
2023-08-19,33,El Comienzo,Grupo Frontera,-,33,1
2023-08-19,34,Almost Healed,Lil Durk,24,3,11
2023-08-19,35,Whitsitt Chapel,Jelly Roll,32,3,10
2023-08-19,36,This One's For You,Luke Combs,31,4,323
2023-08-19,37,Diamonds,Elton John,35,7,300
2023-08-19,38,Certified Lover Boy,Drake,38,1,101
2023-08-19,39,I Showed U So,Yo Gotti x DJ Drama,-,39,1
2023-08-19,40,If I Know Me,Morgan Wallen,36,10,254
2023-08-19,41,Rumours,Fleetwood Mac,40,1,541
2023-08-19,42,My Turn,Lil Baby,42,1,180
2023-08-19,43,Sour,Olivia Rodrigo,37,1,116
2023-08-19,44,Swimming,Mac Miller,146,3,238
2023-08-19,45,Curtain Call: The Hits,Eminem,45,1,644
2023-08-19,46,Starboy,The Weeknd,41,1,301
2023-08-19,47,Greatest Hits,Queen,43,8,555
2023-08-19,48,Take Care,Drake,46,1,545
2023-08-19,49,Harry's House,Harry Styles,44,1,64
2023-08-19,50,Chronicle: The 20 Greatest Hits,Creedence Clearwater Revival,47,18,654
2023-08-19,51,Born To Die,Lana Del Rey,49,2,496
2023-08-19,52,I Am Music,Lil Wayne,50,25,10
2023-08-19,53,"good kid, m.A.A.d city",Kendrick Lamar,52,2,563
2023-08-19,54,Sweet,TOMORROW X TOGETHER,-,54,1
2023-08-19,55,The Mockingbird & The Crow,HARDY,58,4,29
2023-08-19,56,Ctrl,SZA,54,3,322
2023-08-19,57,Scorpion,Drake,57,1,267
2023-08-19,58,Like..? (EP),Ice Spice,39,15,28
2023-08-19,59,What You See Is What You Get,Luke Combs,48,1,196
2023-08-19,60,Queen Radio: Volume 1,Nicki Minaj,56,10,42
2023-08-19,61,DAMN.,Kendrick Lamar,55,1,330
2023-08-19,62,Spider-Man: Across The Spider-Verse: Metro Boomin Presents (Soundtrack),Metro Boomin,60,5,10
2023-08-19,63,Goodbye & Good Riddance,Juice WRLD,59,4,273
2023-08-19,64,I Never Liked You,Future,64,1,67
2023-08-19,65,ASTROWORLD,Travis Scott,53,1,262
2023-08-19,66,Views,Drake,66,1,378
2023-08-19,67,It's Only Me,Lil Baby,63,1,43
2023-08-19,68,Graduation,Kanye West,72,1,288
2023-08-19,69,Hard To Love,Moneybagg Yo,62,10,10
2023-08-19,70,2014 Forest Hills Drive,J. Cole,67,1,453
2023-08-19,71,Lonestar Luchador,That Mexican OT,106,71,2
2023-08-19,72,The Highlights,The Weeknd,-,2,128
2023-08-19,73,Bluebird Days,Jordan Davis,70,19,25
2023-08-19,74,Traveller,Chris Stapleton,69,1,413
2023-08-19,75,Legend: The Best Of...,Bob Marley And The Wailers,65,5,795
2023-08-19,76,After Hours,The Weeknd,73,1,107
2023-08-19,77,5-Star: The 3rd Album,Stray Kids,51,1,10
2023-08-19,78,Bell Bottom Country,Lainey Wilson,81,51,38
2023-08-19,79,Desvelado,Eslabon Armado,68,6,15
2023-08-19,80,Journey's Greatest Hits,Journey,83,10,774
2023-08-19,81,Forty Licks,The Rolling Stones,61,2,50
2023-08-19,82,Future Nostalgia,Dua Lipa,74,3,175
2023-08-19,83,Purgatory,Tyler Childers,71,71,161
2023-08-19,84,Wasteland,Brent Faiyaz,86,2,57
2023-08-19,85,Greatest Hits,Tom Petty And The Heartbreakers,82,2,526
2023-08-19,86,Different Man,Kane Brown,78,5,48
2023-08-19,87,Endless Summer Vacation,Miley Cyrus,79,3,22
2023-08-19,88,Curtain Call 2,Eminem,-,6,42
2023-08-19,89,Greatest Hits,2Pac,84,3,487
2023-08-19,90,Starting Over,Chris Stapleton,77,3,143
2023-08-19,91,More Life,Drake,89,1,317
2023-08-19,92,ANTI,Rihanna,90,1,380
2023-08-19,93,IGOR,"Tyler, The Creator",88,1,200
2023-08-19,94,Blonde,Frank Ocean,98,1,342
2023-08-19,95,Greatest Hits,Guns N' Roses,95,3,637
2023-08-19,96,Savage Mode II,21 Savage & Metro Boomin,97,1,114
2023-08-19,97,The Best Of Nickelback: Volume 1,Nickelback,96,21,148
2023-08-19,98,Planet Her,Doja Cat,102,2,111
2023-08-19,99,Nata Montana,Natanael Cano,94,35,6
2023-08-19,100,Greatest Hits,The Notorious B.I.G.,99,1,326
2023-08-19,101,7220,Lil Durk,100,1,74
2023-08-19,102,Happier Than Ever,Billie Eilish,75,1,106
2023-08-19,103,Elisabeth,Zach Bryan,120,103,13
2023-08-19,104,50 Number Ones,George Strait,92,1,249
2023-08-19,105,=,Ed Sheeran,115,1,93
2023-08-19,106,Summertime Blues,Zach Bryan,124,34,21
2023-08-19,107,Chapter I: Snake Oil,Diplo Presents Thomas Wesley,-,50,27
2023-08-19,108,Hozier,Hozier,110,2,278
2023-08-19,109,T R A P S O U L,Bryson Tiller,121,8,331
2023-08-19,110,÷ (Divide),Ed Sheeran,104,1,334
2023-08-19,111,Growin' Up,Luke Combs,91,2,59
2023-08-19,112,Fine Line,Harry Styles,113,1,191
2023-08-19,113,Doo-Wops & Hooligans,Bruno Mars,107,3,636
2023-08-19,114,The Essential Foo Fighters,Foo Fighters,-,42,22
2023-08-19,115,Greatest Hits So Far...,Zac Brown Band,126,20,375
2023-08-19,116,Hamilton: An American Musical,Original Broadway Cast,116,2,411
2023-08-19,117,Nevermind,Nirvana,123,1,630
2023-08-19,118,Shoot For The Stars Aim For The Moon,Pop Smoke,85,1,162
2023-08-19,119,Naujour,Toosii,109,19,10
2023-08-19,120,Business Is Business,Young Thug,93,2,7
2023-08-19,121,"When We All Fall Asleep, Where Do We Go?",Billie Eilish,127,1,228
2023-08-19,122,SoulFly,Rod Wave,122,1,124
2023-08-19,123,Greatest Hits,Pitbull,112,107,122
2023-08-19,124,Gold: Greatest Hits,ABBA,105,25,286
2023-08-19,125,Thriller,Michael Jackson,111,1,586
2023-08-19,126,Hood Hottest Princess,Sexyy Red,128,126,6
2023-08-19,127,Teenage Dream,Katy Perry,118,1,336
2023-08-19,128,Currents,Tame Impala,136,4,120
2023-08-19,129,The Essential Michael Jackson,Michael Jackson,119,31,441
2023-08-19,130,Aerosmith's Greatest Hits,Aerosmith,-,43,63
2023-08-19,131,Flower Boy,"Tyler, The Creator",108,2,151
2023-08-19,132,Legends Never Die,Juice WRLD,132,1,161
2023-08-19,133,Get Rich Or Die Tryin',50 Cent,143,1,185
2023-08-19,134,Call Me If You Get Lost,"Tyler, The Creator",131,1,97
2023-08-19,135,I Will Always Love You: The Best Of Whitney Houston,Whitney Houston,134,14,161
2023-08-19,136,Greatest Hits,Bob Seger & The Silver Bullet Band,133,8,485
2023-08-19,137,AM,Arctic Monkeys,125,6,263
2023-08-19,138,Data,Tainy,103,11,6
2023-08-19,139,Luv Is Rage 2,Lil Uzi Vert,129,1,311
2023-08-19,140,Their Greatest Hits 1971-1975,Eagles,87,1,419
2023-08-19,141,Over It,Summer Walker,149,2,201
2023-08-19,142,Channel Orange,Frank Ocean,140,2,138
2023-08-19,143,The Very Best Of Daryl Hall John Oates,Daryl Hall John Oates,141,34,207
2023-08-19,144,Taylor Swift,Taylor Swift,170,5,282
2023-08-19,145,Greatest Hits: The Ultimate Collection,Bon Jovi,142,5,311
2023-08-19,146,"Honestly, Nevermind",Drake,138,1,60
2023-08-19,147,The Fame,Lady Gaga,139,2,327
2023-08-19,148,The Essential Billy Joel,Billy Joel,152,15,302
2023-08-19,149,Death Race For Love,Juice WRLD,144,1,231
2023-08-19,150,Rave & Roses,Rema,137,81,31
2023-08-19,151,The Melodic Blue,Baby Keem,148,5,100
2023-08-19,152,Nothing Was The Same,Drake,153,1,480
2023-08-19,153,Moana,Soundtrack,154,2,339
2023-08-19,154,Mr. Morale & The Big Steppers,Kendrick Lamar,164,1,65
2023-08-19,155,Portals,Melanie Martinez,130,2,19
2023-08-19,156,Beautiful Mind,Rod Wave,158,1,52
2023-08-19,157,Indigo,Chris Brown,162,1,171
2023-08-19,158,Hope,NF,147,2,18
2023-08-19,159,Meteora,Linkin Park,157,1,137
2023-08-19,160,Metallica,Metallica,173,1,724
2023-08-19,161,[Hybrid Theory],Linkin Park,161,2,307
2023-08-19,162,Did You Know That There's A Tunnel Under Ocean Blvd,Lana Del Rey,151,3,20
2023-08-19,163,Number One Hits,Tim McGraw,156,27,248
2023-08-19,164,Elv1s: 30 #1 Hits,Elvis Presley,168,1,166
2023-08-19,165,YHLQMDLG,Bad Bunny,166,2,180
2023-08-19,166,Thank Me Later,Drake,171,1,98
2023-08-19,167,Pa Que Hablen.: I.,Fuerza Regida,155,60,32
2023-08-19,168,Lucky,Megan Moroney,163,38,14
2023-08-19,169,Sounds Of Summer: The Very Best Of The Beach Boys,The Beach Boys,150,16,334
2023-08-19,170,California Sunrise,Jon Pardi,165,11,207
2023-08-19,171,Pray 4 Love,Rod Wave,172,2,174
2023-08-19,172,Back In Black,AC/DC,160,4,580
2023-08-19,173,Nate Smith,Nate Smith,145,30,15
2023-08-19,174,Divinely Uninspired To A Hellish Extent,Lewis Capaldi,184,20,212
2023-08-19,175,Evolve,Imagine Dragons,177,2,306
2023-08-19,176,F*ck Love,The Kid LAROI,179,1,159
2023-08-19,177,Greatest Hits,Fleetwood Mac,178,14,256
2023-08-19,178,?,XXXTENTACION,180,1,281
2023-08-19,179,DeAnn,Zach Bryan,-,179,1
2023-08-19,180,Stereotype,Cole Swindell,182,48,49
2023-08-19,181,Speak Now,Taylor Swift,194,1,192
2023-08-19,182,Amar,BigXthaPlug,191,181,3
2023-08-19,183,Tyler Hubbard,Tyler Hubbard,187,40,26
2023-08-19,184,35 Biggest Hits,Toby Keith,174,2,132
2023-08-19,185,Man On The Moon: The End Of Day,Kid Cudi,183,4,290
2023-08-19,186,21,Adele,186,1,576
2023-08-19,187,Confessions,Usher,188,1,179
2023-08-19,188,Sublime,Sublime,175,13,207
2023-08-19,189,My Beautiful Dark Twisted Fantasy,Kanye West,199,1,231
2023-08-19,190,Whole Lotta Red,Playboi Carti,200,1,126
2023-08-19,191,Red Moon In Venus,Kali Uchis,192,4,23
2023-08-19,192,DS4EVER,Gunna,198,1,83
2023-08-19,193,The GOAT,Polo G,195,2,165
2023-08-19,194,Dr. Dre -- 2001,Dr. Dre,190,2,234
2023-08-19,195,-,Ed Sheeran,185,2,14
2023-08-19,196,DS2,Future,-,1,230
2023-08-19,197,La Vida Es Una,Myke Towers,181,173,5
2023-08-19,198,This Is What ____ Feels Like (Vol.1-4),JVKE,-,40,43
2023-08-19,199,Danado,Ivan Cornejo,193,28,48
2023-08-19,200,All I Want Is You,Miguel,-,37,74
