chart_date,current_position,title,performer,previous_position,peak_position,weeks_on_chart
2021-11-20,62,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,50,22,11
2021-11-20,63,One Mississippi,Kane Brown,59,59,7
2021-11-20,64,I Was On A Boat That Day,Old Dominion,47,37,19
2021-11-20,65,Memory,Kane Brown X blackbear,60,50,18
2021-11-20,66,Fair Trade,Drake Featuring Travis Scott,55,3,10
2021-11-20,67,Knowing You,Kenny Chesney,57,57,13
2021-11-20,68,Session 33,Summer Walker,-,68,1
2021-11-20,69,Sand In My Boots,Morgan Wallen,62,32,17
2021-11-20,70,Take My Breath,The Weeknd,45,6,14
2021-11-20,71,Moth To A Flame,Swedish House Mafia & The Weeknd,54,27,3
2021-11-20,72,A-O-K,Tai Verdes,52,34,19
2021-11-20,73,Screwin,Summer Walker & Omarion,-,73,1
2021-11-20,74,Bubbly,Young Thug With Drake & Travis Scott,56,20,4
2021-11-20,75,Whiskey And Rain,Michael Ray,67,67,6
2021-11-20,76,Broken Promises,Summer Walker,-,76,1
2021-11-20,77,Dat Right There,"Summer Walker, Pharrell Williams & The Neptunes",-,77,1
2021-11-20,78,Tequila Little Time,Jon Pardi,68,68,5
2021-11-20,79,Memory I Don't Mess With,Lee Brice,58,33,16
2021-11-20,80,Sad Girlz Luv Money,Amaarae & Moliy Featuring Kali Uchis,-,80,1
2021-11-20,81,Slow Down Summer,Thomas Rhett,-,81,1
2021-11-20,82,Til You Can't,Cody Johnson,70,65,5
2021-11-20,83,Woman,Doja Cat,64,62,15
2021-11-20,84,Freedom Was A Highway,Jimmie Allen & Brad Paisley,84,82,5
2021-11-20,85,Overpass Graffiti,Ed Sheeran,41,41,2
2021-11-20,86,Big Energy,Latto,76,76,3
2021-11-20,87,Hurricane,Kanye West,63,6,11
2021-11-20,88,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,66,26,19
2021-11-20,89,Jumpin,NLE Choppa Featuring Polo G,-,89,1
2021-11-20,90,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",65,56,15
2021-11-20,91,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,71,69,6
2021-11-20,92,For Tonight,Giveon,80,80,6
2021-11-20,93,Maybach,42 Dugg Featuring Future,74,68,7
2021-11-20,94,Too Easy,Gunna & Future,69,38,7
2021-11-20,95,Volvi,Aventura x Bad Bunny,72,22,15
2021-11-20,96,Praise God,Kanye West,78,20,7
2021-11-20,97,Super Gremlin,Kodak Black,-,97,1
2021-11-20,98,Poke It Out,Wale Featuring J. Cole,79,79,3
2021-11-20,99,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,87,87,3
2021-11-20,100,2055,Sleepy Hallow,77,51,17
2021-11-13,1,Easy On Me,Adele,1,1,4
2021-11-13,2,Stay,The Kid LAROI & Justin Bieber,2,1,17
2021-11-13,3,Industry Baby,Lil Nas X & Jack Harlow,3,1,15
2021-11-13,4,Bad Habits,Ed Sheeran,5,2,19
2021-11-13,5,Fancy Like,Walker Hayes,4,3,20
2021-11-13,6,Shivers,Ed Sheeran,7,6,8
2021-11-13,7,Way 2 Sexy,Drake Featuring Future & Young Thug,6,1,9
2021-11-13,8,Need To Know,Doja Cat,9,8,21
2021-11-13,9,Good 4 U,Olivia Rodrigo,8,1,25
2021-11-13,10,Heat Waves,Glass Animals,13,10,42
2021-11-13,11,Levitating,Dua Lipa,10,2,57
2021-11-13,12,Essence,Wizkid Featuring Justin Bieber & Tems,11,9,18
2021-11-13,13,Beggin',Maneskin,14,13,19
2021-11-13,14,Cold Heart (PNAU Remix),Elton John & Dua Lipa,15,14,9
2021-11-13,15,Kiss Me More,Doja Cat Featuring SZA,12,3,30
2021-11-13,16,You Right,Doja Cat & The Weeknd,16,11,19
2021-11-13,17,Save Your Tears,The Weeknd & Ariana Grande,17,1,47
2021-11-13,18,If I Didn't Love You,Jason Aldean & Carrie Underwood,18,15,15
2021-11-13,19,Thriller,Michael Jackson,-,4,21
2021-11-13,20,Traitor,Olivia Rodrigo,19,9,24
2021-11-13,21,Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,23,21,8
2021-11-13,22,Knife Talk,Drake Featuring 21 Savage & Project Pat,22,4,9
2021-11-13,23,My Universe,Coldplay x BTS,20,1,6
2021-11-13,24,Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage",21,17,4
2021-11-13,25,Chasing After You,Ryan Hurd With Maren Morris,25,23,27
2021-11-13,26,Girls Want Girls,Drake Featuring Lil Baby,26,2,9
2021-11-13,27,Montero (Call Me By Your Name),Lil Nas X,24,1,32
2021-11-13,28,Happier Than Ever,Billie Eilish,33,11,14
2021-11-13,29,Better Days,NEIKED X Mae Muller X Polo G,35,29,3
2021-11-13,30,Pepas,Farruko,30,25,15
2021-11-13,31,Buy Dirt,Jordan Davis Featuring Luke Bryan,36,31,13
2021-11-13,32,Thats What I Want,Lil Nas X,29,10,7
2021-11-13,33,Love Nwantiti (Ah Ah Ah),CKay,31,31,7
2021-11-13,34,Cold As You,Luke Combs,39,34,14
2021-11-13,35,Ghost,Justin Bieber,37,32,6
2021-11-13,36,Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,43,36,12
2021-11-13,37,Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers",-,1,38
2021-11-13,38,Wockesha,Moneybagg Yo,34,20,28
2021-11-13,39,You Should Probably Leave,Chris Stapleton,41,39,18
2021-11-13,40,Ghostbusters,Ray Parker Jr.,-,1,22
2021-11-13,41,Overpass Graffiti,Ed Sheeran,-,41,1
2021-11-13,42,Somebody's Watching Me,Rockwell,-,2,20
2021-11-13,43,Wild Side,Normani Featuring Cardi B,46,14,16
2021-11-13,44,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),42,1,35
2021-11-13,45,Take My Breath,The Weeknd,32,6,13
2021-11-13,46,Gyalis,Capella Grey,48,38,14
2021-11-13,47,I Was On A Boat That Day,Old Dominion,49,37,18
2021-11-13,48,Same Boat,Zac Brown Band,53,48,7
2021-11-13,49,Family Ties,Baby Keem & Kendrick Lamar,50,18,10
2021-11-13,50,Sharing Locations,Meek Mill Featuring Lil Baby & Lil Durk,47,22,10
2021-11-13,51,Have Mercy,Chloe,51,28,8
2021-11-13,52,A-O-K,Tai Verdes,40,34,18
2021-11-13,53,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,56,53,6
2021-11-13,54,Moth To A Flame,Swedish House Mafia & The Weeknd,27,27,2
2021-11-13,55,Fair Trade,Drake Featuring Travis Scott,52,3,9
2021-11-13,56,Bubbly,Young Thug With Drake & Travis Scott,45,20,3
2021-11-13,57,Knowing You,Kenny Chesney,58,57,12
2021-11-13,58,Memory I Don't Mess With,Lee Brice,44,33,15
2021-11-13,59,One Mississippi,Kane Brown,68,59,6
2021-11-13,60,Memory,Kane Brown X blackbear,59,50,17
2021-11-13,61,Demon High,Lil Uzi Vert,-,61,1
2021-11-13,62,Sand In My Boots,Morgan Wallen,64,32,16
2021-11-13,63,Hurricane,Kanye West,55,6,10
2021-11-13,64,Woman,Doja Cat,63,62,14
2021-11-13,65,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",57,56,14
2021-11-13,66,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,60,26,18
2021-11-13,67,Whiskey And Rain,Michael Ray,67,67,5
2021-11-13,68,Tequila Little Time,Jon Pardi,74,68,4
2021-11-13,69,Too Easy,Gunna & Future,71,38,6
2021-11-13,70,Til You Can't,Cody Johnson,65,65,4
2021-11-13,71,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,70,69,5
2021-11-13,72,Volvi,Aventura x Bad Bunny,73,22,14
2021-11-13,73,Love Again,Dua Lipa,66,41,16
2021-11-13,74,Maybach,42 Dugg Featuring Future,77,68,6
2021-11-13,75,My Boy,Elvie Shane,54,28,19
2021-11-13,76,Big Energy,Latto,88,76,2
2021-11-13,77,2055,Sleepy Hallow,76,51,16
2021-11-13,78,Praise God,Kanye West,80,20,6
2021-11-13,79,Poke It Out,Wale Featuring J. Cole,79,79,2
2021-11-13,80,For Tonight,Giveon,83,80,5
2021-11-13,81,Rap Freaks,Yung Miami,-,81,1
2021-11-13,82,Eat It,Megan Thee Stallion,-,82,1
2021-11-13,83,Esta Danada,Ivan Cornejo,72,61,5
2021-11-13,84,Freedom Was A Highway,Jimmie Allen & Brad Paisley,82,82,4
2021-11-13,85,Whole Lotta Money,BIA Featuring Nicki Minaj,75,16,17
2021-11-13,86,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,69,69,2
2021-11-13,87,Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,89,87,2
2021-11-13,88,Get Into It (Yuh),Doja Cat,86,68,13
2021-11-13,89,Pissed Me Off,Lil Durk,62,39,3
2021-11-13,90,Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas",81,51,4
2021-11-13,91,"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,92,91,3
2021-11-13,92,Who's In Your Head,Jonas Brothers,93,92,4
2021-11-13,93,Money,Lisa,90,90,2
2021-11-13,94,Come Through,H.E.R. Featuring Chris Brown,99,64,17
2021-11-13,95,WFM,RealestK,78,67,4
2021-11-13,96,Lets Go Brandon,Loza Alexander,38,38,3
2021-11-13,97,Just About Over You,Priscilla Block,95,95,4
2021-11-13,98,To Be Loved By You,Parker McCollum,96,96,2
2021-11-13,99,Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,28,28,2
2021-11-13,100,Ghost Town,Benson Boone,-,100,1
