chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-06-11,1,Harry's House,Harry Styles,1,1,2
2022-06-11,2,Un Verano Sin Ti,Bad Bunny,2,1,4
2022-06-11,3,Mr. Morale & The Big Steppers,Kendrick Lamar,3,1,3
2022-06-11,4,I Never Liked You,Future,4,1,5
2022-06-11,5,Dangerous: The Double Album,Morgan Wallen,6,1,73
2022-06-11,6,Planet Her,Doja Cat,12,2,49
2022-06-11,7,American Heartbreak,Zach Bryan,5,5,2
2022-06-11,8,Sour,Olivia Rodrigo,8,1,54
2022-06-11,9,Come Home The Kids Miss You,Jack Harlow,7,3,4
2022-06-11,10,Diamond Star Halos,Def Leppard,-,10,1
2022-06-11,11,Certified Lover Boy,Drake,11,1,39
2022-06-11,12,7220,Lil Durk,10,1,12
2022-06-11,13,I Used To Think I Could Fly,Tate McRae,-,13,1
2022-06-11,14,The Highlights,The Weeknd,60,2,68
2022-06-11,15,Encanto,Soundtrack,13,1,27
2022-06-11,16,=,Ed Sheeran,16,1,31
2022-06-11,17,Top Gun: Maverick,Soundtrack,-,17,1
2022-06-11,18,My Turn,Lil Baby,15,1,118
2022-06-11,19,What You See Is What You Get,Luke Combs,20,1,134
2022-06-11,20,This One's For You,Luke Combs,21,4,261
2022-06-11,21,Hollywood's Bleeding,Post Malone,19,1,143
2022-06-11,22,If I Know Me,Morgan Wallen,22,10,192
2022-06-11,23,Fine Line,Harry Styles,14,1,129
2022-06-11,24,"good kid, m.A.A.d city",Kendrick Lamar,17,2,501
2022-06-11,25,DS4EVER,Gunna,18,1,21
2022-06-11,26,Minisode 2: Thursday's Child (EP),TOMORROW X TOGETHER,9,4,3
2022-06-11,27,Rumours,Fleetwood Mac,24,1,479
2022-06-11,28,Hounds Of Love,Kate Bush,-,28,28
2022-06-11,29,Greatest Hits,Queen,27,8,493
2022-06-11,30,Shoot For The Stars Aim For The Moon,Pop Smoke,23,1,100
2022-06-11,31,Future Nostalgia,Dua Lipa,28,3,113
2022-06-11,32,Goodbye & Good Riddance,Juice WRLD,25,4,211
2022-06-11,33,F*ck Love,The Kid LAROI,29,1,97
2022-06-11,34,DAMN.,Kendrick Lamar,26,1,268
2022-06-11,35,Diamonds,Elton John,35,7,238
2022-06-11,36,Chronicle The 20 Greatest Hits,Creedence Clearwater Revival,53,18,592
2022-06-11,37,Justice,Justin Bieber,32,1,63
2022-06-11,38,Happier Than Ever,Billie Eilish,31,1,44
2022-06-11,39,Nevermind,Nirvana,61,1,578
2022-06-11,40,Legends Never Die,Juice WRLD,34,1,99
2022-06-11,41,Starboy,The Weeknd,44,1,244
2022-06-11,42,Traveller,Chris Stapleton,51,1,351
2022-06-11,43,YHLQMDLG,Bad Bunny,37,2,118
2022-06-11,44,Starting Over,Chris Stapleton,52,3,81
2022-06-11,45,Take Care,Drake,42,1,483
2022-06-11,46,Fighting Demons,Juice WRLD,36,2,25
2022-06-11,47,Shiesty Season,Pooh Shiesty,33,3,69
2022-06-11,48,Hall Of Fame,Polo G,38,1,51
2022-06-11,49,Graduation,Kanye West,46,1,226
2022-06-11,50,Greatest Hits,2Pac,48,3,425
2022-06-11,51,Red (Taylor's Version),Taylor Swift,39,1,29
2022-06-11,52,Dawn FM,The Weeknd,40,2,21
2022-06-11,53,Legend: The Best Of...,Bob Marley And The Wailers,67,5,733
