chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
1991-11-16,1,Cream,Prince And The N.P.G.,1,1,8
1991-11-16,2,Can't Stop This Thing We Started,Bryan Adams,3,2,10
1991-11-16,3,When A Man Loves A Woman,Michael Bolton,5,3,6
1991-11-16,4,It's So Hard To Say Goodbye To Yesterday,Boyz II Men,8,4,9
1991-11-16,5,Set Adrift On Memory Bliss,P.M. Dawn,11,5,5
1991-11-16,6,Set The Night To Music,Roberta Flack With Maxi Priest,10,6,9
1991-11-16,7,O.P.P.,Naughty By Nature,6,6,11
1991-11-16,8,That's What Love Is For,Amy Grant,17,8,8
1991-11-16,9,Romantic,Karyn White,2,1,14
1991-11-16,10,Don't Cry,Guns N' Roses,13,10,9
1991-11-16,11,I Wonder Why,Curtis Stigers,16,11,11
1991-11-16,12,The One And Only,Chesney Hawkes,12,10,16
1991-11-16,13,Blowing Kisses In The Wind,Paula Abdul,21,13,5
1991-11-16,14,With You,Tony Terry,18,14,21
1991-11-16,15,Let's Talk About Sex,Salt-N-Pepa,20,15,13
1991-11-16,16,Do Anything,Natural Selection,9,2,15
1991-11-16,17,Street Of Dreams,Nia Peeples,22,17,6
1991-11-16,18,Emotions,Mariah Carey,7,1,12
1991-11-16,19,Get A Leg Up,John Mellencamp,23,19,7
1991-11-16,20,Hole Hearted,Extreme,14,4,16
1991-11-16,21,Lies,EMF,27,21,8
1991-11-16,22,Ring My Bell,D.J. Jazzy Jeff & The Fresh Prince,26,22,6
1991-11-16,23,Real Real Real,Jesus Jones,4,4,13
1991-11-16,24,Keep Coming Back,Richard Marx,34,24,3
1991-11-16,25,Don't Want To Be A Fool,Luther Vandross,15,9,16
1991-11-16,26,Enter Sandman,Metallica,24,16,13
1991-11-16,27,Something Got Me Started,Simply Red,32,27,8
1991-11-16,28,All 4 Love,Color Me Badd,37,28,2
1991-11-16,29,No Son Of Mine,Genesis,40,29,3
1991-11-16,30,My Heart Belongs To You,Russ Irwin,28,28,10
1991-11-16,31,Finally,CeCe Peniston,39,31,8
1991-11-16,32,Rush,Big Audio,35,32,9
1991-11-16,33,Top Of The World,Van Halen,36,33,6
1991-11-16,34,Hey Donna,Rhythm Syndicate,19,13,11
1991-11-16,35,Mind Playing Tricks On Me,Geto Boys,38,35,7
1991-11-16,36,Live For Loving You,Gloria Estefan,45,36,6
1991-11-16,37,Forever My Lady,Jodeci,46,37,4
1991-11-16,38,Broken Arrow,Rod Stewart,43,38,5
1991-11-16,39,Love Of A Lifetime,Firehouse,30,5,21
1991-11-16,40,Something To Talk About,Bonnie Raitt,25,5,18
1991-11-16,41,Groovy Train,The Farm,44,41,8
1991-11-16,42,Can't Let Go,Mariah Carey,-,42,1
1991-11-16,43,Wildside,Marky Mark & The Funky Bunch,47,43,2
1991-11-16,44,Running Back To You,Vanessa Williams,29,18,15
1991-11-16,45,Good Vibrations,Marky Mark & The Funky Bunch Featuring Loleatta Holloway,31,1,18
1991-11-16,46,Change,Lisa Stansfield,62,46,3
1991-11-16,47,Angel Baby,Angelica,48,47,5
1991-11-16,48,Spending My Time,Roxette,53,48,4
1991-11-16,49,Tender Kisses,Tracie Spencer,51,49,5
1991-11-16,50,Everybody Plays The Fool,Aaron Neville,33,8,18
1991-11-16,51,All I Need Is You,Blue Train,54,51,7
1991-11-16,52,Housecall,Shabba Ranks (Featuring Maxi Priest),55,52,4
1991-11-16,53,Can't Truss It,Public Enemy,52,52,5
1991-11-16,54,Just Want To Hold You,Jasmine Guy,42,34,16
1991-11-16,55,Shot Of Poison,Lita Ford,64,55,3
1991-11-16,56,Save Up All Your Tears,Cher,59,56,5
1991-11-16,57,A Day In My Life (Without You),Lisette Melendez,49,49,8
1991-11-16,58,I Adore Mi Amor,Color Me Badd,41,1,17
1991-11-16,59,2 Legit 2 Quit,M.C. Hammer,61,59,2
1991-11-16,60,Home Sweet Home,Motley Crue,72,60,2
1991-11-16,61,I've Got A Lot To Learn About Love,The Storm,68,61,4
1991-11-16,62,Motownphilly,Boyz II Men,50,3,23
