chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
1976-12-04,1,Tonight's The Night (Gonna Be Alright),Rod Stewart,1,1,10
1976-12-04,2,The Rubberband Man,The Spinners,5,2,13
1976-12-04,3,Love So Right,Bee Gees,3,3,12
1976-12-04,4,Muskrat Love,Captain & Tennille,4,4,11
1976-12-04,5,The Wreck Of The Edmund Fitzgerald,Gordon Lightfoot,2,2,15
1976-12-04,6,You Don't Have To Be A Star (To Be In My Show),Marilyn McCoo & Billy Davis Jr.,14,6,13
1976-12-04,7,Beth/Detroit Rock City,KISS,8,7,14
1976-12-04,8,More Than A Feeling,Boston,9,8,12
1976-12-04,9,Nadia's Theme (The Young And The Restless),Barry DeVorzon And Perry Botikin Jr.,10,9,15
1976-12-04,10,You Are The Woman,Firefall,12,10,16
1976-12-04,11,Nights Are Forever Without You,England Dan & John Ford Coley,13,11,9
1976-12-04,12,You Make Me Feel Like Dancing,Leo Sayer,16,12,7
1976-12-04,13,Disco Duck (Part I),Rick Dees & His Cast Of Idiots,6,1,17
1976-12-04,14,Just To Be Close To You,Commodores,7,7,12
1976-12-04,15,Sorry Seems To Be The Hardest Word,Elton John,19,15,4
1976-12-04,16,I Never Cry,Alice Cooper,18,16,17
1976-12-04,17,The Best Disco In Town,The Ritchie Family,17,17,15
1976-12-04,18,Stand Tall,Burton Cummings,20,18,9
1976-12-04,19,Love Me,Yvonne Elliman,21,19,10
1976-12-04,20,After The Lovin',Engelbert Humperdinck,22,20,7
1976-12-04,21,Love Ballad,L.T.D.,24,21,10
1976-12-04,22,Hot Line,The Sylvers,27,22,9
1976-12-04,23,Rock'n Me,Steve Miller,11,1,17
1976-12-04,24,Dazz,Brick,30,24,7
1976-12-04,25,Do You Feel Like We Do,Peter Frampton,15,10,12
1976-12-04,26,Livin' Thing,Electric Light Orchestra,28,26,7
1976-12-04,27,Hello Old Friend,Eric Clapton,29,27,8
1976-12-04,28,It's A Long Way There,Little River Band,32,28,12
1976-12-04,29,If You Leave Me Now,Chicago,25,1,17
1976-12-04,30,Fernando,ABBA,23,13,14
1976-12-04,31,(Don't Fear) The Reaper,Blue Oyster Cult,26,12,19
1976-12-04,32,Magic Man,Heart,31,9,21
1976-12-04,33,I Only Want To Be With You,Bay City Rollers,33,12,14
1976-12-04,34,Jeans On,David Dundas,38,34,9
1976-12-04,36,Shake Your Rump To The Funk,The Bar-Kays,42,36,8
1976-12-04,37,Lost Without Your Love,Bread,47,37,2
1976-12-04,38,Whenever I'm Away From You,John Travolta,40,38,6
1976-12-04,39,You Are My Starship,Norman Connors,37,27,15
1976-12-04,40,I Wish,Stevie Wonder,-,40,1
1976-12-04,41,Don't Take Away The Music,Tavares,46,41,6
1976-12-04,42,Car Wash,Rose Royce,52,42,7
1976-12-04,43,Saturday Nite,"Earth, Wind & Fire",48,43,3
1976-12-04,44,Enjoy Yourself,The Jacksons,54,44,4
1976-12-04,45,I Like Dreamin',Kenny Nolan,55,45,5
1976-12-04,46,"Do What You Want, Be What You Are",Daryl Hall John Oates,50,46,6
1976-12-04,47,Down To Love Town,The Originals,57,47,7
1976-12-04,48,I Kinda Miss You,The Manhattans,49,48,6
1976-12-04,49,Mademoiselle,Styx,59,49,4
1976-12-04,50,Whispering/Cherchez La Femme/Se Si Bon,Dr. Buzzard's Original Savannah Band,60,50,5
1976-12-04,51,I Don't Wanna Lose Your Love,The Emotions,53,51,5
1976-12-04,52,Flight '76,The Walter Murphy Band,62,52,4
1976-12-04,53,This Song,George Harrison,63,53,3
1976-12-04,54,Keep Me Cryin',Al Green,61,54,7
1976-12-04,55,Walk This Way,Aerosmith,65,55,3
1976-12-04,56,Let's Be Young Tonight,Jermaine Jackson,58,56,12
1976-12-04,57,It Keeps You Runnin',The Doobie Brothers,67,57,4
1976-12-04,58,Every Face Tells A Story,Olivia Newton-John,56,56,5
1976-12-04,59,"Ob-la-di, Ob-la-da",The Beatles,69,59,3
1976-12-04,60,What Can I Say,Boz Scaggs,72,60,3
1976-12-04,61,Ain't Nothing Like The Real Thing,Donny & Marie Osmond,71,61,2
1976-12-04,62,Baby Boy,Mary Kay Place As Loretta Haggers,64,62,6
1976-12-04,63,"Baby, I'll Give It To You",Seals & Crofts,74,63,3
1976-12-04,64,Lets Get It Together,El Coco,66,64,7
1976-12-04,65,Drivin' Wheel,Foghat,75,65,2
1976-12-04,66,Torn Between Two Lovers,Mary Macgregor,76,66,3
1976-12-04,67,Do It To My Mind,Johnny Bristol,77,67,2
1976-12-04,68,Weekend In New England,Barry Manilow,78,68,2
1976-12-04,69,Heart On My Sleeve,Gallagher And Lyle,79,69,7
1976-12-04,70,Help Wanted,The Hudson Brothers,70,70,5
1976-12-04,71,Catfish,Four Tops,73,71,6
1976-12-04,72,Blinded By The Light,Manfred Mann's Earth Band,83,72,3
1976-12-04,73,Nice 'N' Naasty,The Salsoul Orchestra,35,30,12
1976-12-04,74,If Not You,Dr. Hook,85,74,2
1976-12-04,75,You Ought To Be Havin' Fun,Tower Of Power,68,68,8
1976-12-04,76,Play That Funky Music,Wild Cherry,34,1,25
1976-12-04,77,Don't Fight The Hands (That Need You),"Hamilton, Joe Frank & Dennison",81,77,6
1976-12-04,78,Someone To Lay Down Beside Me,Linda Ronstadt,-,78,1
1976-12-04,79,"Baby, Baby I Love You",Terry Cashman,82,79,2
1976-12-04,80,Sixteen Reasons,Laverne & Shirley,90,80,2
1976-12-04,81,St. Charles,Jefferson Starship,-,81,1
1976-12-04,82,I Like To Do It,KC And The Sunshine Band,-,82,1
1976-12-04,83,Free Bird,Lynyrd Skynyrd,-,19,13
1976-12-04,84,Living Next Door To Alice,Smokie,-,84,1
1976-12-04,85,"9,999,999 Tears",Dickey Lee,87,85,3
1976-12-04,86,Sherry,The Keane Brothers,86,86,4
1976-12-04,87,Open Sesame - Part 1,Kool & The Gang,89,87,5
1976-12-04,88,Slow Dancing,Funky Kings,88,88,5
1976-12-04,89,"Man Smart, Woman Smarter",Robert Palmer,-,89,1
1976-12-04,90,You've Got Me Runnin',Gene Cotton,-,90,1
1976-12-04,91,Dog Eat Dog,Ted Nugent,91,91,2
1976-12-04,92,Makes You Blind,The Glitter Band,92,92,5
1976-12-04,93,You're My Driving Wheel,The Supremes,-,93,1
1976-12-04,94,Laid Back Love,Major Harris,99,94,2
1976-12-04,95,A Fifth Of Beethoven,Walter Murphy & The Big Apple Band,36,1,28
1976-12-04,96,That'll Be The Day,Linda Ronstadt,41,11,16
1976-12-04,97,She's Gone,Daryl Hall John Oates,39,7,28
1976-12-04,98,Caledonia,Robin Trower,-,98,1
1976-12-04,99,Give It Up (turn It Loose),Tyrone Davis,43,38,11
1976-12-04,100,All Roads (Lead Back To You),Donny Most,-,100,1
