chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2022-04-16,1,As It Was,Harry Styles,-,1,1
2022-04-16,2,Heat Waves,Glass Animals,1,1,64
2022-04-16,3,Big Energy,Latto,3,3,24
2022-04-16,4,Stay,The Kid LAROI & Justin Bieber,2,1,39
2022-04-16,5,Enemy,Imagine Dragons X JID,5,5,20
2022-04-16,6,Super Gremlin,Kodak Black,4,3,22
2022-04-16,7,Ghost,Justin Bieber,6,5,28
2022-04-16,8,Woman,Doja Cat,10,8,36
2022-04-16,9,abcdefu,GAYLE,7,3,20
2022-04-16,10,Thats What I Want,Lil Nas X,9,8,29
2022-04-16,11,We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",8,1,15
2022-04-16,12,Bad Habits,Ed Sheeran,11,2,41
2022-04-16,13,Shivers,Ed Sheeran,13,4,30
2022-04-16,14,Easy On Me,Adele,12,1,26
2022-04-16,15,Cold Heart (PNAU Remix),Elton John & Dua Lipa,14,7,31
2022-04-16,16,Need To Know,Doja Cat,16,8,43
2022-04-16,17,Levitating,Dua Lipa,15,2,74
2022-04-16,18,Save Your Tears,The Weeknd & Ariana Grande,17,1,66
2022-04-16,19,One Right Now,Post Malone & The Weeknd,19,6,22
2022-04-16,20,Industry Baby,Lil Nas X & Jack Harlow,21,1,37
2022-04-16,21,'Til You Can't,Cody Johnson,18,18,26
2022-04-16,22,Good 4 U,Olivia Rodrigo,27,1,47
2022-04-16,23,Hrs And Hrs,Muni Long,24,16,15
2022-04-16,24,I Hate U,SZA,23,7,18
2022-04-16,25,Pushin P,Gunna & Future Featuring Young Thug,22,7,13
2022-04-16,26,MAMIII,Becky G X Karol G,26,15,8
2022-04-16,27,Doin' This,Luke Combs,28,27,17
2022-04-16,28,Bam Bam,Camila Cabello Featuring Ed Sheeran,34,23,5
2022-04-16,29,Fingers Crossed,Lauren Spencer-Smith,31,19,14
2022-04-16,30,Sweetest Pie,Megan Thee Stallion & Dua Lipa,32,15,4
2022-04-16,31,Light Switch,Charlie Puth,30,27,11
2022-04-16,32,You Right,Doja Cat & The Weeknd,33,11,40
2022-04-16,33,In My Head,Lil Tjay,-,33,1
2022-04-16,34,Never Say Never,Cole Swindell / Lainey Wilson,36,34,12
2022-04-16,35,AA,Walker Hayes,38,35,13
2022-04-16,36,Fancy Like,Walker Hayes,37,3,42
2022-04-16,37,Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,41,37,29
2022-04-16,38,When You're Gone,Shawn Mendes,-,38,1
2022-04-16,39,Buy Dirt,Jordan Davis Featuring Luke Bryan,35,22,35
2022-04-16,40,Boyfriend,Dove Cameron,47,40,8
2022-04-16,41,What Happened To Virgil,Lil Durk Featuring Gunna,25,22,4
2022-04-16,42,Wasted On You,Morgan Wallen,48,9,21
2022-04-16,43,Slow Down Summer,Thomas Rhett,55,43,7
2022-04-16,44,Beers On Me,"Dierks Bentley, Breland & HARDY",43,40,15
2022-04-16,45,Sand In My Boots,Morgan Wallen,40,30,38
2022-04-16,46,She's All I Wanna Be,Tate McRae,44,44,9
2022-04-16,47,Numb Little Bug,Em Beihold,46,46,10
2022-04-16,48,Love Nwantiti (Ah Ah Ah),CKay,45,26,29
2022-04-16,49,The Motto,Tiesto & Ava Max,42,42,10
2022-04-16,50,To The Moon!,JNR CHOI & Sam Tompkins,54,50,6
2022-04-16,51,Surface Pressure,Jessica Darrow,39,8,15
2022-04-16,52,23,Sam Hunt,50,50,15
2022-04-16,53,Peru,Fireboy DML & Ed Sheeran,53,53,10
2022-04-16,54,Circles Around This Town,Maren Morris,52,52,13
2022-04-16,55,Ahhh Ha,Lil Durk,51,18,7
2022-04-16,56,No Love,Summer Walker & SZA,29,13,14
2022-04-16,57,Soy El Unico,Yahritza y Su Esencia,20,20,2
2022-04-16,58,Nail Tech,Jack Harlow,70,18,7
2022-04-16,59,Nobody Like U,4*TOWN (From Disney And Pixar's Turning Red),49,49,3
2022-04-16,60,Broadway Girls,Lil Durk Featuring Morgan Wallen,57,14,16
2022-04-16,61,Heart On Fire,Eric Church,61,56,20
2022-04-16,62,Me Or Sum,"Nardo Wick, Lil Baby & Future",66,58,13
2022-04-16,63,Never Wanted To Be That Girl,Carly Pearce & Ashley McBryde,67,63,13
2022-04-16,64,Flower Shops,ERNEST Featuring Morgan Wallen,71,64,11
2022-04-16,65,Freaky Deaky,Tyga X Doja Cat,72,43,6
2022-04-16,66,The Family Madrigal,"Stephanie Beatriz, Olga Merediz & Encanto Cast",60,20,14
2022-04-16,67,Thinking With My Dick,Kevin Gates Featuring Juicy J,56,37,4
2022-04-16,68,Do We Have A Problem?,Nicki Minaj X Lil Baby,69,2,9
2022-04-16,69,If I Was A Cowboy,Miranda Lambert,64,64,10
2022-04-16,70,Envolver,Anitta,74,70,2
2022-04-16,71,Stick,JID & J. Cole Featuring Kenny Mason & Sheck Wes,-,71,1
2022-04-16,72,Trouble With A Heartbreak,Jason Aldean,94,72,3
2022-04-16,73,Handsomer,Russ Featuring Ktlyn,63,40,5
2022-04-16,74,Rumors,Gucci Mane Featuring Lil Durk,75,51,10
2022-04-16,75,To Be Loved By You,Parker McCollum,62,41,19
2022-04-16,76,Dos Oruguitas,Sebastian Yatra,65,36,14
2022-04-16,77,Give Heaven Some Hell,HARDY,81,77,6
2022-04-16,78,Banking On Me,Gunna,82,61,7
2022-04-16,79,P Power,Gunna Featuring Drake,79,24,12
2022-04-16,80,Make Up Sex,Machine Gun Kelly X blackbear,59,59,2
2022-04-16,81,Come Back As A Country Boy,Blake Shelton,97,81,10
2022-04-16,82,Damn Strait,Scotty McCreery,-,82,1
2022-04-16,83,Petty Too,Lil Durk Featuring Future,83,26,4
2022-04-16,84,I Hate YoungBoy,YoungBoy Never Broke Again,-,79,4
2022-04-16,85,Over,Lucky Daye,77,77,3
2022-04-16,86,She Likes It,Russell Dickerson & Jake Scott,98,86,3
2022-04-16,87,Pressure,Ari Lennox,86,66,15
2022-04-16,88,Take My Name,Parmalee,-,88,1
2022-04-16,89,I Love You So,The Walters,90,71,12
2022-04-16,90,What Else Can I Do?,Diane Guerrero & Stephanie Beatriz,76,27,14
2022-04-16,91,Complete Mess,5 Seconds Of Summer,-,91,1
2022-04-16,92,Tom's Diner,AnnenMayKantereit & Giant Rooks,78,78,3
2022-04-16,93,Bones,Imagine Dragons,92,87,4
2022-04-16,94,Get Into It (Yuh),Doja Cat,-,68,18
2022-04-16,95,By Your Side,Rod Wave,93,58,19
2022-04-16,96,4KT Baby,YoungBoy Never Broke Again,-,96,1
2022-04-16,97,City Of Gods,"Fivio Foreign, Kanye West & Alicia Keys",-,46,7
2022-04-16,98,Blood All On It,Gucci Mane Featuring Key Glock & Young Dolph,-,98,1
2022-04-16,99,Desesperados,Rauw Alejandro & Chencho Corleone,-,99,1
2022-04-16,100,Money So Big,Yeat,99,95,3
