chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2026-06-27,1,"I Knew It, I Knew You",Taylor Swift,1,1,2
2026-06-27,2,Choosin' Texas,Ella Langley,2,1,35
2026-06-27,3,Stupid Song,Olivia Rodrigo,-,3,1
2026-06-27,4,Drop Dead,Olivia Rodrigo,13,1,9
2026-06-27,5,Be Her,Ella Langley,4,2,18
2026-06-27,6,The Cure,Olivia Rodrigo,17,5,4
2026-06-27,7,Janice STFU,Drake,3,1,5
2026-06-27,8,Hate That I Made You Love Me,Ariana Grande,5,1,3
2026-06-27,9,Honeybee,Olivia Rodrigo,-,9,1
2026-06-27,10,Man I Need,Olivia Dean,7,2,43
2026-06-27,11,I Just Might,Bruno Mars,6,1,23
2026-06-27,12,Maggots For Brains,Olivia Rodrigo,-,12,1
2026-06-27,13,So Easy (To Fall In Love),Olivia Dean,8,5,38
2026-06-27,14,I Can't Love You Anymore,Ella Langley & Morgan Wallen,9,7,8
2026-06-27,15,My Way,Olivia Rodrigo,-,15,1
2026-06-27,16,Begged,Olivia Rodrigo,-,16,1
2026-06-27,17,What's Wrong With Me,Olivia Rodrigo & Robert Smith,-,17,1
2026-06-27,18,Dracula,Tame Impala & JENNIE,10,10,38
2026-06-27,19,u + me = <3,Olivia Rodrigo,-,19,1
2026-06-27,20,Expectations,Olivia Rodrigo,-,20,1
2026-06-27,21,Less,Olivia Rodrigo,-,21,1
2026-06-27,22,Boston,Stella Lefty,14,14,11
2026-06-27,23,Risk It All,Bruno Mars,12,4,16
2026-06-27,24,Stateside,PinkPantheress With Zara Larsson,15,6,24
2026-06-27,25,Purple,Olivia Rodrigo,-,25,1
2026-06-27,26,Shabang,Drake,11,4,5
2026-06-27,27,Cigarette Smoke,Olivia Rodrigo,-,27,1
2026-06-27,28,Homewrecker,sombr,19,19,19
2026-06-27,29,Midnight Sun,Zara Larsson,20,20,22
2026-06-27,30,Earrings,Malcolm Todd,22,22,16
2026-06-27,31,Be By You,Luke Combs,25,12,18
2026-06-27,32,Don't We,Morgan Wallen,33,32,19
2026-06-27,33,Cinderella,Mac Miller Featuring Ty Dolla $ign,31,31,6
2026-06-27,34,Babydoll,Dominic Fike,28,16,19
2026-06-27,35,Spend Dat,Yung Miami,34,34,4
2026-06-27,36,Ran To Atlanta,Drake Featuring Future & Molly Santana,21,2,5
2026-06-27,37,Chicago,Michael Jackson,27,26,4
2026-06-27,38,Iconic By Mistake,"Le Sserafim, ILLIT & KATSEYE",-,38,1
2026-06-27,39,Sleepless In A Hotel Room,Luke Combs,29,11,23
