chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2024-04-27,1,Too Sweet,Hozier,2,1,4
2024-04-27,2,Like That,"Future, Metro Boomin & Kendrick Lamar",1,1,4
2024-04-27,3,Beautiful Things,Benson Boone,3,2,13
2024-04-27,4,Lose Control,Teddy Swims,4,1,36
2024-04-27,5,Texas Hold 'Em,Beyonce,5,1,10
2024-04-27,6,Lovin On Me,Jack Harlow,7,1,23
2024-04-27,7,Espresso,Sabrina Carpenter,-,7,1
2024-04-27,8,We Can't Be Friends (Wait For Your Love),Ariana Grande,8,1,6
2024-04-27,9,Stick Season,Noah Kahan,10,9,29
2024-04-27,10,Saturn,SZA,15,6,8
2024-04-27,11,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,12,1,34
2024-04-27,12,I Like The Way You Kiss Me,Artemas,16,12,4
2024-04-27,13,Cruel Summer,Taylor Swift,13,1,50
2024-04-27,14,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",9,2,4
2024-04-27,15,Agora Hills,Doja Cat,18,7,30
2024-04-27,16,Greedy,Tate McRae,14,3,31
2024-04-27,17,Wanna Be,GloRilla & Megan Thee Stallion,11,11,2
2024-04-27,18,Fast Car,Luke Combs,21,2,56
2024-04-27,19,Snooze,SZA,20,2,70
2024-04-27,20,Carnival,¥$: Ye & Ty Dolla $ign Featuring Rich The Kid & Playboi Carti,17,1,10
2024-04-27,21,Feather,Sabrina Carpenter,26,21,20
2024-04-27,22,We Still Don't Trust You,"Future, Metro Boomin & The Weeknd",-,22,1
2024-04-27,23,Get It Sexyy,Sexyy Red,22,20,5
2024-04-27,24,End Of Beginning,Djo,23,11,9
2024-04-27,25,Redrum,21 Savage,25,5,14
2024-04-27,26,Water,Tyla,24,7,29
2024-04-27,27,Gata Only,FloyyMenor X Cris Mj,48,27,5
2024-04-27,28,Austin,Dasha,32,28,6
2024-04-27,29,Where The Wild Things Are,Luke Combs,41,26,22
2024-04-27,30,Act II: Date @ 8,4Batz Featuring Drake,36,7,15
2024-04-27,31,Whatever She Wants,Bryson Tiller,34,19,9
2024-04-27,32,Yeah Glo!,GloRilla,39,32,10
2024-04-27,33,Never Lose Me,Flo Milli,31,15,18
2024-04-27,34,Man Made A Bar,Morgan Wallen Featuring Eric Church,27,15,30
2024-04-27,35,Made For Me,Muni Long,33,20,14
2024-04-27,36,A Bar Song (Tipsy),Shaboozey,-,36,1
2024-04-27,37,Cinderella,"Future, Metro Boomin & Travis Scott",37,6,4
2024-04-27,38,Where It Ends,Bailey Zimmerman,44,32,16
