chart_week,current_week,title,performer,last_week,peak_pos,wks_on_chart
2024-06-22,1,I Had Some Help,Post Malone Featuring Morgan Wallen,1,1,5
2024-06-22,2,Please Please Please,Sabrina Carpenter,-,2,1
2024-06-22,3,Espresso,Sabrina Carpenter,6,3,9
2024-06-22,4,A Bar Song (Tipsy),Shaboozey,4,3,9
2024-06-22,5,Million Dollar Baby,Tommy Richman,3,2,7
2024-06-22,6,Not Like Us,Kendrick Lamar,5,1,6
2024-06-22,7,Too Sweet,Hozier,7,1,12
2024-06-22,8,Houdini,Eminem,2,2,2
2024-06-22,9,Birds Of A Feather,Billie Eilish,11,9,4
2024-06-22,10,Lose Control,Teddy Swims,8,1,44
2024-06-22,11,Beautiful Things,Benson Boone,9,2,21
2024-06-22,12,Pink Skies,Zach Bryan,10,6,3
2024-06-22,13,Fortnight,Taylor Swift Featuring Post Malone,12,1,8
2024-06-22,14,Lunch,Billie Eilish,13,5,4
2024-06-22,15,Like That,"Future, Metro Boomin & Kendrick Lamar",14,1,12
2024-06-22,16,Saturn,SZA,16,6,16
2024-06-22,17,Cowgirls,Morgan Wallen Featuring ERNEST,19,17,26
2024-06-22,18,We Can't Be Friends (Wait For Your Love),Ariana Grande,17,1,14
2024-06-22,19,Austin,Dasha,20,19,14
2024-06-22,20,Wanna Be,GloRilla & Megan Thee Stallion,15,11,10
2024-06-22,21,"Good Luck, Babe!",Chappell Roan,26,21,10
2024-06-22,22,Feather,Sabrina Carpenter,27,21,28
2024-06-22,23,BAND4BAND,Central Cee & Lil Baby,18,18,3
2024-06-22,24,I Remember Everything,Zach Bryan Featuring Kacey Musgraves,23,1,42
2024-06-22,25,Chihiro,Billie Eilish,21,12,4
2024-06-22,26,Lovin On Me,Jack Harlow,22,1,31
2024-06-22,27,Stick Season,Noah Kahan,25,9,37
2024-06-22,28,Miles On It,Marshmello & Kane Brown,24,21,6
2024-06-22,29,High Road,Koe Wetzel & Jessie Murph,-,29,1
2024-06-22,30,Ain't No Love In Oklahoma,Luke Combs,29,23,4
2024-06-22,31,Gata Only,FloyyMenor X Cris Mj,39,27,13
2024-06-22,32,Yeah Glo!,GloRilla,28,28,18
2024-06-22,33,Get It Sexyy,Sexyy Red,30,20,13
2024-06-22,34,End Of Beginning,Djo,35,11,17
2024-06-22,35,Sweet Dreams,Koe Wetzel,50,35,4
2024-06-22,36,Slow It Down,Benson Boone,40,36,12
2024-06-22,37,Bulletproof,Nate Smith,44,37,10
2024-06-22,38,Greedy,Tate McRae,38,3,39
2024-06-22,39,One Of Wun,Gunna,31,26,5
2024-06-22,40,Agora Hills,Doja Cat,42,7,38
2024-06-22,41,Wildflower,Billie Eilish,32,17,4
2024-06-22,42,I Like The Way You Kiss Me,Artemas,36,12,12
2024-06-22,43,Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",37,2,12
2024-06-22,44,I Can Do It With A Broken Heart,Taylor Swift,34,3,8
2024-06-22,45,Stargazing,Myles Smith,41,41,5
2024-06-22,46,Where It Ends,Bailey Zimmerman,43,32,24
2024-06-22,47,Euphoria,Kendrick Lamar,33,3,7
2024-06-22,48,Whatever She Wants,Bryson Tiller,45,19,17
2024-06-22,49,Close To You,Gracie Abrams,-,49,1
2024-06-22,50,Think I'm In Love With You,Chris Stapleton,51,49,6
2024-06-22,51,L'amour De Ma Vie,Billie Eilish,47,22,4
2024-06-22,52,Halfway To Hell,Jelly Roll,48,48,10
2024-06-22,53,U My Everything,Sexyy Red & Drake,49,44,3
2024-06-22,54,Down Bad,Taylor Swift,46,2,8
2024-06-22,55,Wild Ones,Jessie Murph & Jelly Roll,57,35,36
2024-06-22,56,Dirt Cheap,Cody Johnson,55,55,8
2024-06-22,57,Si No Quieres No,Luis R Conriquez x Neton Vega,53,53,6
2024-06-22,58,The Man He Sees In Me,Luke Combs,-,58,1
2024-06-22,59,Illusion,Dua Lipa,59,43,9
2024-06-22,60,Made For Me,Muni Long,54,20,22
2024-06-22,61,FE!N,Travis Scott Featuring Playboi Carti,56,5,32
2024-06-22,62,We Ride,Bryan Martin,61,61,10
2024-06-22,63,Wind Up Missin' You,Tucker Wetmore,79,63,11
2024-06-22,64,The Boy Is Mine,Ariana Grande,-,16,6
2024-06-22,65,Scared To Start,Michael Marcagi,60,54,17
2024-06-22,66,Blue,Billie Eilish,52,25,4
